"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.177050267041696,0.406363768005286,0.200339487235729,0.216246477717289
"Q2y_1981",0.204151692701392,0.364220518449645,0.216717988789486,0.214909800059476
"Q3y_1981",0.214402385261719,0.368250666563391,0.214734939537003,0.202612008637887
"Q4y_1981",0.231104344034426,0.3540412737019,0.212468716409126,0.202385665854548
"Q1y_1982",0.160012750255292,0.376568845058791,0.242591723643521,0.220826681042395
"Q2y_1982",0.17160069614492,0.364384136046906,0.244037702555805,0.219977465252369
"Q3y_1982",0.184554991477407,0.357146653092561,0.240631368776946,0.217666986653087
"Q4y_1982",0.177041061556212,0.361758922313742,0.243437513591071,0.217762502538976
"Q1y_1983",0.180508016681981,0.362181561779519,0.237806654977369,0.219503766561131
"Q2y_1983",0.203482624064079,0.328561169636728,0.24794329069593,0.220012915603263
"Q3y_1983",0.215886360143432,0.339414814756725,0.228323244921932,0.21637558017791
"Q4y_1983",0.214972072683807,0.3039251059607,0.278477544589326,0.202625276766166
"Q1y_1984",0.212892189996927,0.324201259527698,0.274830046474351,0.188076504001025
"Q2y_1984",0.220889658147937,0.316872174913347,0.277177196760009,0.185060970178707
"Q3y_1984",0.228283568953242,0.311628883494981,0.273814240554681,0.186273306997096
"Q4y_1984",0.233428838884985,0.31766913424997,0.266055431846265,0.182846595018779
"Q1y_1985",0.230800878508377,0.299981379350495,0.290675399450166,0.178542342690962
"Q2y_1985",0.23580289291732,0.294926351695573,0.286886641758816,0.182384113628291
"Q3y_1985",0.236744768496554,0.290014547072906,0.305071701751142,0.168168982679398
"Q4y_1985",0.267469648131276,0.309251354407558,0.242243721186247,0.181035276274919
"Q1y_1986",0.262201004845837,0.303692451729996,0.251700809238959,0.182405734185208
"Q2y_1986",0.269776428036332,0.298946334354431,0.261642877527607,0.169634360081631
"Q3y_1986",0.270379149494509,0.293424457644345,0.2712575814082,0.164938811452945
"Q4y_1986",0.28072870981019,0.28269823772808,0.269640507738239,0.16693254472349
"Q1y_1987",0.281496116141774,0.272999241951376,0.27491773322228,0.17058690868457
"Q2y_1987",0.284317425833566,0.252208956351576,0.293381973330312,0.170091644484545
"Q3y_1987",0.285524980274773,0.255254308818329,0.286566455774546,0.172654255132353
"Q4y_1987",0.320109128315937,0.243843614737032,0.272530598388944,0.163516658558087
"Q1y_1988",0.36145460175567,0.246907381791379,0.193175821636159,0.198462194816793
"Q2y_1988",0.705126684366144,0.103215027290082,0.0306833801919442,0.160974908151829
"Q3y_1988",0.355347823810236,0.235489212063089,0.220703802556197,0.188459161570477
"Q4y_1988",0.368451010009164,0.222207826897542,0.226805252345633,0.182535910747662
"Q1y_1989",0.692118599754308,0.0973876296127565,0.05391136241273,0.156582408220206
"Q2y_1989",0.709911315407091,0.0875405760538394,0.0398828456631488,0.162665262875921
"Q3y_1989",0.706202745733655,0.0978506635440317,0.0301068026569956,0.165839788065317
"Q4y_1989",0.412323642766869,0.208327206597599,0.208021358852659,0.171327791782873
"Q1y_1990",0.424602634716163,0.203059824666717,0.202546165769421,0.169791374847699
"Q2y_1990",0.433389695202512,0.196255009440205,0.199476359814451,0.170878935542833
"Q3y_1990",0.436724922324955,0.194586345877273,0.199095314861476,0.169593416936296
"Q4y_1990",0.461792259643094,0.181645934403231,0.1837054016113,0.172856404342374
"Q1y_1991",0.489123152854228,0.174801115091985,0.177213414753874,0.158862317299913
"Q2y_1991",0.507868743437176,0.181489139937377,0.157708614086007,0.152933502539441
"Q3y_1991",0.512899063661696,0.170075535456603,0.170765272513825,0.146260128367876
"Q4y_1991",0.508263780390886,0.163154220887023,0.189177993076912,0.139404005645179
"Q1y_1992",0.507289729123847,0.162942729039605,0.193748785002566,0.136018756833982
"Q2y_1992",0.499340477487959,0.166519679287778,0.190822286597263,0.143317556627
"Q3y_1992",0.507270606487453,0.159963999997263,0.195580021672738,0.137185371842546
"Q4y_1992",0.50468372731577,0.148143738336507,0.18549830980512,0.161674224542603
"Q1y_1993",0.485224824479581,0.150665132838248,0.199105028206783,0.165005014475389
"Q2y_1993",0.501583760721245,0.152470483140598,0.159409224909537,0.18653653122862
"Q3y_1993",0.529834363184827,0.151669348039045,0.162197443480304,0.156298845295825
"Q4y_1993",0.525564516510655,0.141399930725174,0.163586113031216,0.169449439732954
"Q1y_1994",0.545341950504015,0.1556434996886,0.162518397634786,0.136496152172599
"Q2y_1994",0.473460214650745,0.185416898342156,0.188942554570437,0.152180332436662
"Q3y_1994",0.456923037113495,0.177887339746061,0.195943060964709,0.169246562175735
"Q4y_1994",0.460025820333669,0.182365739413945,0.209494588562079,0.148113851690307
"Q1y_1995",0.485707331516869,0.181277324841778,0.176463814978162,0.156551528663191
"Q2y_1995",0.471666410690287,0.176870930202367,0.18754898912141,0.163913669985937
"Q3y_1995",0.422983295394456,0.220811416695298,0.193115571875968,0.163089716034278
"Q4y_1995",0.418676454029635,0.21803464340412,0.196093912595528,0.167194989970717
"Q1y_1996",0.458037800915148,0.237137395415957,0.182717187822766,0.122107615846129
"Q2y_1996",0.412812472359239,0.269804108613888,0.194849932012365,0.122533487014508
"Q3y_1996",0.371185280231213,0.338847083409282,0.17760743823415,0.112360198125354
"Q4y_1996",0.442118694611763,0.223626036219603,0.203676709765252,0.130578559403382
"Q1y_1997",0.477886357146819,0.223169903271327,0.156525178957882,0.142418560623972
"Q2y_1997",0.475287409240625,0.204555750188742,0.188461590511495,0.131695250059137
"Q3y_1997",0.49675724662615,0.192076129178542,0.183140672789086,0.128025951406223
"Q4y_1997",0.500587086520728,0.172781032104057,0.175816092600328,0.150815788774887
"Q1y_1998",0.527818579315408,0.174118839223429,0.193829570421536,0.104233011039626
"Q2y_1998",0.530078207966854,0.166794842581211,0.196384279045272,0.106742670406663
"Q3y_1998",0.547599365865574,0.164756774318977,0.181068309297564,0.106575550517885
"Q4y_1998",0.597798116690368,0.11529166442429,0.191305525601822,0.0956046932835199
"Q1y_1999",0.612115375229415,0.117496985981439,0.188138250045775,0.0822493887433709
"Q2y_1999",0.579625709187753,0.137120201754952,0.202978902305439,0.0802751867518558
"Q3y_1999",0.571344075985643,0.151965733367591,0.183519599866207,0.0931705907805583
"Q4y_1999",0.574173203894405,0.151662141689671,0.171741069572396,0.102423584843527
"Q1y_2000",0.563225428059864,0.148673457002998,0.180141920096942,0.107959194840196
"Q2y_2000",0.563349120931957,0.136643110445975,0.190776985145249,0.109230783476819
"Q3y_2000",0.566398717705146,0.143674459644882,0.190396027100875,0.0995307955490974
"Q4y_2000",0.607231577024653,0.143785687727936,0.16474843144119,0.084234303806221
"Q1y_2001",0.612344948152278,0.137048244409053,0.156615613191171,0.0939911942474977
"Q2y_2001",0.614574815697632,0.112095719156649,0.176971963811169,0.0963575013345503
"Q3y_2001",0.623411827259175,0.115849305118135,0.168611013942851,0.0921278536798389
"Q4y_2001",0.641745532807958,0.110699981949994,0.164345998303936,0.0832084869381118
"Q1y_2002",0.587121215947274,0.128082663295133,0.18514962686422,0.0996464938933728
"Q2y_2002",0.569381631299184,0.141300133518128,0.194393447099523,0.0949247880831652
"Q3y_2002",0.568765560695487,0.124153036454888,0.204520342265079,0.102561060584546
"Q4y_2002",0.601600101620827,0.106650579000304,0.175401258803868,0.116348060575001
"Q1y_2003",0.596123493026872,0.106630717353554,0.182635309773593,0.114610479845982
"Q2y_2003",0.617994931433813,0.115578169801756,0.197371184323574,0.0690557144408571
"Q3y_2003",0.618329297646792,0.118330558094012,0.187263864301217,0.0760762799579784
"Q4y_2003",0.515966682837928,0.14974917843836,0.228544860680999,0.105739278042713
"Q1y_2004",0.508503984715148,0.150821027005557,0.223763589268745,0.116911399010551
"Q2y_2004",0.519694717082692,0.155529772809571,0.202558223612453,0.122217286495284
"Q3y_2004",0.531755755640376,0.1898405130865,0.132647499162621,0.145756232110503
"Q4y_2004",0.531505264364063,0.188442199172546,0.169239045669733,0.110813490793658
"Q1y_2005",0.529997130148613,0.190748920779026,0.185425958021549,0.0938279910508117
"Q2y_2005",0.538776802035581,0.193891810124316,0.167649789216894,0.0996815986232097
"Q3y_2005",0.540436607741668,0.191011786586547,0.174352318206044,0.0941992874657413
"Q4y_2005",0.529422220987044,0.204574156089515,0.175163574713187,0.0908400482102535
"Q1y_2006",0.528322171535065,0.20347940652961,0.181251622980642,0.0869467989546833
"Q2y_2006",0.521533308576631,0.222809827602253,0.173501566137158,0.0821552976839582
"Q3y_2006",0.525553426264999,0.215846193871695,0.164325723732844,0.0942746561304618
"Q4y_2006",0.527634542986587,0.225672878601366,0.172697646672318,0.0739949317397287
"Q1y_2007",0.525317802201304,0.238400750274528,0.161247571480604,0.0750338760435646
"Q2y_2007",0.529796006532603,0.240231769451246,0.144924864637299,0.0850473593788516
"Q3y_2007",0.54521220972575,0.225322606486955,0.124797796062242,0.104667387725053
"Q4y_2007",0.578842228649136,0.210007337834188,0.1188641048027,0.0922863287139764
"Q1y_2008",0.597639324893775,0.196526064806304,0.113203797702102,0.0926308125978195
"Q2y_2008",0.61268171679226,0.16017382117903,0.134264082650712,0.0928803793779981
