"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.178647925793933,0.399886326320609,0.202511772697084,0.218953975188374
"Q2y_1981",0.204244044903027,0.364230343768261,0.21663922843632,0.214886382892393
"Q3y_1981",0.214373378270595,0.368258420706544,0.21482606857529,0.20254213244757
"Q4y_1981",0.23105436995887,0.354192501412677,0.212567894592292,0.202185234036161
"Q1y_1982",0.159829682707033,0.376696685438266,0.242620536157432,0.220853095697269
"Q2y_1982",0.171842888576782,0.364255272181379,0.243894501377277,0.220007337864562
"Q3y_1982",0.184421988631893,0.357186818717749,0.24066234191787,0.217728850732488
"Q4y_1982",0.177318769091883,0.361699895497231,0.243250015944303,0.217731319466583
"Q1y_1983",0.180374215288058,0.362248607814399,0.237830889428698,0.219546287468845
"Q2y_1983",0.203365104108402,0.328766105741229,0.247976588525634,0.219892201624735
"Q3y_1983",0.215949258690629,0.339281978356578,0.228340882985176,0.216427879967618
"Q4y_1983",0.215086240157204,0.304151901297899,0.278141762567239,0.202620095977658
"Q1y_1984",0.21318834311367,0.324294341588179,0.274925576356552,0.187591738941599
"Q2y_1984",0.22083434717009,0.316756641964363,0.277361675670801,0.185047335194745
"Q3y_1984",0.228346793580137,0.311535126005494,0.273787221454545,0.186330858959823
"Q4y_1984",0.233377973421355,0.317559632851467,0.266099811686585,0.182962582040593
"Q1y_1985",0.230709305708706,0.300114225954209,0.29075843816854,0.178418030168545
"Q2y_1985",0.23548911394879,0.29526105829331,0.286693297505558,0.182556530252342
"Q3y_1985",0.236829716254355,0.289888670753087,0.304960988325025,0.168320624667533
"Q4y_1985",0.26717240432171,0.309425713240731,0.242406998916476,0.180994883521082
"Q1y_1986",0.262109817186587,0.303694425667426,0.251621508291202,0.182574248854785
"Q2y_1986",0.269854496683952,0.298836828630422,0.261794770116866,0.16951390456876
"Q3y_1986",0.270133558344711,0.29344273947567,0.271265065270795,0.165158636908824
"Q4y_1986",0.280721227430417,0.282552096379871,0.269785939283935,0.166940736905777
"Q1y_1987",0.28115237618218,0.272954203796863,0.275045173494011,0.170848246526947
"Q2y_1987",0.284366931228674,0.252278927903127,0.293252706115832,0.170101434752367
"Q3y_1987",0.285401020441345,0.255374961367248,0.286496759378221,0.172727258813187
"Q4y_1987",0.320139418883506,0.243563099726661,0.272608462036316,0.163689019353518
"Q1y_1988",0.361299240853092,0.247081130255001,0.193264334771687,0.198355294120219
"Q2y_1988",0.327998553442476,0.256491587048909,0.213487576891976,0.202022282616639
"Q3y_1988",0.355218247027308,0.235809953284404,0.220660412437268,0.18831138725102
"Q4y_1988",0.368358894029128,0.222344886120391,0.226664087028827,0.182632132821654
"Q1y_1989",0.31824817519728,0.238876894529025,0.254796694482408,0.188078235791287
"Q2y_1989",0.340310495080508,0.236856907557879,0.225880607579792,0.196951989781821
"Q3y_1989",0.339628893911947,0.235114403969701,0.226703401178966,0.198553300939386
"Q4y_1989",0.399893627320603,0.212065578904488,0.212500008297021,0.175540785477888
"Q1y_1990",0.39973609075674,0.211260892665316,0.210635366329749,0.178367650248195
"Q2y_1990",0.399935550590297,0.207112046636228,0.210327864342317,0.182624538431159
"Q3y_1990",0.399859049487165,0.206251978071828,0.211335742411172,0.182553230029835
"Q4y_1990",0.399976853552022,0.202060902450612,0.204225185401692,0.193737058595673
"Q1y_1991",0.399801981484695,0.204431050308791,0.207394361213377,0.188372606993137
"Q2y_1991",0.399779993039379,0.219319747737189,0.191369049154867,0.189531210068566
"Q3y_1991",0.399702750501687,0.207989458721636,0.208784398915057,0.18352339186162
"Q4y_1991",0.399885487045363,0.197464030228784,0.229091387881602,0.173559094844251
"Q1y_1992",0.399743600714112,0.196742905675466,0.234444040396234,0.169069453214187
"Q2y_1992",0.399924470092049,0.198191728364301,0.227394380539712,0.174489421003937
"Q3y_1992",0.399846451263203,0.193361247496556,0.236535983812222,0.170256317428019
"Q4y_1992",0.399836071964868,0.178213391475766,0.223127239958625,0.198823296600741
"Q1y_1993",0.399941654287038,0.174763170817385,0.230415345564181,0.194879829331395
"Q2y_1993",0.399976732293312,0.181929228931549,0.190329885969362,0.227764152805777
"Q3y_1993",0.39993164658243,0.191410029362939,0.205322758995584,0.203335565059046
"Q4y_1993",0.399680033953561,0.177141380371797,0.204990313819043,0.218188271855599
"Q1y_1994",0.399858338240103,0.203240036133104,0.212188764299469,0.184712861327324
"Q2y_1994",0.399978845390936,0.209681052953845,0.213632642063152,0.176707459592068
"Q3y_1994",0.399978722033486,0.19550446578829,0.215342500526278,0.189174311651946
"Q4y_1994",0.399867605649878,0.201573838824942,0.23158266255757,0.16697589296761
"Q1y_1995",0.399855215465801,0.209704312799112,0.204376222733558,0.186064249001529
"Q2y_1995",0.39978581365386,0.199228646866477,0.211584294835941,0.189401244643722
"Q3y_1995",0.399993480111295,0.228675365177223,0.200588609219377,0.170742545492106
"Q4y_1995",0.399943265298896,0.224156311787639,0.202119630242196,0.173780792671268
"Q1y_1996",0.399690864626987,0.260524142362459,0.201485552345433,0.138299440665121
"Q2y_1996",0.399885350842167,0.275008754196771,0.198856137920879,0.126249757040183
"Q3y_1996",0.371171876647422,0.338826724810167,0.17778839861217,0.11221299993024
"Q4y_1996",0.399271767648036,0.239455533937403,0.218582060835593,0.142690637578967
"Q1y_1997",0.399993616599021,0.253957107003238,0.179079785560246,0.166969490837494
"Q2y_1997",0.399530628539944,0.232107964024227,0.214777964672568,0.153583442763261
"Q3y_1997",0.399733741957694,0.226635392397009,0.217266490917392,0.156364374727904
"Q4y_1997",0.399999400513031,0.205482680843817,0.209735031748718,0.184782886894435
"Q1y_1998",0.399918381724234,0.219895685972454,0.244354145430437,0.135831786872875
"Q2y_1998",0.399496059405162,0.211477974054774,0.248969055446958,0.140056911093107
"Q3y_1998",0.39907927669521,0.216564377365473,0.238578857296718,0.1457774886426
