"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.0619681585786822,0.755684589579722,0.0842373213232789,0.0981099305183171
"Q2y_1981",0.139573237674239,0.577268673874314,0.155044096857576,0.128113991593871
"Q3y_1981",0.16009063417614,0.598806668831675,0.144974982728812,0.0961277142633732
"Q4y_1981",0.21004181104356,0.563195610539601,0.13744188120978,0.0893206972070584
"Q1y_1982",0.0535695630674927,0.607106139872102,0.191496275338056,0.14782802172235
"Q2y_1982",0.0776652562394606,0.571454072835759,0.198593143289323,0.152287527635457
"Q3y_1982",0.101420249178382,0.560068531755166,0.192566377230631,0.14594484183582
"Q4y_1982",0.0768773163767785,0.624571920619022,0.163012890646473,0.135537872357727
"Q1y_1983",0.0763475320212704,0.821444348728216,0,0.102208119250514
"Q2y_1983",0.141939786400396,0.473188654285385,0.220242675158344,0.164628884155876
"Q3y_1983",0.169690396062863,0.513253424216268,0.172114707272005,0.144941472448864
"Q4y_1983",0.176857433743518,0.381580998101135,0.313484346469972,0.128077221685375
"Q1y_1984",0.174690076716487,0.435090548704247,0.30027871967623,0.0899406549030368
"Q2y_1984",0.197135078063648,0.412328177538754,0.30690886806942,0.0836278763281772
"Q3y_1984",0.214378374317594,0.397136581598789,0.298965370450473,0.0895196736331444
"Q4y_1984",0.840895195866362,0,0,0.159104804133638
"Q1y_1985",0.812619832498716,0,0,0.187380167501284
"Q2y_1985",0.81078988194198,0,0,0.18921011805802
"Q3y_1985",0.809138837018515,0,0,0.190861162981485
"Q4y_1985",0.818693799984789,0,0,0.181306200015211
"Q1y_1986",0.815050648435872,0,0,0.184949351564128
"Q2y_1986",0.82334080572188,0,0,0.17665919427812
"Q3y_1986",0.830682797389793,0,0,0.169317202610207
"Q4y_1986",0.834508357995158,0,0,0.165491642004842
"Q1y_1987",0.831398209414992,0,0,0.168601790585008
"Q2y_1987",0.838869966644473,0,0,0.161130033355527
"Q3y_1987",0.836456810904644,0,0,0.163543189095356
"Q4y_1987",0.864508082818108,0,0,0.135491917181892
"Q1y_1988",0.872166160426929,0,0,0.127833839573071
"Q2y_1988",0.834775404571346,0,0,0.165224595428654
"Q3y_1988",0.865397396138165,0,0,0.134602603861835
"Q4y_1988",0.868421236775593,0,0,0.131578763224407
"Q1y_1989",0.833601194801434,0,0,0.166398805198566
"Q2y_1989",0.822996774102894,5.14462181120387e-06,9.81813308998006e-06,0.176988263142205
"Q3y_1989",0.830007047579647,0,0,0.169992952420353
"Q4y_1989",0.885808918099238,0,0,0.114191081900762
"Q1y_1990",0.88908125858143,0,0,0.11091874141857
"Q2y_1990",0.891677294501921,0,0,0.108322705498079
"Q3y_1990",0.892158634171421,0,0,0.107841365828579
"Q4y_1990",0.870509115482547,0,0,0.129490884517453
"Q1y_1991",0.883159291698184,0,0,0.116840708301816
"Q2y_1991",0.902200892851851,0,0,0.0977991071481487
"Q3y_1991",0.908685057145985,0,0,0.091314942854015
"Q4y_1991",0.91596967933347,0,0,0.0840303206665301
"Q1y_1992",0.911825192849733,0,0,0.0881748071502671
"Q2y_1992",0.903171595628322,0,0,0.096828404371678
"Q3y_1992",0.908453101412984,0,0,0.0915468985870161
"Q4y_1992",0.875784799041103,0,0,0.124215200958897
"Q1y_1993",0.87849420398617,0,0,0.12150579601383
"Q2y_1993",0.866931900264235,0,0,0.133068099735765
"Q3y_1993",0.895761227823385,0,0,0.104238772176615
"Q4y_1993",0.880771128442372,0,0,0.119228871557628
"Q1y_1994",0.924697566956666,0,0,0.0753024330433336
"Q2y_1994",0.931689734142332,0,0,0.0683102658576682
"Q3y_1994",0.907096147514994,0,0,0.0929038524850057
"Q4y_1994",0.932141778556377,0,0,0.0678582214436232
"Q1y_1995",0.935581237759004,0,0,0.0644187622409958
"Q2y_1995",0.924233212827886,0,0,0.0757667871721136
"Q3y_1995",0.910978766893918,0,0,0.0890212331060818
"Q4y_1995",0.905923017165422,0,0,0.0940769828345775
"Q1y_1996",0.961522361461761,0,0,0.0384776385382394
"Q2y_1996",0.646944872655166,0.228492064233925,0.111390545737929,0.0131725173729802
"Q3y_1996",0.515410116203724,0.372875393417782,0.0981063816529511,0.0136081087255427
"Q4y_1996",0.950371648038882,0,0,0.049628351961118
"Q1y_1997",0.94553795417722,0,0,0.0544620458227801
"Q2y_1997",0.952147663897251,0,0,0.0478523361027493
"Q3y_1997",0.965042451207558,0,0,0.0349575487924421
"Q4y_1997",0.949970675205166,0,0,0.0500293247948341
"Q1y_1998",0.981599518947556,0,0,0.0184004810524437
"Q2y_1998",0.981504974214749,0,0.00249976368852138,0.0159952620967292
"Q3y_1998",0.98503267874461,0,0,0.0149673212553903
"Q4y_1998",1,0,0,0
"Q1y_1999",1,0,0,0
"Q2y_1999",0.995169478525116,0,0.00483052147488385,0
"Q3y_1999",1,0,0,0
"Q4y_1999",1,0,0,0
"Q1y_2000",1,0,0,0
"Q2y_2000",0.995990106310958,0,0.00400989368904202,0
"Q3y_2000",0.994034817408969,3.71033389484207e-09,0.00596517074126874,8.13942786586457e-09
"Q4y_2000",1,0,0,0
"Q1y_2001",1,0,0,0
"Q2y_2001",1,0,0,0
"Q3y_2001",1,0,0,0
"Q4y_2001",1,0,0,0
"Q1y_2002",0.988857256498477,4.61877233400837e-09,0.0111427369556523,1.92709797555569e-09
"Q2y_2002",0.959148460915685,0,0.0408515390843155,0
"Q3y_2002",0.934776829143317,0,0.0652231708566828,0
"Q4y_2002",0.973138525382663,0,0.0268614746173371,0
"Q1y_2003",0.969710406425541,0,0.030289593574459,0
"Q2y_2003",0.956175346857742,0,0.0438246531422576,0
"Q3y_2003",0.964394284864958,0,0.0356057151350422,0
"Q4y_2003",0.812759387451033,0.0463362971716555,0.140904315377311,0
"Q1y_2004",0.812872992706146,0.0494306714650207,0.137696335828833,0
"Q2y_2004",0.837514404498465,0.0531760419228458,0.109309553578689,0
"Q3y_2004",0.875277953704547,0.0824673690194182,0.0294116967454733,0.0128429805305616
"Q4y_2004",0.847896745566038,0.0848126557298177,0.0672905987041441,0
"Q1y_2005",0.820848691590745,0.0908576236446869,0.088293684764568,0
"Q2y_2005",0.840414411923281,0.0923474805112759,0.067238107565443,0
"Q3y_2005",0.831413833842173,0.0912909195043568,0.0772952466534701,0
"Q4y_2005",0.809841723807391,0.110335886532928,0.0798223896596816,0
"Q1y_2006",0.804385375008428,0.108960619301226,0.0866540056903453,0
"Q2y_2006",0.785729611997466,0.135359136215987,0.0789112517865471,0
"Q3y_2006",0.807055192194664,0.124982444929347,0.0679623628759898,0
"Q4y_2006",0.781310518348287,0.139528836221339,0.0791606454303739,0
"Q1y_2007",0.775072659135506,0.157268459749997,0.0676588811144975,0
"Q2y_2007",0.787590201871643,0.160856437624175,0.0515533605041821,0
"Q3y_2007",0.828153092121374,0.139030918737112,0.0328159891415141,0
"Q4y_2007",0.863918543986743,0.110454667086448,0.0256267889268088,0
"Q1y_2008",0.904445097960309,0.081195838141778,0.014359063897913,0
"Q2y_2008",0.928308995418415,0.0440135216834032,0.0276774828981818,0
"Q3y_2008",0.97097227768057,0.0205056846948608,0.00852203762456944,0
"Q4y_2008",0.965576391361979,0.010597387761519,0.0238262208765024,0
"Q1y_2009",1,0,0,0
"Q2y_2009",1,0,0,0
"Q3y_2009",1,0,0,0
"Q4y_2009",1,0,0,0
"Q1y_2010",1,0,0,0
"Q2y_2010",0.991922654500623,0.00807731347599867,5.25206251839476e-11,3.19708579861763e-08
"Q3y_2010",1,0,0,0
