"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.39998819857452,0.399998091847007,0.0880999019067538,0.111913807671719
"Q2y_1984",0.399963291560665,0.399998408554912,0.116018330235261,0.0840199696491619
"Q3y_1984",0.399984872204236,0.399978153687908,0.0802096125203547,0.119827361587501
"Q4y_1984",0.399998290544671,0.39998589367057,0.0644680480163826,0.135547767768377
"Q1y_1985",0.399991535032642,0.399985497614043,0.0495744541393854,0.150448513213930
"Q2y_1985",0.399979356913344,0.399992180806791,0.0441911645919426,0.155837297687923
"Q3y_1985",0.399991401066209,0.399930021057471,0.0517469798787695,0.148331597997551
"Q4y_1985",0.399997903778099,0.399943280329871,0.0433062536081205,0.156752562283909
"Q1y_1986",0.399990660833913,0.399930318721986,0.0147070900091280,0.185371930434973
"Q2y_1986",0.399992874349611,0.399990972777173,0.0895862648761034,0.110429887997113
"Q3y_1986",0.399999873977377,0.39996539564354,0.0315481388644276,0.168486591514655
"Q4y_1986",0.399998926131093,0.353591359400888,0.127717102772125,0.118692611695893
"Q1y_1987",0.39999765516105,0.399935238976289,0.0383994513745377,0.161667654488123
"Q2y_1987",0.399999955651588,0.399999914509961,0.0989043824463695,0.101095747392081
"Q3y_1987",0.399984220487725,0.399995693648465,0.0839109859709631,0.116109099892847
"Q4y_1987",0.399973969608587,0.399983950240273,0.0996794902202224,0.100362589930917
"Q1y_1988",0.399999934467153,0.155422463770984,0.144754994655812,0.299822607106051
"Q2y_1988",0.399984940875445,0.200036152259797,6.85367195251039e-05,0.399910370145232
"Q3y_1988",0.399999994071353,0.220652824967655,7.93391876449506e-07,0.379346387569116
"Q4y_1988",0.399994671522418,0.231824058364742,8.09982306674327e-05,0.368100271882172
"Q1y_1989",0.399999974738524,0.21347368949435,7.22938471334956e-07,0.386525612828655
"Q2y_1989",0.399998986715137,0.209281651621374,5.70493918987352e-06,0.390713656724299
"Q3y_1989",0.399994989732352,0.214333589884162,1.18435507864613e-06,0.385670236028408
"Q4y_1989",0.399999424831345,0.205864339880607,4.68148254205443e-07,0.394135767139793
"Q1y_1990",0.399993469412789,0.211369240908348,3.40495461693391e-05,0.388603240132694
"Q2y_1990",0.399999617211585,0.221315497179621,7.58890384329938e-07,0.378684126718409
"Q3y_1990",0.399997140194253,0.224755618671460,1.60210723513823e-06,0.375245639027051
"Q4y_1990",0.399999560928468,0.199996181075613,5.33913246532195e-06,0.399998918863454
"Q1y_1991",0.3999999322962,0.200000015592180,5.4995038017843e-08,0.399999997116582
"Q2y_1991",0.399994487696825,0.203542178916021,2.42251670935213e-06,0.396460910870444
"Q3y_1991",0.399993105729249,0.199768397705821,0.000307960475181668,0.399930536089748
"Q4y_1991",0.399999968531825,0.200002738907312,3.98470243577936e-07,0.399996894090619
"Q1y_1992",0.399999114161803,0.215771402258034,6.48209865272767e-05,0.384164662593636
"Q2y_1992",0.399985076054109,0.199066154452048,0.00120254678351382,0.399746222710329
"Q3y_1992",0.399997208923728,0.224854167632344,5.64356618347785e-05,0.375092187782093
"Q4y_1992",0.399998151460225,0.206027498913444,5.86667597931019e-06,0.393968482950352
"Q1y_1993",0.399999173069611,0.17226440060266,0.234678259220563,0.193058167107166
"Q2y_1993",0.4,0.14,0.06,0.4
"Q3y_1993",0.399981687886578,0.116916423639471,0.0831159247995937,0.399985963674357
"Q4y_1993",0.399992208578627,0.0952669220022427,0.104781106568954,0.399959762850177
"Q1y_1994",0.399999961823877,0.196013322740806,0.163347651853146,0.240639063582171
"Q2y_1994",0.399996009289532,0.200321300186791,0.177034902700823,0.222647787822853
"Q3y_1994",0.399997911217689,0.187473258382911,0.169310460277229,0.243218370122171
"Q4y_1994",0.399998373005819,0.226186100442449,0.236646371220876,0.137169155330856
"Q1y_1995",0.399999923510118,0.164899940621069,0.255429992135348,0.179670143733466
"Q2y_1995",0.399999995693286,0.246945883752107,0.181800157012147,0.17125396354246
"Q3y_1995",0.399999484097642,0.261335146941406,0.177101327706272,0.161564041254681
"Q4y_1995",0.3999992460674,0.269893611597819,0.165208454703588,0.164898687631192
"Q1y_1996",0.399999980076656,0.363617398764681,0.149553354657020,0.0868292665016428
"Q2y_1996",0.399997027036257,0.379855542218283,0.138113561840113,0.0820338689053469
"Q3y_1996",0.399974354873732,0.399990831259871,0.118214634911892,0.0818201789545057
"Q4y_1996",0.39999869368836,0.310620602367498,0.171328669031504,0.118052034912638
"Q1y_1997",0.399998407058863,0.304794111978637,0.179204076467797,0.116003404494703
"Q2y_1997",0.39999770841364,0.290800863035483,0.210393609265274,0.0988078192856026
"Q3y_1997",0.399999091067464,0.308915490866782,0.192342810028018,0.0987426080377365
"Q4y_1997",0.399999542709697,0.289841431911163,0.148695481691638,0.161463543687502
"Q1y_1998",0.3999993442161,0.36817106228451,0.161365463630850,0.0704641298685395
"Q2y_1998",0.399997716638433,0.357549501875464,0.170100977905798,0.0723518035803045
"Q3y_1998",0.399998132501962,0.329195039142915,0.204920418920567,0.0658864094345562
"Q4y_1998",0.399998901042274,0.238527717243399,0.256490498994518,0.104982882719810
"Q1y_1999",0.399997518691944,0.260205993083036,0.278348079765318,0.0614484084597024
