"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.561047054076855,0.162747531241436,0.139604710730075,0.136600703951635
"Q2y_1984",0.594363769901238,0.109637769856041,0.156187808495389,0.139810651747332
"Q3y_1984",0.526220755118573,0.134127442126936,0.0210968656891581,0.318554937065332
"Q4y_1984",0.54117843488306,0.203126519690819,0.0326681230804776,0.223026922345644
"Q1y_1985",0.522305239471404,0.217307169604561,0.0458547565871988,0.214532834336836
"Q2y_1985",0.526705565523910,0.243147472671739,0.0408062739509171,0.189340687853433
"Q3y_1985",0.503141844244349,0.187212884352124,0.0164544686908632,0.293190802712664
"Q4y_1985",0.528553192268557,0.107945567328311,0.0491544012392382,0.314346839163894
"Q1y_1986",0.565295434040302,0.136055354832742,0.0478266848188992,0.250822526308056
"Q2y_1986",0.540499932743517,0.287524482620344,0.0875221437187417,0.0844534409173978
"Q3y_1986",0.558219178506860,0.291565198192205,0.070014606012505,0.0802010172884308
"Q4y_1986",0.678741823787314,0.118636102303085,0.170107536136834,0.0325145377727665
"Q1y_1987",0.664078777686565,0.223415882275624,0.0485273839170402,0.0639779561207703
"Q2y_1987",0.655670584228817,0.237930128618818,0.0299219603298367,0.0764773268225286
"Q3y_1987",0.694032136827838,0.111553993309031,0.167038302631897,0.0273755672312333
"Q4y_1987",0.687836279379178,0.116694479944872,0.168467183104445,0.0270020575715045
"Q1y_1988",0.688472930983456,0.0453654364534439,0.0875600917636414,0.178601540799459
"Q2y_1988",0.59474454134962,0.0462709494499759,0.0990733274857226,0.259911181714681
"Q3y_1988",0.554953157316614,0.0620274092226028,0.0896354490528919,0.293383984407891
"Q4y_1988",0.574382629089008,0.0605090088001645,0.07891197931455,0.286196382796278
"Q1y_1989",0.56597388182135,0.0485622587449553,0.09038596305506,0.295077896378635
"Q2y_1989",0.569084189164893,0.0604801745973985,0.0747232465221343,0.295712389715574
"Q3y_1989",0.591158545602380,0.082583515084316,0.0415092674533658,0.284748671859939
"Q4y_1989",0.565832854665758,0.114812895306575,0.0173249920628915,0.302029257964776
"Q1y_1990",0.586012219001863,0.0899466013693814,0.0318427204690358,0.29219845915972
"Q2y_1990",0.598442212068798,0.105810955009060,0.000648247837676818,0.295098585084464
"Q3y_1990",0.595618186852349,0.0845528482490379,0.0257140185053693,0.294114946393244
"Q4y_1990",0.673505191937698,0.106140437907259,0.000152126978745016,0.220202243176298
"Q1y_1991",0.73294903116501,0.115958948953596,0.000164855333181362,0.150927164548213
"Q2y_1991",0.735888094658723,0.112119193276046,0.00114245155325093,0.150850260511980
"Q3y_1991",0.674436222732497,0.0936017089625612,6.12081657498653e-07,0.231961456223284
"Q4y_1991",0.682733433772753,0.0898029673577602,1.74581439049418e-06,0.227461853055097
"Q1y_1992",0.732136734384013,0.086904022536744,1.88522033846690e-06,0.180957357858904
"Q2y_1992",0.667218052125203,0.100127200167152,3.02961545441955e-07,0.2326544447461
"Q3y_1992",0.679841833044928,0.0923123433892481,0.00140450528831310,0.226441318277511
"Q4y_1992",0.690660233644296,0.0911875001584828,4.57132461054894e-06,0.218147694872611
"Q1y_1993",0.677579432438996,0.102251001759063,6.10400149280611e-06,0.220163461800448
"Q2y_1993",0.682498789431857,0.095110334053508,5.81393316642223e-07,0.222390295121318
"Q3y_1993",0.71932771092206,0.0925765964276597,0.00104068991031412,0.187055002739966
"Q4y_1993",0.714006598161363,0.0782706439177497,0.0100061103872724,0.197716647533615
"Q1y_1994",0.733438712890068,0.102021368917603,0.000503771333331226,0.164036146858998
"Q2y_1994",0.664667755089918,0.116787520451070,0.00082823654674146,0.217716487912271
"Q3y_1994",0.606559952230161,0.112864785021799,0.0111844798530634,0.269390782894977
"Q4y_1994",0.653125199095204,0.112708909518589,0.0322315959404498,0.201934295445757
"Q1y_1995",0.622398692481317,0.132448310219907,0.000117390688287648,0.245035606610489
"Q2y_1995",0.597086148562036,0.134628995201106,0.00556207093922673,0.262722785297632
"Q3y_1995",0.566262035489698,0.154828179256593,9.96493790550413e-05,0.278810135874654
"Q4y_1995",0.584803096302177,0.156889455434281,1.54072930726165e-07,0.258307294190611
"Q1y_1996",0.601371583452648,0.160546013084638,6.94273353747095e-07,0.238081709189360
"Q2y_1996",0.51776717458087,0.272288717757581,5.19181413386841e-06,0.209938915847415
"Q3y_1996",0.444605717570767,0.372868063868975,3.54398161121882e-07,0.182525864162097
"Q4y_1996",0.611680689542549,0.168269428409018,1.31529765041130e-05,0.220036729071929
"Q1y_1997",0.644734919919173,0.152073512202304,1.39760226216057e-05,0.203177591855901
"Q2y_1997",0.671606307333372,0.150864147451894,0.00220370970133200,0.175325835513402
"Q3y_1997",0.63585228940695,0.137130115631696,1.69978511963975e-05,0.227000597110158
"Q4y_1997",0.634034550469695,0.123622334294387,0.00123944952203353,0.241103665713884
"Q1y_1998",0.722265119027087,0.135059041857001,0.00117197526495757,0.141503863850954
"Q2y_1998",0.695366688151882,0.145332429361119,1.78772712492087e-05,0.159283005215750
"Q3y_1998",0.70724369797012,0.103112063156109,0.0330937955649634,0.156550443308807
"Q4y_1998",0.806403790354929,0.00174736352679772,0.0632358462220176,0.128612999896256
"Q1y_1999",0.759235197703667,0.103973135544144,0.0634131033560539,0.0733785633961345
"Q2y_1999",0.690046203126922,0.0974950710778708,0.127636389897089,0.084822335898119
"Q3y_1999",0.675654000204725,0.170748218470034,0.085699946161384,0.0678978351638571
"Q4y_1999",0.699378268716492,0.0634807195191178,0.154280707421764,0.082860304342626
"Q1y_2000",0.690642315828375,0.104117759711806,0.183190007910914,0.0220499165489049
"Q2y_2000",0.694071915197741,0.118399900265768,0.0895268325765123,0.098001351959978
"Q3y_2000",0.720071777814845,0.0935598212764264,0.0435820095154331,0.142786391393296
"Q4y_2000",0.725173727117111,0.108126381354064,0.0895341583309348,0.0771657331978907
"Q1y_2001",0.794485968383754,0.000236494774686337,0.0911531762494388,0.114124360592121
"Q2y_2001",0.800822323377986,3.44323911267671e-06,0.0749476271674488,0.124226606215452
"Q3y_2001",0.796721947726137,0.00235406553726604,0.0738266459881777,0.127097340748419
"Q4y_2001",0.806641184434103,1.81213516023432e-06,0.0723753681315591,0.120981635299178
"Q1y_2002",0.771493467617691,7.43421502975088e-06,0.143399677592310,0.085099420574969
"Q2y_2002",0.778037653108202,7.82203106099194e-05,0.122257696950739,0.0996264296304495
"Q3y_2002",0.766320804339801,3.56128039176112e-08,0.144492613320721,0.0891865467266743
"Q4y_2002",0.796392449414653,1.23434581566812e-06,0.0881287041009294,0.115477612138602
"Q1y_2003",0.790971393402143,0.000316282338339178,0.0977916659682652,0.110920658291252
"Q2y_2003",0.799842789048206,0.00327198574840549,0.129104978861786,0.0677802463416025
"Q3y_2003",0.8276826806099,0.0240970469748847,0.112743851377727,0.0354764210374878
"Q4y_2003",0.720938208010694,0.0210761094029170,0.188203967661124,0.0697817149252659
"Q1y_2004",0.705701709804714,0.00414686799399378,0.195096117306048,0.0950553048952444
"Q2y_2004",0.7214093600642,0.00360271148760862,0.180982885971892,0.0940050424762988
"Q3y_2004",0.66666171812432,0.0121606091267117,0.187666703294683,0.133510969454285
"Q4y_2004",0.686537135141519,0.0215001797356281,0.172798529612122,0.119164155510731
"Q1y_2005",0.71386423754448,0.0366155785332884,0.166159825816554,0.0833603581056781
"Q2y_2005",0.720217371979729,0.0446765199080024,0.158407972825596,0.076698135286673
"Q3y_2005",0.727998199676444,0.0646115498034782,0.140015823565859,0.0673744269542185
"Q4y_2005",0.723237786931579,0.0750113850407905,0.152619393785072,0.049131434242559
"Q1y_2006",0.725097095954843,0.118515437746556,0.131501383178819,0.024886083119782
"Q2y_2006",0.724876502785192,0.148964412370163,0.108931911399150,0.0172271734454950
"Q3y_2006",0.715838709890293,0.177795002908693,0.0775988449227017,0.0287674422783128
"Q4y_2006",0.663223482705488,0.239664423083779,0.0650678685860034,0.0320442256247303
"Q1y_2007",0.664844409787489,0.240603620285222,0.0764236204180923,0.0181283495091969
"Q2y_2007",0.659498670259951,0.249848539619800,0.0563948345794515,0.0342579555407972
"Q3y_2007",0.662084054071809,0.23702965057422,0.0567997823660431,0.0440865129879279
"Q4y_2007",0.678400016691346,0.22348100841463,0.0487147313435796,0.0494042435504443
"Q1y_2008",0.700759234362127,0.206574667606942,0.0472978979150839,0.0453682001158475
"Q2y_2008",0.731941023419782,0.191374231451540,0.0225912448496722,0.0540935002790061
"Q3y_2008",0.724901348197563,0.186277681775874,0.0219164107108857,0.0669045593156778
"Q4y_2008",0.787871353956244,0.166383636022628,0.000980235337865533,0.0447647746832619
"Q1y_2009",0.821423808888374,0.133621797085787,0.0448251615919704,0.000129232433868501
"Q2y_2009",0.814294075529557,0.131632411625126,0.0538557302360378,0.000217782609278897
"Q3y_2009",0.832882425483359,0.121323881245808,0.0457833629922518,1.03302785818120e-05
"Q4y_2009",0.824885515399111,0.119796927654235,0.0534835968464712,0.00183396010018222
"Q1y_2010",0.805274059468858,0.126899200870529,0.0678206193483649,6.12031224847579e-06
"Q2y_2010",0.778466943228508,0.143597507990334,0.0772942419555393,0.000641306825618433
"Q3y_2010",0.814978128568176,0.138291511565143,0.00197212894960384,0.0447582309170781
