"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.113537776447738,0.502853079464197,0.173776487866944,0.209832656221122
"Q2y_1981",0.172350788415384,0.46084394085915,0.193592995706638,0.173212275018829
"Q3y_1981",0.199201652099181,0.466159440037289,0.192795657118988,0.141843250744541
"Q4y_1981",0.244926983217538,0.455152210358347,0.175618163532857,0.124302642891259
"Q1y_1982",0.0774214319721158,0.468850962046552,0.248618413672621,0.205109192308712
"Q2y_1982",0.0969403064494513,0.457637254834157,0.248480664623254,0.196941774093138
"Q3y_1982",0.122394790518622,0.452983977757459,0.23765309429794,0.186968137425979
"Q4y_1982",0.106412347251455,0.459700049135147,0.240833959214693,0.193053644398704
"Q1y_1983",0.112543144991436,0.460102273453087,0.226719825944095,0.200634755611382
"Q2y_1983",0.152902148780807,0.424467550072116,0.240392918528923,0.182237382618154
"Q3y_1983",0.189601905397601,0.437424874040047,0.202255957827463,0.170717262734888
"Q4y_1983",0.176852285751044,0.381588090329162,0.313486669336488,0.128072954583306
"Q1y_1984",0.180896182556509,0.41408160798954,0.310009042091537,0.0950131673624143
"Q2y_1984",0.198780971165206,0.405044482028049,0.310451176175138,0.0857233706316073
"Q3y_1984",0.214377891396005,0.39713653305318,0.298965711735272,0.0895198638155428
"Q4y_1984",0.233484224203701,0.406327904650022,0.279632090861567,0.0805557802847104
"Q1y_1985",0.694931417956704,0.084954141872132,0.0130446798028558,0.207069760368309
"Q2y_1985",0.694931417956704,0.084954141872132,0.0130446798028558,0.207069760368309
"Q3y_1985",0.690098572752288,0.0104429755264415,0.0966280552105077,0.202830396510762
"Q4y_1985",0.710274997177909,0.073838696316249,0.0149614906181812,0.200924815887661
"Q1y_1986",0.707803469190228,0.00349571621564069,0.0854569050204313,0.2032439095737
"Q2y_1986",0.712293764970729,0.000215188074300799,0.094179257690666,0.193311789264304
"Q3y_1986",0.726651623491144,0.00210296701654785,0.0864976763159762,0.184747733176332
"Q4y_1986",0.739553567679164,0.00340868643751038,0.0777197846224908,0.179317961260835
"Q1y_1987",0.735958958652469,0.00461421842988938,0.0766814578870139,0.182745365030627
"Q2y_1987",0.731091100025705,0.000558375239309572,0.0916640366584556,0.176686488076529
"Q3y_1987",0.731899266658978,0.000213399025474808,0.0883535922434024,0.179533742072145
"Q4y_1987",0.42503773073885,0.222011195132153,0.294271255945542,0.0586798181834539
"Q1y_1988",0.682571518865384,0.116885233778261,0.0102219857387533,0.190321261617601
"Q2y_1988",0.758926637136192,0.0557122403189526,0.00410079319580394,0.181260329349052
"Q3y_1988",0.689689281154276,0.113655909129749,0.00956483756778932,0.187089972148185
"Q4y_1988",0.708523084981673,0.000522808438373699,0.108042734478209,0.182911372101744
