"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.871605826370251,0.00477762687285185,0.0109116441190742,0.112704902637823
"Q2y_1984",0.889783569516868,0,0.00617877719252601,0.104037653290606
"Q3y_1984",0.808587375016791,0.00242829949311527,0,0.188984325490093
"Q4y_1984",0.776974313749082,0.0250584946961329,0,0.197967191554785
"Q1y_1985",0.730258020569149,0.0469257143982935,0,0.222816265032557
"Q2y_1985",0.756521681649986,0.0447172217563282,0,0.198761096593686
"Q3y_1985",0.716457752236483,0.0666276214763916,0.0284779100584668,0.188436716228659
"Q4y_1985",0.80978435999588,0,0.0417065659069976,0.148509074097122
"Q1y_1986",0.706983375921135,0.0438877834257868,0.0806500623885741,0.168478778264504
"Q2y_1986",0.77677959018272,0.0588768904312777,0.0459191702506151,0.118424349135387
"Q3y_1986",0.846907443684279,0.0295469383043256,0.019065818669598,0.104479799341798
"Q4y_1986",0.895741169273878,0,0.0193208669001028,0.0849379638260195
"Q1y_1987",0.923179001364563,0,0,0.076820998635437
"Q2y_1987",0.917487592161531,0.0171754765717815,0,0.0653369312666876
"Q3y_1987",0.817643620740114,0.0360245812292565,0.0136321133954659,0.132699684635164
"Q4y_1987",0.74567464109994,0.070736415061877,0.026924312169975,0.156664631668209
"Q1y_1988",0.791850843578842,0,0,0.208149156421158
"Q2y_1988",0.739329707210154,0,0.0152015288576926,0.245468763932153
"Q3y_1988",0.762192630258691,0.000948026439366672,0.00894695707608368,0.227912386225859
"Q4y_1988",0.81867460419139,0,0,0.181325395808609
"Q1y_1989",0.820091366329677,0,0,0.179908633670323
"Q2y_1989",0.838666474669503,0,0,0.161333525330497
"Q3y_1989",0.806786703076145,0,0,0.193213296923855
"Q4y_1989",0.796658025449259,0.00767443043678136,0,0.19566754411396
"Q1y_1990",0.830714751735257,0.00259920273917489,0,0.166686045525568
"Q2y_1990",0.841167285114057,0,0,0.158832714885943
"Q3y_1990",0.830549030915222,0,0,0.169450969084778
"Q4y_1990",0.814970974139267,0,0,0.185029025860733
"Q1y_1991",0.854146775612224,0,0,0.145853224387776
"Q2y_1991",0.897065223256617,0.000476773861056701,3.84549356768963e-11,0.102458002843872
"Q3y_1991",0.912661300549703,0,0,0.0873386994502973
"Q4y_1991",0.900447955657398,0,0,0.099552044342602
"Q1y_1992",0.889781444167662,0,0,0.110218555832338
"Q2y_1992",0.860357883443967,0.00161880816217538,0,0.138023308393857
"Q3y_1992",0.887671752686215,0,0,0.112328247313785
"Q4y_1992",0.912898593917074,0,0,0.087101406082926
"Q1y_1993",0.883462454204355,0.0089980268072745,0,0.107539518988370
"Q2y_1993",0.815500128961091,0.0117696906447670,0,0.172730180394142
"Q3y_1993",0.905165389400162,0.0163618932860506,0,0.0784727173137877
"Q4y_1993",0.875033131876418,0.00438342209943160,0,0.120583446024151
"Q1y_1994",0.873671607411075,0.0393819304909464,0,0.0869464620979789
"Q2y_1994",0.68471640788832,0.124293825760219,0.00317561538313981,0.187814150968322
"Q3y_1994",0.771975903491077,0.0707012516173914,0.0243327951136100,0.132990049777921
"Q4y_1994",0.767269528219568,0.0618329287390112,0.0293022550793321,0.141595287962088
"Q1y_1995",0.865303928217606,0.0141275067590635,0.0083619512192949,0.112206613804036
"Q2y_1995",0.82447590242173,0.0208195992107938,0.00672930050041381,0.147975197867063
"Q3y_1995",0.692575600181886,0.101105710247304,0,0.206318689570811
"Q4y_1995",0.769569723236407,0.0585108674011055,0,0.171919409362488
"Q1y_1996",0.92425145823616,0,0,0.075748541763841
"Q2y_1996",0.702882686189817,0.161859034949965,0,0.135258278860218
"Q3y_1996",0.696488140324417,0.184523727757222,0,0.118988131918361
"Q4y_1996",0.889889719230339,0.0131966872072150,0.00212068196086731,0.0947929116015786
"Q1y_1997",0.867330479180553,0.00589202724991351,0.0137715090516153,0.113005984517918
