"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.401063997600221,0.193097393220719,0.196916746638769,0.208921862540291
"Q2y_1984",0.426973821061868,0.185365399619751,0.188923261340457,0.198737517977924
"Q3y_1984",0.361967946728130,0.181385662732067,0.175400488473509,0.281245902066293
"Q4y_1984",0.391829030981618,0.194584702179042,0.193123206543525,0.220463060295815
"Q1y_1985",0.368702692202219,0.202338349800705,0.199925527931669,0.229033430065407
"Q2y_1985",0.381778718614844,0.198904519429637,0.195044260185703,0.224272501769815
"Q3y_1985",0.337577448646344,0.185712068824690,0.182184340158519,0.294526142370447
"Q4y_1985",0.362534208843479,0.180704130414631,0.179374855021628,0.277386805720261
"Q1y_1986",0.393778208958092,0.179818802358520,0.173870944339910,0.252532044343477
"Q2y_1986",0.387914140565742,0.192018423840311,0.185654069195467,0.234413366398481
"Q3y_1986",0.406956488736479,0.191049349741460,0.175681315319128,0.226312846202934
"Q4y_1986",0.439870354019397,0.178662476312005,0.169222437999820,0.212244731668777
"Q1y_1987",0.468205412766089,0.173905450736371,0.158802801026267,0.199086335471274
"Q2y_1987",0.488081422740837,0.166225963872856,0.151820072017248,0.193872541369060
"Q3y_1987",0.456201925012826,0.177492151275945,0.164371111351236,0.201934812359993
"Q4y_1987",0.461667991180319,0.175865423555824,0.162400656597217,0.200065928666639
"Q1y_1988",0.440376850855506,0.167945240319508,0.157319931923965,0.234357976901021
"Q2y_1988",0.416730504933003,0.170796605140534,0.160082118130487,0.252390771795976
"Q3y_1988",0.427183698773372,0.165748039074861,0.153560050796919,0.253508211354848
"Q4y_1988",0.439347230968367,0.158752043402537,0.147423740248500,0.254476985380597
"Q1y_1989",0.446448378705394,0.159239675259682,0.146275612303262,0.248036333731662
"Q2y_1989",0.457000143691407,0.153585489514271,0.143214015557214,0.246200351237108
"Q3y_1989",0.45862534446157,0.154379349520401,0.141390807605461,0.245604498412568
"Q4y_1989",0.442508258686196,0.159913822052587,0.140063232015698,0.257514687245518
"Q1y_1990",0.466317136303441,0.153542464133135,0.134887134159918,0.245253265403505
"Q2y_1990",0.47192048118848,0.153380238226115,0.131222882914333,0.243476397671072
"Q3y_1990",0.46460912813637,0.147338481418468,0.131347331625666,0.256705058819496
"Q4y_1990",0.526376183481479,0.164121143625526,0.112630990393641,0.196871682499354
"Q1y_1991",0.572244653995085,0.171997280604892,0.101243346287693,0.154514719112330
"Q2y_1991",0.572530921695834,0.160886471432443,0.107521979182194,0.159060627689529
"Q3y_1991",0.514681988062131,0.137124749805477,0.114432213556607,0.233761048575785
"Q4y_1991",0.516649123855921,0.137952982281149,0.115426526161804,0.229971367701125
"Q1y_1992",0.545348718497708,0.136041114649441,0.117576196981496,0.201033969871355
"Q2y_1992",0.492767607066385,0.143221250438951,0.125302245492429,0.238708897002235
"Q3y_1992",0.50671029406497,0.139587347486227,0.113244870330169,0.240457488118633
"Q4y_1992",0.502463237336069,0.140094169630856,0.113858728731159,0.243583864301916
"Q1y_1993",0.484154299055358,0.146314525959732,0.126647270528203,0.242883904456706
"Q2y_1993",0.484467888338189,0.140594355282788,0.125977504326504,0.248960252052519
"Q3y_1993",0.518208823998401,0.143239324384292,0.112469789792541,0.226082061824766
"Q4y_1993",0.512860235830399,0.133477955594413,0.114774102192187,0.238887706383001
"Q1y_1994",0.536635500892906,0.151301649339868,0.106333068783483,0.205729780983742
"Q2y_1994",0.494121454239128,0.158656031879794,0.125422270364517,0.221800243516562
"Q3y_1994",0.451909519121898,0.15519479073552,0.136389698809658,0.256505991332924
"Q4y_1994",0.477065861772628,0.166223636074961,0.154216548881081,0.20249395327133
"Q1y_1995",0.464381547618579,0.16011398914744,0.130810833048272,0.244693630185709
"Q2y_1995",0.438693550470168,0.160653004433741,0.139023537262631,0.261629907833460
"Q3y_1995",0.40765868921596,0.174746498518002,0.143670800152193,0.273924012113845
"Q4y_1995",0.434202221621943,0.177645911826000,0.129632814541369,0.258519052010688
"Q1y_1996",0.439370285203717,0.183509328899252,0.136981621436430,0.240138764460600
"Q2y_1996",0.416433392668086,0.221338998041902,0.145144580109258,0.217083029180754
"Q3y_1996",0.398600263655729,0.256980286202486,0.1365440563805,0.207875393761285
"Q4y_1996",0.45317230390636,0.19264397230532,0.147019665328580,0.20716405845974
"Q1y_1997",0.470866477212928,0.183566488696244,0.157703292365213,0.187863741725616
"Q2y_1997",0.488371302487223,0.182526197306722,0.161743314964664,0.167359185241391
"Q3y_1997",0.462318206587602,0.162161057379621,0.143442605431444,0.232078130601333
"Q4y_1997",0.473968024298876,0.157192983467989,0.132189179527092,0.236649812706043
"Q1y_1998",0.524552011024375,0.171193663225277,0.142556378515114,0.161697947235234
"Q2y_1998",0.509389977138507,0.161300422511068,0.139855873481176,0.189453726869250
"Q3y_1998",0.504056098497509,0.151296100813595,0.147817596694149,0.196830203994747
"Q4y_1998",0.589277142555982,0.125465126927415,0.113760585429642,0.171497145086961
"Q1y_1999",0.606190264060126,0.135194285492067,0.127387448580088,0.13122800186772
"Q2y_1999",0.545283239335236,0.144512425422971,0.154502352775120,0.155701982466674
"Q3y_1999",0.56804405903966,0.150947166473300,0.149614050337744,0.131394724149296
"Q4y_1999",0.561808745208238,0.146959062408531,0.155572790358724,0.135659402024507
"Q1y_2000",0.57105977044522,0.141425942860773,0.149598699654518,0.137915587039489
"Q2y_2000",0.580979103014535,0.140907492045337,0.133661668479752,0.144451736460377
"Q3y_2000",0.581938395383567,0.140000244013738,0.13572393597558,0.142337424627115
"Q4y_2000",0.597871901253061,0.143406113174953,0.146498929526326,0.112223056045661
"Q1y_2001",0.601732246379879,0.134052330641357,0.138748928540188,0.125466494438575
"Q2y_2001",0.61486354322588,0.124358979809473,0.123693607651311,0.137083869313336
"Q3y_2001",0.620692056141107,0.119512663640717,0.119557198683839,0.140238081534338
"Q4y_2001",0.619939766275930,0.115946051690598,0.127079723478489,0.137034458554984
"Q1y_2002",0.617745057741435,0.124171798781850,0.128617067806256,0.129466075670460
"Q2y_2002",0.621914823184979,0.119898456020834,0.126849382706973,0.131337338087213
"Q3y_2002",0.606558557755572,0.129149498176461,0.136404822276907,0.127887121791059
"Q4y_2002",0.628679120562206,0.117734620067885,0.119284624445722,0.134301634924187
"Q1y_2003",0.639592602481812,0.105024534209311,0.112218591098818,0.143164272210058
"Q2y_2003",0.64564251976368,0.114850421871056,0.129232766121043,0.110274292244221
"Q3y_2003",0.679135537468707,0.117305887750363,0.114410785762931,0.089147789017999
"Q4y_2003",0.586101654350445,0.142826899552024,0.145727194236009,0.125344251861522
"Q1y_2004",0.576303215203103,0.141709067395320,0.139370193876660,0.142617523524917
"Q2y_2004",0.586339523317079,0.139174370519286,0.133955193172616,0.140530912991019
"Q3y_2004",0.543482010834308,0.148024408241630,0.141320819056103,0.167172761867958
"Q4y_2004",0.562916121578845,0.150393092949154,0.138287928980365,0.148402856491637
"Q1y_2005",0.586235572100904,0.154060292366113,0.128616426549172,0.131087708983812
"Q2y_2005",0.605161047806462,0.152646948521028,0.126539522625243,0.115652481047266
"Q3y_2005",0.616275096644377,0.151804420413368,0.124960184412955,0.1069602985293
"Q4y_2005",0.62443351190534,0.156476545832932,0.124116190497754,0.094973751763974
"Q1y_2006",0.623687503557184,0.161933581254422,0.123739774443851,0.0906391407445427
"Q2y_2006",0.635676934799452,0.163429079481122,0.116484681327968,0.0844093043914588
"Q3y_2006",0.630094198476157,0.163848481679482,0.110422881441748,0.0956344384026135
"Q4y_2006",0.608693315220505,0.178990503599798,0.110007508762229,0.102308672417468
"Q1y_2007",0.613736846623691,0.183024658679434,0.110514523411911,0.0927239712849635
"Q2y_2007",0.600884832925163,0.191112799606920,0.111202477412965,0.0967998900549525
"Q3y_2007",0.596507094490513,0.178735655187221,0.112501878412572,0.112255371909693
"Q4y_2007",0.608137309066545,0.168607052171459,0.111325008319501,0.111930630442495
"Q1y_2008",0.627897551685429,0.161758276957610,0.109577770764631,0.10076640059233
"Q2y_2008",0.667853761903586,0.144281835576953,0.0906456690461101,0.0972187334733511
"Q3y_2008",0.66487404186369,0.142825481355855,0.0942239900366258,0.0980764867438297
"Q4y_2008",0.705138511544558,0.134177930793796,0.0859503174136603,0.0747332402479858
"Q1y_2009",0.750450686582563,0.117312450296918,0.0762488118198922,0.0559880513006267
"Q2y_2009",0.72492103945201,0.114590946232860,0.088706460500612,0.071781553814518
"Q3y_2009",0.746688624124212,0.103545942890531,0.0777831720678135,0.0719822609174437
"Q4y_2009",0.711112491580148,0.104894036133200,0.0875438270283331,0.096449645258319
"Q1y_2010",0.66927594319138,0.103218559909657,0.111204989279619,0.116300507619344
"Q2y_2010",0.635549521170534,0.118039207736790,0.126787902712968,0.119623368379708
"Q3y_2010",0.703479573085703,0.113502894546929,0.0889448224577173,0.0940727099096515
