"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.406168470891816,0.208689316764168,0.163492935928389,0.221649276415627
"Q2y_1981",0.502124887554964,0.171307593052456,0.145624236070842,0.180943283321738
"Q3y_1981",0.435638457514651,0.19306443763219,0.167035433795526,0.204261671057633
"Q4y_1981",0.469077071542002,0.181600470890024,0.150935793217789,0.198386664350184
"Q1y_1982",0.297768766656137,0.237819673958414,0.203620436932397,0.260791122453052
"Q2y_1982",0.330363199531304,0.223676044950116,0.200646915520121,0.245313839998459
"Q3y_1982",0.356394870403183,0.21441625835492,0.194406402911486,0.234782468330411
"Q4y_1982",0.316456717048961,0.217372797783226,0.206783286414905,0.259387198752908
"Q1y_1983",0.332348087883513,0.210196935420112,0.197740072949005,0.259714903747369
"Q2y_1983",0.365167418476998,0.20137380234828,0.188244228806943,0.245214550367779
"Q3y_1983",0.39626882963071,0.189054954585224,0.181795018283307,0.23288119750076
"Q4y_1983",0.403590180766429,0.18467082393514,0.18214201507137,0.229596980227061
"Q1y_1984",0.429940260351893,0.173271328310509,0.181001378826797,0.215787032510801
"Q2y_1984",0.444102350536611,0.16622004779099,0.181205188996713,0.208472412675686
"Q3y_1984",0.367156182279279,0.152921974679813,0.167305483347249,0.312616359693659
"Q4y_1984",0.395147705946065,0.167757082185008,0.187470313441995,0.249624898426932
"Q1y_1985",0.357890770982387,0.167282099965737,0.198928815240125,0.275898313811751
"Q2y_1985",0.361887963062694,0.160795812124438,0.1931899186714,0.284126306141469
"Q3y_1985",0.338941338541136,0.160534733660151,0.209822736309736,0.290701191488977
"Q4y_1985",0.376734046188308,0.163865971002045,0.173054394575067,0.28634558823458
"Q1y_1986",0.361710369716988,0.168679084375547,0.19178995719184,0.277820588715624
"Q2y_1986",0.376248624404117,0.172313043008152,0.20939143444418,0.242046898143551
"Q3y_1986",0.396230191024289,0.16629231913337,0.208370466317308,0.229107023525034
"Q4y_1986",0.428374937608455,0.156114739660493,0.198865320100717,0.216645002630335
"Q1y_1987",0.439328518200091,0.149111587729055,0.194612220677247,0.216947673393606
"Q2y_1987",0.459041973054767,0.142496679546102,0.204757341231355,0.193704006167776
"Q3y_1987",0.434040654867894,0.148989047102084,0.209045606978944,0.207924691051079
"Q4y_1987",0.417133111686399,0.154103026988212,0.20938786725581,0.21937599406958
"Q1y_1988",0.445194454446805,0.154122769608725,0.146495268650566,0.254187507293904
"Q2y_1988",0.421043351781058,0.156880060085099,0.15975770727872,0.262318880855123
"Q3y_1988",0.42256205465415,0.152124555554665,0.166467487582319,0.258845902208867
"Q4y_1988",0.428125698308906,0.144766076004021,0.169318828506121,0.257789397180952
"Q1y_1989",0.440246097637789,0.145064368350117,0.176449990088622,0.238239543923472
"Q2y_1989",0.450477314289759,0.140683322936587,0.177277189978892,0.231562172794761
"Q3y_1989",0.430597174573129,0.141797232200734,0.187591980914882,0.240013612311255
"Q4y_1989",0.432101717277954,0.140883701328458,0.188944842276926,0.238069739116663
"Q1y_1990",0.455976019662437,0.140336299091877,0.174657871329487,0.2290298099162
