"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.867153818052183,3.46944695195361e-18,0.00397607246302454,0.128870109484792
"Q2y_1984",0.888088132418343,-4.88621801273951e-19,0,0.111911867581657
"Q3y_1984",0.809114088682236,0,0,0.190885911317764
"Q4y_1984",0.778632274541819,0,-5.10632169738979e-18,0.221367725458181
"Q1y_1985",0.719804116487903,0.019926732133614,1.73472347597681e-18,0.260269151378483
"Q2y_1985",0.765141806446277,0.00336631367134889,0,0.231491879882374
"Q3y_1985",0.717891478740934,0.0169484993402845,0.0136266959443300,0.251533325974452
"Q4y_1985",0.801796982105014,0,0.00726526627638802,0.190937751618598
"Q1y_1986",0.730135232123747,0.0127291384660454,0.027616038151015,0.229519591259192
"Q2y_1986",0.789660325368002,0.00378120137381039,1.73472347597681e-18,0.206558473258187
"Q3y_1986",0.842602262575942,0,-5.19934904851983e-18,0.157397737424058
"Q4y_1986",0.883304956385581,0,-5.47723356229808e-18,0.116695043614419
"Q1y_1987",0.904219315419375,0,-2.85049698513562e-18,0.0957806845806248
"Q2y_1987",0.917839117797303,0,5.24172912964368e-19,0.0821608822026969
"Q3y_1987",0.852272741221143,0,9.31614147935185e-20,0.147727258778857
"Q4y_1987",0.813043454329483,0.00903084227537476,0,0.177925703395142
"Q1y_1988",0.79149078802873,0,2.69632178840663e-18,0.208509211971270
"Q2y_1988",0.751723454038773,0,9.61406273506729e-22,0.248276545961227
"Q3y_1988",0.773391851462091,0,7.15008170348738e-19,0.226608148537909
"Q4y_1988",0.817257281573014,0,2.21735107744200e-18,0.182742718426985
"Q1y_1989",0.835977807975523,0,-3.50828933185366e-18,0.164022192024476
"Q2y_1989",0.860907659255736,0,7.64339070161226e-18,0.139092340744264
"Q3y_1989",0.826078670589026,0,-1.87107385697344e-19,0.173921329410974
"Q4y_1989",0.826154853161601,0,2.97797566219684e-20,0.173845146838399
"Q1y_1990",0.857154633610853,0,-6.59394340355775e-19,0.142845366389147
"Q2y_1990",0.863076336817016,0,5.00869759733375e-18,0.136923663182984
"Q3y_1990",0.843779997441462,0,-2.69141503202112e-18,0.156220002558538
"Q4y_1990",0.85951510020604,0.00243843267324242,0,0.138046467120718
"Q1y_1991",0.873736690734103,-2.16840434497101e-19,1.32573413231392e-19,0.126263309265897
"Q2y_1991",0.907276363145322,0,9.98808632218135e-19,0.0927236368546783
"Q3y_1991",0.91947843774903,0,-2.35889770053e-19,0.0805215622509697
"Q4y_1991",0.908250908650923,0,0,0.091749091349077
"Q1y_1992",0.88632953041554,-8.67361737988404e-19,1.58817101520740e-18,0.113670469584460
"Q2y_1992",0.861875882971157,2.16840434497101e-19,3.52095608661522e-19,0.138124117028843
"Q3y_1992",0.888109933077371,0,-3.10258826954068e-19,0.111890066922629
"Q4y_1992",0.910304948998989,0,-1.12897247138353e-18,0.0896950510010108
"Q1y_1993",0.87912319147072,0.00280286454194668,0.00572731668279696,0.112346627304536
"Q2y_1993",0.811091384611401,0.00692933496636171,0,0.181979280422237
"Q3y_1993",0.89593137424417,0.0149433891229243,0,0.0891252366329054
"Q4y_1993",0.85152294768414,0.00343831443039511,0,0.145038737885465
"Q1y_1994",0.851704663131936,0.032112658041686,0,0.116182678826378
"Q2y_1994",0.671600296913013,0.118012732423723,0,0.210386970663264
"Q3y_1994",0.778651521814245,0.0687559192060152,0.0127173529038429,0.139875206075897
"Q4y_1994",0.773373346165713,0.0480437872630711,0.0207321712151033,0.157850695356113
"Q1y_1995",0.864130812291531,0.00503231103535039,0.00463081526731952,0.126206061405799
"Q2y_1995",0.819969171868614,0,0.00950493161036673,0.170525896521019
"Q3y_1995",0.694467153560786,0.056146221224252,0.00757431811871795,0.241812307096244
"Q4y_1995",0.796965800451497,0.00806981646202422,0,0.194964383086479
"Q1y_1996",0.921925206748917,0,0,0.0780747932510828
"Q2y_1996",0.838166106783814,0.0203279435139232,0.0233732839694026,0.11813266573286
"Q3y_1996",0.867834080980444,0.0266380428562065,0.0093785499322948,0.0961493262310543
"Q4y_1996",0.915161573331483,0,0.00488252188968672,0.0799559047788302
"Q1y_1997",0.88928852887347,0,0.0185148022295190,0.0921966688970102
"Q2y_1997",0.907316626348228,0,0.0182967602874807,0.0743866133642912
"Q3y_1997",0.937742118149487,9.33668477146664e-19,0,0.0622578818505124
"Q4y_1997",0.89038403430024,7.72130063972418e-19,0,0.109615965699759
"Q1y_1998",0.970392013294368,1.57176399548527e-18,0,0.0296079867056316
"Q2y_1998",0.969094714041714,-1.30671206243346e-18,0,0.0309052859582858
"Q3y_1998",0.974236026950702,-1.04102276834107e-18,0,0.0257639730492981
"Q4y_1998",0.990021346110727,-6.20035325664756e-20,0,0.00997865388927363
"Q1y_1999",0.999854824605848,-9.38152655131876e-21,0,0.000145175394152042
"Q2y_1999",0.983633789904059,4.91971672843725e-21,0.0163662100959410,0
"Q3y_1999",0.980595632468416,-1.38777878078145e-17,0.0148373064038049,0.00456706112777963
"Q4y_1999",0.981605951165708,0,0.0134524863708378,0.00494156246345376
"Q1y_2000",0.986841445684738,0,0.0131585543152616,0
"Q2y_2000",0.9854577325339,0,0.0145422674660994,0
"Q3y_2000",0.982428265561838,1.50242920080832e-20,0.0175717344381616,0
"Q4y_2000",0.989230425246594,0,0.0107695747534062,0
"Q1y_2001",0.972840648766764,2.12261382927091e-19,0.0271593512332360,-8.67361737988404e-19
"Q2y_2001",0.986817032709634,-1.00273362261728e-19,0.0131829672903664,0
"Q3y_2001",0.987374971306246,1.40524040973144e-19,0.0126250286937536,0
"Q4y_2001",0.977521062598074,1.75815051985618e-19,0.0224789374019257,0
"Q1y_2002",0.918568180721247,0,0.0663941846621415,0.0150376346166119
"Q2y_2002",0.88708177089012,0,0.0934937729831777,0.0194244561267025
"Q3y_2002",0.902808315939281,0,0.0771877147143515,0.0200039693463676
"Q4y_2002",0.92051708077568,6.93889390390723e-18,0.0571505322849665,0.0223323869393532
"Q1y_2003",0.912954706633186,0,0.0697562591181505,0.0172890342486638
"Q2y_2003",0.931448931783464,1.18066702388910e-19,0.0685510682165354,0
"Q3y_2003",0.944937193937958,1.12752227822068e-19,0.0550628060620417,0
"Q4y_2003",0.821793425382254,0.0213281756756211,0.124255167281403,0.0326232316607215
"Q1y_2004",0.851427705092664,0.0212370831917847,0.0892534240086247,0.0380817877069265
"Q2y_2004",0.888858606702739,0.0159740624665715,0.0750382100044641,0.0201291208262250
"Q3y_2004",0.819434672804775,0.0519695669886764,0.0828809700053888,0.0457147902011602
"Q4y_2004",0.853453576357054,0.0610798243986015,0.0665111993274156,0.0189553999169287
"Q1y_2005",0.867377848968289,0.0812484675607624,0.0396950471333354,0.0116786363376134
"Q2y_2005",0.86704952293071,0.102641108315497,0.0137140813864683,0.0165952873673242
"Q3y_2005",0.88090340498743,0.0941800230720752,0.0126205814244780,0.0122959905160164
"Q4y_2005",0.814918279146475,0.167475872522954,0,0.0176058483305709
"Q1y_2006",0.845864100261588,0.145594628333566,0,0.00854127140484631
"Q2y_2006",0.839352009774132,0.153057683844451,0,0.00759030638141746
"Q3y_2006",0.873236908283844,0.118770065294514,0,0.00799302642164246
"Q4y_2006",0.838837207528107,0.143804843248804,-6.93889390390723e-18,0.0173579492230899
