"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.399985539579336,0.238442486133435,0.194457479841490,0.167114494445740
"Q2y_1984",0.399999929938655,0.234461245584064,0.199561258339459,0.165977566137822
"Q3y_1984",0.399999818505742,0.203889842783317,0.153901171271506,0.242209167439436
"Q4y_1984",0.399998050895627,0.233725741776103,0.171800988891098,0.194475218437173
"Q1y_1985",0.399992440297476,0.229752084963748,0.172975894372916,0.197279580365860
"Q2y_1985",0.399999702101708,0.234002501285698,0.172484065036720,0.193513731575874
"Q3y_1985",0.399999896614076,0.216843269453148,0.153937166187854,0.229219667744922
"Q4y_1985",0.399979056581637,0.202044570433031,0.159476688220410,0.238499684764922
"Q1y_1986",0.399999121688404,0.216789290039181,0.163667080303487,0.219544507968928
"Q2y_1986",0.399979205706265,0.235475158761883,0.183427436475779,0.181118199056073
"Q3y_1986",0.399996853689102,0.236851456015349,0.179452058845673,0.183699631449876
"Q4y_1986",0.399999988290842,0.221674900349119,0.192754915827762,0.185570195532277
"Q1y_1987",0.399956743932897,0.223052332179747,0.192718661939419,0.184272261947937
"Q2y_1987",0.399999682234099,0.233545728029878,0.190934975848523,0.175519613887499
"Q3y_1987",0.399989050436295,0.233563376263363,0.183606674324791,0.182840898975550
"Q4y_1987",0.39997930370802,0.230356867802354,0.181377427096197,0.188286401393429
"Q1y_1988",0.39999999015554,0.182195096400458,0.180283111218449,0.237521802225553
"Q2y_1988",0.399996583602269,0.148313636526374,0.163747383047641,0.287942396823716
"Q3y_1988",0.399984828388145,0.147901104589802,0.156969426912066,0.295144640109987
"Q4y_1988",0.399999984787189,0.147056551913195,0.152400288135851,0.300543175163765
"Q1y_1989",0.399985743302767,0.141671854899625,0.148486635976215,0.309855765821392
"Q2y_1989",0.399978862070098,0.140389758697419,0.139423822586837,0.320207556645646
"Q3y_1989",0.399999914428326,0.144313179134527,0.131254586593651,0.324432319843496
"Q4y_1989",0.399999994700962,0.145345337035725,0.128564800773803,0.32608986748951
"Q1y_1990",0.399933413420113,0.145722455233313,0.125434242570366,0.328909888776208
"Q2y_1990",0.399998895243887,0.149572291678773,0.119136720652959,0.331292092424382
"Q3y_1990",0.399998158071093,0.142314977249015,0.125797189278258,0.331889675401634
"Q4y_1990",0.399999872080293,0.174186534082044,0.12021630105778,0.305597292779883
"Q1y_1991",0.399979806060832,0.224910970352110,0.133088317136774,0.242020906450284
"Q2y_1991",0.399888986101156,0.212443324551355,0.141897019744819,0.24577066960267
"Q3y_1991",0.399997623163831,0.154048079246793,0.122546234543631,0.323408063045745
"Q4y_1991",0.399925207703225,0.152257745299706,0.124237848349976,0.323579198647093
"Q1y_1992",0.399999753125262,0.166623740358000,0.145586812024965,0.287789694491773
"Q2y_1992",0.399999858948741,0.155973287084077,0.133790064631292,0.310236789335891
