"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.85840206624774,0,0.00855443138592648,0.133043502366333
"Q2y_1984",0.878047463595055,-3.81047920225295e-19,0,0.121952536404945
"Q3y_1984",0.80235958879753,0.00504989910556726,0,0.192590512096903
"Q4y_1984",0.765582484373444,0.0133729273791567,1.73472347597681e-18,0.221044588247399
"Q1y_1985",0.686737230602171,0.0519163135271215,0.0010713586555008,0.260275097215207
"Q2y_1985",0.728682315012463,0.0354244814727669,0,0.23589320351477
"Q3y_1985",0.650491358266327,0.0627314826404325,0.0210911925902219,0.265685966503018
"Q4y_1985",0.759166117238077,0.0193139510049859,0.0137020832543650,0.207817848502572
"Q1y_1986",0.687383501539152,0.0423649908403816,0.0352719985523745,0.234979509068092
"Q2y_1986",0.743665764541886,0.0361000246465388,0.00213012497529712,0.218104085836278
"Q3y_1986",0.821007075862793,0.00449522785588014,0,0.174497696281326
"Q4y_1986",0.870892233798024,0,-2.97027203535039e-18,0.129107766201976
"Q1y_1987",0.897491163033579,0,-2.11291520412072e-18,0.102508836966421
"Q2y_1987",0.910309021444024,0,1.86330848020141e-18,0.0896909785559756
"Q3y_1987",0.883361967133379,0,3.99165161363459e-19,0.116638032866621
"Q4y_1987",0.814757786164529,0.0169013863786225,0,0.168340827456849
"Q1y_1988",0.778350694303557,0,8.47802873103183e-19,0.221649305696443
"Q2y_1988",0.714857859466036,0.0138623903439107,0,0.271279750190053
"Q3y_1988",0.735902622022632,0.00975607416426742,0,0.254341303813101
"Q4y_1988",0.79270416548012,0.000356612583714333,0,0.206939221936165
"Q1y_1989",0.811224945602597,0,0,0.188775054397404
"Q2y_1989",0.840218548086754,1.73472347597681e-18,0,0.159781451913246
"Q3y_1989",0.806573424384833,0.000219973730531362,-1.73472347597681e-18,0.193206601884635
"Q4y_1989",0.789133637700321,0.0109261573080875,3.46944695195361e-18,0.199940204991591
"Q1y_1990",0.829403785504888,0.00672092760687615,0,0.163875286888236
"Q2y_1990",0.841395680827774,0,0,0.158604319172226
"Q3y_1990",0.817326580969894,-4.33680868994202e-19,6.41530110352486e-19,0.182673419030106
"Q4y_1990",0.822194913460501,0.0159151301705907,0,0.161889956368908
"Q1y_1991",0.845545061686663,0.00847925663181488,0,0.145975681681522
"Q2y_1991",0.892187575033787,0.00155540908867476,0,0.106257015877538
"Q3y_1991",0.910728338611957,0,9.53205249080138e-19,0.0892716613880433
"Q4y_1991",0.896634013263716,0,-1.25286307332516e-19,0.103365986736284
"Q1y_1992",0.876405942706543,-2.16840434497101e-19,2.84540823680617e-19,0.123594057293457
"Q2y_1992",0.834423505494291,0.00843468963851161,0,0.157141804867197
