"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.66035684382635,0.148212954179427,-1.38777878078145e-17,0.191430201994223
"Q2y_1981",0.838040405732697,0.0465329658315325,0,0.11542662843577
"Q3y_1981",0.734945155383526,0.103602824263316,0,0.161452020353158
"Q4y_1981",0.799006751653791,0.0540482624397989,0,0.14694498590641
"Q1y_1982",0.408180539774809,0.301207215991942,0,0.290612244233249
"Q2y_1982",0.50313484308728,0.240970621542706,0,0.255894535370014
"Q3y_1982",0.575207145838396,0.194325075402877,0,0.230467778758728
"Q4y_1982",0.484485807838851,0.161694881166965,0.0557067896290495,0.298112521365135
"Q1y_1983",0.531552977500429,0.151171326976308,0.0242938793299838,0.292981816193279
"Q2y_1983",0.618203504798914,0.12468054113988,0,0.257115954061207
"Q3y_1983",0.692460602774668,0.0832759369680014,0,0.22426346025733
"Q4y_1983",0.709558126359722,0.0732899115556885,0,0.21715196208459
"Q1y_1984",0.764740217548339,0.0339674861801032,0.0147666922736184,0.18652560399794
"Q2y_1984",0.789697607992934,0.013886616460774,0.0253356474756545,0.171080128070637
"Q3y_1984",0.600786649791851,0,0.0188937878065716,0.380319562401578
"Q4y_1984",0.671500002718485,0,0.0625908416369245,0.26590915564459
"Q1y_1985",0.565195401419205,0,0.109639451536951,0.325165147043844
"Q2y_1985",0.572834085734715,0,0.0912954590347497,0.335870455230535
"Q3y_1985",0.501246186941791,0,0.148676044415774,0.350077768642434
"Q4y_1985",0.611190783042089,0.0103968133278152,0.0484694850467592,0.329942918583336
"Q1y_1986",0.576289929493757,0,0.102801348568383,0.32090872193786
"Q2y_1986",0.611114745103267,3.46944695195361e-18,0.147334695227121,0.241550559669612
"Q3y_1986",0.655201134453343,0,0.134126206831415,0.210672658715242
"Q4y_1986",0.713971208442598,0,0.098553328444863,0.187475463112539
"Q1y_1987",0.729250107873675,0,0.0852351738897179,0.185514718236607
"Q2y_1987",0.752376525893972,-6.93889390390723e-18,0.102657865440986,0.144965608665042
"Q3y_1987",0.710506342909872,0,0.117383621898826,0.172110035191302
"Q4y_1987",0.684072540754181,0,0.121638802876168,0.194288656369652
"Q1y_1988",0.731577261865273,0.03227014630347,0,0.236152591831257
"Q2y_1988",0.693049157374464,0.0373518834192826,0.00630932594877791,0.263289633257476
"Q3y_1988",0.695651048115573,0.0204186853764576,0.0258499502619275,0.258080316246043
"Q4y_1988",0.702336305400595,0.00149522823519439,0.0413709039213533,0.254797562442858
"Q1y_1989",0.727558607960507,0,0.0537618108008375,0.218679581238656
"Q2y_1989",0.744631495115724,0,0.0515071734398377,0.203861331444438
"Q3y_1989",0.702042071775065,0,0.0778340449876753,0.22012388323726
"Q4y_1989",0.703629770264133,3.46944695195361e-18,0.0810669795305822,0.215303250205284
"Q1y_1990",0.750270876150697,1.73472347597681e-18,0.0527200794805775,0.197009044368726
"Q2y_1990",0.753686612693932,0,0.0420477830614108,0.204265604244657
"Q3y_1990",0.723679915907205,0,0.058760184942267,0.217559899150528
"Q4y_1990",0.911749166050176,0.0247763628640629,0.00301616920091127,0.0604583018848505
"Q1y_1991",0.807115853889355,0,0.0244224775034423,0.168461668607203
"Q2y_1991",0.838956333687278,0.000863515106752376,0.00859683561194628,0.151583315594024
"Q3y_1991",0.830681488495708,0,0.0178222789228925,0.1514962325814
"Q4y_1991",0.795302592524181,0,0.0396751494067799,0.165022258069039
"Q1y_1992",0.840516491516122,0,0.0494485182954611,0.110034990188417
"Q2y_1992",0.773606601372925,0,0.0462399077574178,0.180153490869657
"Q3y_1992",0.78540048664502,0,0.0453796991290838,0.169219814225896
"Q4y_1992",0.790649671042966,0,0.0427267649167235,0.166623564040311
"Q1y_1993",0.76540651084312,0,0.0631443144186381,0.171449174738242
"Q2y_1993",0.813948649654398,0,0.0127872683172457,0.173264082028356
"Q3y_1993",0.845930393037874,0,0.0153923440277998,0.138677262934326
"Q4y_1993",0.823589559179036,3.46944695195361e-18,0.0178823301125552,0.158528110708409
"Q1y_1994",0.865349888204189,0,0.00686040426162362,0.127789707534187
"Q2y_1994",0.767128717107669,0,0.041535012461775,0.191336270430556
"Q3y_1994",0.753101609232343,0,0.0475954975675361,0.19930289320012
"Q4y_1994",0.778597168225736,0,0.0625161588771541,0.158886672897109
"Q1y_1995",0.824609959817457,0,0.0134441700362378,0.161945870146305
"Q2y_1995",0.795250410871006,0,0.0288612521388683,0.175888336990126
"Q3y_1995",0.758408358909554,3.46944695195361e-18,0.0537954365633215,0.187796204527124
"Q4y_1995",0.762790100934921,0,0.0542017192020853,0.183008179862994
"Q1y_1996",0.866614403924545,0.0302662066068398,0.0100328002950009,0.0930865891736147
"Q2y_1996",0.746537078570997,0.118321906057908,0.00863074063363988,0.126510274737456
"Q3y_1996",0.457648519734126,0.449132973439314,0,0.0932185068265599
"Q4y_1996",0.801938857496249,0.00755129933014609,0.0481797625737434,0.142330080599861
"Q1y_1997",0.836980762612781,0.0173230000486575,0,0.145696237338562
"Q2y_1997",0.836529638074083,0,0.0324027625188491,0.131067599407067
"Q3y_1997",0.864557783264599,0,0.0248173815756293,0.110624835159771
"Q4y_1997",0.833630965768278,0,0.0130082835862312,0.153360750645491
"Q1y_1998",0.89234748567147,0,0.0321375510904247,0.0755149632381051
"Q2y_1998",0.869596692452572,0,0.0304129585310617,0.0999903490163659
"Q3y_1998",0.894365960441251,0,0.0141233752051493,0.0915106643535994
"Q4y_1998",0.93625117939064,0,3.19948048756315e-19,0.0637488206093603
"Q1y_1999",0.951774049960976,7.36005366249273e-19,0,0.0482259500390242
"Q2y_1999",0.927747637692831,0,0.0253740390427702,0.0468783232643991
"Q3y_1999",0.922403775184686,0,0.0164379886928574,0.0611582361224566
"Q4y_1999",0.92465427385641,0,0.00414570620856889,0.0712000199350214
"Q1y_2000",0.906428115925323,0,0.0137192968121794,0.079852587262498
"Q2y_2000",0.899395609167876,-3.46944695195361e-18,0.0202855895977576,0.0803188012343664
"Q3y_2000",0.909069517233844,3.46944695195361e-18,0.0235535707025888,0.0673769120635676
"Q4y_2000",0.951376824276928,0,0.00302708899757543,0.0455960867254961
"Q1y_2001",0.944960952561339,-2.18336300452498e-19,0,0.0550390474386609
