"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.39999920106164,0.179967252639554,0.191100375549503,0.228933170749304
"Q2y_1984",0.399997911348796,0.184240720242775,0.195867822254848,0.219893546153582
"Q3y_1984",0.399996448951606,0.111584400096456,0.0884405608547023,0.399978590097236
"Q4y_1984",0.399996187968943,0.169963948187987,0.163611900374761,0.266427963468309
"Q1y_1985",0.399999911636117,0.166360050223034,0.160452719627532,0.273187318513317
"Q2y_1985",0.399998738676109,0.172867505282004,0.158781281116187,0.268352474925700
"Q3y_1985",0.399998856108892,0.104675855048694,0.0953262659936484,0.399999022848765
"Q4y_1985",0.399995890859338,0.104414387503979,0.0956002838025424,0.399989437834141
"Q1y_1986",0.399998195428021,0.122728628502741,0.0944623886027102,0.382810787466528
"Q2y_1986",0.399999156550303,0.158658421475754,0.138155235588052,0.303187186385890
"Q3y_1986",0.399999153768546,0.187570022514226,0.114877757799367,0.297553065917861
"Q4y_1986",0.399999200883543,0.18251545846489,0.133350184761588,0.284135155889979
"Q1y_1987",0.399999795658783,0.203340151269979,0.127451690357626,0.269208362713612
"Q2y_1987",0.399999160133744,0.199778815419215,0.120789922290500,0.279432102156542
"Q3y_1987",0.39999828404915,0.200278979147547,0.131979248947619,0.267743487855684
"Q4y_1987",0.399998417566867,0.201346473368531,0.132266111731615,0.266388997332987
"Q1y_1988",0.399999970431079,0.155382546998439,0.0850732767873461,0.359544205783136
"Q2y_1988",0.399998655403691,0.149865760664612,0.0842739667743678,0.365861617157329
"Q3y_1988",0.399998703233498,0.150013897579071,0.083357187053039,0.366630212134393
"Q4y_1988",0.399997857251352,0.145614292459396,0.0740802374218338,0.380307612867419
"Q1y_1989",0.39999821280543,0.156538048139632,0.07359066701807,0.369873072036868
"Q2y_1989",0.399998930061602,0.153053907470213,0.0810313564348893,0.365915806033296
"Q3y_1989",0.399998515953811,0.160024590838742,0.073596275156184,0.366380618051263
"Q4y_1989",0.399997634934483,0.168481769707974,0.056117908179133,0.37540268717841
"Q1y_1990",0.399998218595836,0.173155746779546,0.0583721561297786,0.368473878494840
"Q2y_1990",0.399999117671001,0.174459725708746,0.0475974528367039,0.377943703783549
