"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.517562319897132,0.106482809938329,0.136342911502485,0.239611958662053
"Q2y_1984",0.550689531928428,0.0853663475721058,0.120330091782085,0.243614028717381
"Q3y_1984",0.473089378746245,0.0879377655544842,0.0698313188834938,0.369141536815777
"Q4y_1984",0.517160067192084,0.0881031964624434,0.104662907762162,0.29007382858331
"Q1y_1985",0.489043554012408,0.106069193684069,0.112349388259946,0.292537864043577
"Q2y_1985",0.503032904674341,0.105656839628495,0.103335371104239,0.287974884592925
"Q3y_1985",0.441338938465308,0.0816085597403126,0.0817380543321828,0.395314447462196
"Q4y_1985",0.471386551970118,0.0796708764083643,0.0809690023197956,0.367973569301722
"Q1y_1986",0.509940437778362,0.0895812478914184,0.0665076301540713,0.333970684176149
"Q2y_1986",0.516159885628784,0.0959525927992073,0.075980353161717,0.311907168410291
"Q3y_1986",0.536471872909883,0.115310791265606,0.0484286801680364,0.299788655656475
"Q4y_1986",0.567539841365388,0.104796529026083,0.0474094187126829,0.280254210895846
"Q1y_1987",0.597941899801066,0.123419695517947,0.0169665145318096,0.261671890149177
"Q2y_1987",0.612455370486301,0.124858395083679,0.00692125101625818,0.255764983413761
"Q3y_1987",0.582409948760393,0.113872704658722,0.0341140720239521,0.269603274556933
"Q4y_1987",0.58913645089382,0.108425177858108,0.0387662595105832,0.263672111737489
"Q1y_1988",0.548898432057525,0.120597519549963,0.0250903507684198,0.305413697624092
"Q2y_1988",0.527913443338754,0.118318582091323,0.0335175729333318,0.320250401636592
"Q3y_1988",0.533127212283597,0.109490172759247,0.0396344221852432,0.317748192771913
"Q4y_1988",0.54524068001956,0.103591533909513,0.0373556245517104,0.313812161519217
"Q1y_1989",0.554718309319815,0.104649058013982,0.0357292459364263,0.304903386729777
"Q2y_1989",0.565982605305055,0.0932873542274671,0.0438509482963803,0.296879092171098
"Q3y_1989",0.565250789922893,0.0954166834190835,0.0427597563893443,0.296572770268679
"Q4y_1989",0.548524374701261,0.118863077692054,0.0217677746163258,0.310844772990359
"Q1y_1990",0.566280715987296,0.109686889611992,0.0275925604116666,0.296439833989046
"Q2y_1990",0.574389372424351,0.114143088796185,0.0149646431129059,0.296502895666558
"Q3y_1990",0.56601010865029,0.101898862713556,0.0252753255085285,0.306815703127626
"Q4y_1990",0.634782152663362,0.141337721010666,0.000375777193730052,0.223504349132242
"Q1y_1991",0.680494114263464,0.147486465836085,6.54526505974922e-07,0.172018765373945
"Q2y_1991",0.682544822626403,0.139987289084375,0.00218489071030129,0.175282997578921
"Q3y_1991",0.617461871768388,0.101761851750539,0.0237677168665254,0.257008559614548
"Q4y_1991",0.61969523276497,0.102843683091578,0.0228008052211586,0.254660278922294
"Q1y_1992",0.654611403904892,0.0909896083472807,0.0348039316435848,0.219595056104243
"Q2y_1992",0.603146974153943,0.100430863002270,0.0334223385391778,0.26299982430461
"Q3y_1992",0.607145896201152,0.106968082533191,0.0198048078956778,0.266081213369979
"Q4y_1992",0.608098969753058,0.102295648113886,0.0253954628993553,0.264209919233701
"Q1y_1993",0.596511887736066,0.101541931033148,0.0351975497064335,0.266748631524352
"Q2y_1993",0.594777580145466,0.0934110481236366,0.0400072372275644,0.271804134503333
"Q3y_1993",0.626665239611308,0.103436649482088,0.0256306346085452,0.244267476298059
"Q4y_1993",0.620121473695297,0.0878088426214509,0.0350050483346076,0.257064635348645
"Q1y_1994",0.650319633669469,0.126413540630561,0.00171713814647415,0.221549687553496
"Q2y_1994",0.610124649850643,0.114361266967071,0.0284470038992872,0.247067079282999
"Q3y_1994",0.565225943950859,0.0952408643401918,0.0522184898333450,0.287314701875604
"Q4y_1994",0.615495250704398,0.0788207273214356,0.0852952463650957,0.220388775609071
