"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.517360295663711,0.235571487301059,4.42713626577044e-05,0.247023945672572
"Q2y_1981",0.623395543989113,0.166724834323626,7.20588605167018e-07,0.209878901098656
"Q3y_1981",0.558106033970772,0.208636402191027,4.92884876342261e-05,0.233208275350566
"Q4y_1981",0.593076539104307,0.169649694757054,0.000455768369859179,0.23681799776878
"Q1y_1982",0.403532472900658,0.303788577299164,0.000118787619459101,0.292560162180719
"Q2y_1982",0.442577791104598,0.266100371706429,0.0165191246368276,0.274802712552145
"Q3y_1982",0.473392200738554,0.252235385120105,0.0106349632873859,0.263737450853955
"Q4y_1982",0.432977102996768,0.181204940235033,0.0724609873784809,0.313356969389718
"Q1y_1983",0.451879606601556,0.180275705415584,0.0481422308371788,0.319702457145681
"Q2y_1983",0.490086522362606,0.175063087388879,0.0272186668059047,0.30763172344261
"Q3y_1983",0.52368641872737,0.140699427811805,0.0434001092146192,0.292214044246206
"Q4y_1983",0.534213201129951,0.122177919353764,0.0511758697142536,0.292433009802032
"Q1y_1984",0.560491767916003,0.0769990899907473,0.0917379469839817,0.270771195109268
"Q2y_1984",0.575146674104854,0.047786263147507,0.114868921878447,0.262198140869192
"Q3y_1984",0.470795145134409,0.0328805857860603,0.114858395447979,0.381465873631551
"Q4y_1984",0.515956352087463,0.0176219903240644,0.149669314039594,0.316752343548878
"Q1y_1985",0.469097150641091,0.00134253657377099,0.177362397035879,0.35219791574926
"Q2y_1985",0.469903219363245,0.000520158933301716,0.171543353709373,0.35803326799408
"Q3y_1985",0.443469086438486,7.30725104290493e-05,0.188236254041767,0.368221587009318
"Q4y_1985",0.485987584912911,0.0372092169851155,0.122176684970446,0.354626513131527
"Q1y_1986",0.474431898397633,0.0160787562781623,0.158738251831957,0.350751093492247
"Q2y_1986",0.493241527668346,0.000435067678857791,0.217076636194492,0.289246768458304
"Q3y_1986",0.512402998189782,0.000356885246644862,0.222685495018738,0.264554621544835
"Q4y_1986",0.544059394501002,0.000229377327693527,0.201410875083536,0.254300353087768
"Q1y_1987",0.554996030263643,4.66163358838847e-05,0.186105354453795,0.258851998946678
"Q2y_1987",0.561883449416188,0.00039705603919926,0.227800027509225,0.209919467035388
"Q3y_1987",0.536381103462435,0.000147221982445401,0.237957413405392,0.225514261149729
"Q4y_1987",0.524360191137313,0.000289277552014855,0.225758044569533,0.249592486741139
"Q1y_1988",0.560229032490579,0.123616536439891,0.0149119975803007,0.301242433489229
"Q2y_1988",0.532691527202012,0.0879337230657087,0.0630737370191006,0.316301012713179
"Q3y_1988",0.533518160032059,0.0515336797921898,0.102135574664424,0.312812585511328
"Q4y_1988",0.53720257308791,0.0194185858500104,0.132770173184722,0.310608667877358
"Q1y_1989",0.554095380494348,0.00380594949257695,0.15490227486207,0.287196395151005
"Q2y_1989",0.564912618403829,0.00243844519276664,0.155494022191195,0.277154914212209
"Q3y_1989",0.54253388624672,2.16638681682158e-05,0.169807975518749,0.287636474366363
"Q4y_1989",0.544531862867656,0.000337065448636656,0.170794462818797,0.28433660886491
"Q1y_1990",0.57035365762381,0.0026887974725076,0.154862543498771,0.272095001404912
"Q2y_1990",0.570504468220409,0.00338031655629298,0.147236819857259,0.278878395366039
"Q3y_1990",0.554448701972725,0.00188359615842352,0.157136227207871,0.286531474660981
"Q4y_1990",0.672209070165459,0.114067189338318,0.0891655310392621,0.124558209456961
"Q1y_1991",0.603770776086401,0.027086052023829,0.11637389819757,0.252769273692201
"Q2y_1991",0.625598581898029,0.0521168020023303,0.0814801593591942,0.240804456740446
"Q3y_1991",0.622167969519805,0.00886768182257287,0.127350814203947,0.241613534453675
"Q4y_1991",0.599601485992961,0.0016669398507818,0.14824145102699,0.250490123129268
"Q1y_1992",0.631914081299138,0.000688922231039139,0.176812070530408,0.190584925939416
"Q2y_1992",0.588355102623994,0.000143716858723911,0.150895242613317,0.260605937903965
"Q3y_1992",0.59613813474322,5.58369068520003e-06,0.152189748209938,0.251666533356157
"Q4y_1992",0.60016339526031,0.000428535935153868,0.149777152816362,0.249630915988174
"Q1y_1993",0.583779502143815,0.000399142615346327,0.164511455006866,0.251309900233973
"Q2y_1993",0.610302579438578,0.0102391380931112,0.119200331553701,0.260257950914609
"Q3y_1993",0.634533708130711,0.0144209000578583,0.121709106774638,0.229336285036792
"Q4y_1993",0.61880871200958,0.00323893237003496,0.131192604516895,0.246759751103491
"Q1y_1994",0.645035444313385,0.0111181412101085,0.121905652111901,0.221940762364606
"Q2y_1994",0.574302641349541,0.0123693089412978,0.140081060627778,0.273246989081383
"Q3y_1994",0.567741332057075,0.00418192838241316,0.149371393073039,0.278705346487473
"Q4y_1994",0.584285038473854,0.0010101142476514,0.169312362854309,0.245392484424185
"Q1y_1995",0.604632186883903,0.0412934844923873,0.0997478865375219,0.254326442086188
"Q2y_1995",0.590553844411801,3.17600539219845e-05,0.145366286323751,0.264048109210526
"Q3y_1995",0.569788313060022,0.000590750454323734,0.159054230516457,0.270566705969197
"Q4y_1995",0.571046121601766,0.0186971164038602,0.144316665685462,0.265940096308912
"Q1y_1996",0.622153677532494,0.134267171010344,0.0751160309301666,0.168463120526995
