"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.66035684382635,0.148212954179427,-1.38777878078145e-17,0.191430201994223
"Q2y_1981",0.838040405732697,0.0465329658315325,0,0.11542662843577
"Q3y_1981",0.734945155383526,0.103602824263316,0,0.161452020353158
"Q4y_1981",0.46921584400224,0.181568027282371,0.15101679685201,0.198199331863379
"Q1y_1982",0.297830085133915,0.237729811571257,0.203558304743331,0.260881798551497
"Q2y_1982",0.330357985278814,0.223592264108871,0.200756002890036,0.245293747722278
"Q3y_1982",0.356431406661643,0.214569289104933,0.194269623030872,0.234729681202552
"Q4y_1982",0.316516005963196,0.217364728755021,0.206690199561011,0.259429065720772
"Q1y_1983",0.332370175202011,0.210212818967413,0.197688681954267,0.259728323876309
"Q2y_1983",0.365268839058104,0.201605156270944,0.188019324964204,0.245106679706747
"Q3y_1983",0.396360847919995,0.189094172844824,0.181848681864827,0.232696297370354
"Q4y_1983",0.403702602376293,0.184593782513247,0.182191969975603,0.229511645134856
"Q1y_1984",0.430096522703736,0.173204216656113,0.181093931704722,0.215605328935429
"Q2y_1984",0.444219566333828,0.166202064725924,0.181162488991423,0.208415879948824
"Q3y_1984",0.367272266512592,0.15287408130737,0.167217507589982,0.312636144590057
"Q4y_1984",0.671500002718485,0,0.0625908416369245,0.26590915564459
"Q1y_1985",0.357959056104499,0.167183437717525,0.199087748358828,0.275769757819148
"Q2y_1985",0.362030143007127,0.160537197067299,0.193206807538727,0.284225852386847
"Q3y_1985",0.339023535393104,0.160432673390596,0.209949979538689,0.290593811677611
"Q4y_1985",0.376914373477021,0.163579555743537,0.173042912047679,0.286463158731763
"Q1y_1986",0.361866208664997,0.168587815786151,0.191707675633644,0.277838299915207
"Q2y_1986",0.376331498898915,0.172370708708324,0.209239968449522,0.242057823943239
"Q3y_1986",0.396413031281807,0.166043088211733,0.208429087415982,0.229114793090478
"Q4y_1986",0.428659484275771,0.155651371436766,0.198898789108678,0.216790355178785
"Q1y_1987",0.439502835848349,0.149161551044692,0.194318629827193,0.217016983279766
"Q2y_1987",0.459288373471541,0.142638966055721,0.204684371460753,0.193388289011985
"Q3y_1987",0.434224894168131,0.14891965091188,0.209056650946689,0.2077988039733
"Q4y_1987",0.417338886607238,0.154078045949511,0.209152082338825,0.219430985104425
"Q1y_1988",0.445485636713238,0.153692161927119,0.146486707363247,0.254335493996396
"Q2y_1988",0.421226212955978,0.156874587535113,0.159643361413155,0.262255838095755
"Q3y_1988",0.422867745639812,0.152260836484488,0.166211979436553,0.258659438439147
"Q4y_1988",0.428221803689015,0.144702464126021,0.169241025484002,0.257834706700962
"Q1y_1989",0.440383472049618,0.144879122582594,0.176552093977841,0.238185311389946
"Q2y_1989",0.450690702474283,0.140339350681257,0.177332819763275,0.231637127081184
"Q3y_1989",0.430699393190505,0.141767452484141,0.187482229544483,0.240050924780871
"Q4y_1989",0.432338790022582,0.140426820648407,0.189137964597857,0.238096424731155
"Q1y_1990",0.456261994914063,0.139921444647618,0.174695422449927,0.229121137988393
"Q2y_1990",0.458041249940729,0.136686448424804,0.169599912007676,0.235672389626791
"Q3y_1990",0.443822176105569,0.13486811890173,0.178509969717729,0.242799735274973
"Q4y_1990",0.551675912789785,0.162975249167361,0.162046940746819,0.123301897296035
"Q1y_1991",0.807115853889355,0,0.0244224775034423,0.168461668607203
"Q2y_1991",0.838956333687278,0.000863515106752376,0.00859683561194628,0.151583315594024
"Q3y_1991",0.830681488495708,0,0.0178222789228925,0.1514962325814
"Q4y_1991",0.795302592524181,0,0.0396751494067799,0.165022258069039
"Q1y_1992",0.513874777789762,0.130801992109426,0.180544013680776,0.174779216420036
"Q2y_1992",0.47277299711271,0.129288389884455,0.166966414752389,0.230972198250446
"Q3y_1992",0.482011194587365,0.124947228080309,0.168861402701512,0.224180174630814
"Q4y_1992",0.4871402009904,0.121149170299504,0.16830640844093,0.223404220269167
"Q1y_1993",0.471772739297522,0.123346366103431,0.179927633602911,0.224953260996136
"Q2y_1993",0.496667425128065,0.126582348537283,0.143428842683015,0.233321383651636
"Q3y_1993",0.516301111209648,0.126717756603916,0.151687257515471,0.205293874670966
"Q4y_1993",0.50623915319614,0.119058332564018,0.152366713182226,0.222335801057616
"Q1y_1994",0.52429806978052,0.127334756443805,0.150051376012251,0.198315797763424
"Q2y_1994",0.452087965327301,0.143564068759454,0.167482966368961,0.236864999544285
"Q3y_1994",0.448696935009813,0.136990813769098,0.171374608434947,0.242937642786142
"Q4y_1994",0.458571919242547,0.142467017014811,0.184107517947672,0.21485354579497
"Q1y_1995",0.482204085484196,0.140732229893333,0.153201091234859,0.223862593387611
"Q2y_1995",0.795250410871006,0,0.0288612521388683,0.175888336990126
"Q3y_1995",0.758408358909554,3.46944695195361e-18,0.0537954365633215,0.187796204527124
"Q4y_1995",0.762790100934921,0,0.0542017192020853,0.183008179862994
"Q1y_1996",0.494340420883114,0.17876733709311,0.167063105595547,0.159829136428228
"Q2y_1996",0.432421974827686,0.210770710600771,0.176346095201261,0.180461219370281
"Q3y_1996",0.371574956314292,0.30893050664777,0.152058832781269,0.167435704256669
"Q4y_1996",0.457760986440363,0.169236344803663,0.177428420670609,0.195574248085365
"Q1y_1997",0.487331874875974,0.169003353872999,0.135791353405973,0.207873417845054
"Q2y_1997",0.481346703352748,0.156313473033115,0.16848645610108,0.193853367513056
"Q3y_1997",0.504968167623144,0.148547427138955,0.165509823773526,0.180974581464375
"Q4y_1997",0.489088528183962,0.137498825168178,0.153816037815861,0.219596608832
"Q1y_1998",0.527818736766441,0.143042663613674,0.178014165908946,0.15112443371094
"Q2y_1998",0.513385379579096,0.134318351594643,0.17429981691319,0.17799645191307
"Q3y_1998",0.894365960441251,0,0.0141233752051493,0.0915106643535994
"Q4y_1998",0.93625117939064,0,3.19948048756315e-19,0.0637488206093603
"Q1y_1999",0.591262149625955,0.138145424941248,0.142270950164522,0.128321475268275
"Q2y_1999",0.551742778946381,0.147954430336474,0.177920706863974,0.122382083853171
"Q3y_1999",0.545229841458838,0.147050616667008,0.166343025821696,0.141376516052458
"Q4y_1999",0.549363762093449,0.141607572814432,0.152765151001606,0.156263514090513
"Q1y_2000",0.538488701537022,0.135337761564636,0.161775541283304,0.164397995615038
