"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.25,0.25,0.25,0.25
"Q2y_1984",0.25,0.25,0.25,0.25
"Q3y_1984",0.25,0.25,0.25,0.25
"Q4y_1984",0.25,0.25,0.25,0.25
"Q1y_1985",0.25,0.25,0.25,0.25
"Q2y_1985",0.25,0.25,0.25,0.25
"Q3y_1985",0.25,0.25,0.25,0.25
"Q4y_1985",0.25,0.25,0.25,0.25
"Q1y_1986",0.25,0.25,0.25,0.25
"Q2y_1986",0.25,0.25,0.25,0.25
"Q3y_1986",0.25,0.25,0.25,0.25
"Q4y_1986",0.25,0.25,0.25,0.25
"Q1y_1987",0.25,0.25,0.25,0.25
"Q2y_1987",0.25,0.25,0.25,0.25
"Q3y_1987",0.25,0.25,0.25,0.25
"Q4y_1987",0.25,0.25,0.25,0.25
"Q1y_1988",0.25,0.25,0.25,0.25
"Q2y_1988",0.25,0.25,0.25,0.25
"Q3y_1988",0.25,0.25,0.25,0.25
"Q4y_1988",0.25,0.25,0.25,0.25
"Q1y_1989",0.25,0.25,0.25,0.25
"Q2y_1989",0.25,0.25,0.25,0.25
"Q3y_1989",0.25,0.25,0.25,0.25
"Q4y_1989",0.25,0.25,0.25,0.25
"Q1y_1990",0.25,0.25,0.25,0.25
"Q2y_1990",0.25,0.25,0.25,0.25
"Q3y_1990",0.25,0.25,0.25,0.25
"Q4y_1990",0.25,0.25,0.25,0.25
"Q1y_1991",0.25,0.25,0.25,0.25
"Q2y_1991",0.25,0.25,0.25,0.25
"Q3y_1991",0.25,0.25,0.25,0.25
"Q4y_1991",0.25,0.25,0.25,0.25
"Q1y_1992",0.25,0.25,0.25,0.25
"Q2y_1992",0.25,0.25,0.25,0.25
"Q3y_1992",0.25,0.25,0.25,0.25
"Q4y_1992",0.25,0.25,0.25,0.25
"Q1y_1993",0.25,0.25,0.25,0.25
"Q2y_1993",0.25,0.25,0.25,0.25
"Q3y_1993",0.25,0.25,0.25,0.25
"Q4y_1993",0.25,0.25,0.25,0.25
"Q1y_1994",0.25,0.25,0.25,0.25
"Q2y_1994",0.25,0.25,0.25,0.25
"Q3y_1994",0.25,0.25,0.25,0.25
"Q4y_1994",0.25,0.25,0.25,0.25
"Q1y_1995",0.25,0.25,0.25,0.25
"Q2y_1995",0.25,0.25,0.25,0.25
"Q3y_1995",0.25,0.25,0.25,0.25
"Q4y_1995",0.25,0.25,0.25,0.25
"Q1y_1996",0.25,0.25,0.25,0.25
"Q2y_1996",0.25,0.25,0.25,0.25
"Q3y_1996",0.25,0.25,0.25,0.25
"Q4y_1996",0.25,0.25,0.25,0.25
"Q1y_1997",0.25,0.25,0.25,0.25
"Q2y_1997",0.25,0.25,0.25,0.25
"Q3y_1997",0.25,0.25,0.25,0.25
"Q4y_1997",0.25,0.25,0.25,0.25
"Q1y_1998",0.25,0.25,0.25,0.25
"Q2y_1998",0.25,0.25,0.25,0.25
"Q3y_1998",0.25,0.25,0.25,0.25
"Q4y_1998",0.25,0.25,0.25,0.25
"Q1y_1999",0.25,0.25,0.25,0.25
"Q2y_1999",0.25,0.25,0.25,0.25
"Q3y_1999",0.25,0.25,0.25,0.25
"Q4y_1999",0.25,0.25,0.25,0.25
"Q1y_2000",0.25,0.25,0.25,0.25
"Q2y_2000",0.25,0.25,0.25,0.25
"Q3y_2000",0.25,0.25,0.25,0.25
"Q4y_2000",0.25,0.25,0.25,0.25
"Q1y_2001",0.25,0.25,0.25,0.25
"Q2y_2001",0.25,0.25,0.25,0.25
"Q3y_2001",0.25,0.25,0.25,0.25
"Q4y_2001",0.25,0.25,0.25,0.25
"Q1y_2002",0.25,0.25,0.25,0.25
"Q2y_2002",0.25,0.25,0.25,0.25
"Q3y_2002",0.25,0.25,0.25,0.25
"Q4y_2002",0.25,0.25,0.25,0.25
"Q1y_2003",0.25,0.25,0.25,0.25
"Q2y_2003",0.25,0.25,0.25,0.25
"Q3y_2003",0.25,0.25,0.25,0.25
"Q4y_2003",0.25,0.25,0.25,0.25
"Q1y_2004",0.25,0.25,0.25,0.25
"Q2y_2004",0.25,0.25,0.25,0.25
"Q3y_2004",0.25,0.25,0.25,0.25
"Q4y_2004",0.25,0.25,0.25,0.25
"Q1y_2005",0.25,0.25,0.25,0.25
"Q2y_2005",0.25,0.25,0.25,0.25
"Q3y_2005",0.25,0.25,0.25,0.25
"Q4y_2005",0.25,0.25,0.25,0.25
"Q1y_2006",0.25,0.25,0.25,0.25
"Q2y_2006",0.25,0.25,0.25,0.25
"Q3y_2006",0.25,0.25,0.25,0.25
"Q4y_2006",0.25,0.25,0.25,0.25
"Q1y_2007",0.25,0.25,0.25,0.25
"Q2y_2007",0.25,0.25,0.25,0.25
"Q3y_2007",0.25,0.25,0.25,0.25
"Q4y_2007",0.25,0.25,0.25,0.25
"Q1y_2008",0.25,0.25,0.25,0.25
"Q2y_2008",0.25,0.25,0.25,0.25
"Q3y_2008",0.25,0.25,0.25,0.25
"Q4y_2008",0.25,0.25,0.25,0.25
"Q1y_2009",0.25,0.25,0.25,0.25
"Q2y_2009",0.25,0.25,0.25,0.25
"Q3y_2009",0.25,0.25,0.25,0.25
"Q4y_2009",0.25,0.25,0.25,0.25
"Q1y_2010",0.25,0.25,0.25,0.25
"Q2y_2010",0.25,0.25,0.25,0.25
"Q3y_2010",0.25,0.25,0.25,0.25
