"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.665717971629674,0.183234453893830,0.0927841511162217,0.0582634233602749
"Q2y_1984",0.703748477388847,0.146129886613278,0.099348931583223,0.0507727044146515
"Q3y_1984",0.733076560722561,0.153439635832403,0,0.113483803445036
"Q4y_1984",0.752881695949098,0.198697715218483,0,0.0484205888324183
"Q1y_1985",0.779926885011319,0.157433714868432,0,0.0626394001202483
"Q2y_1985",0.779613230928718,0.157340225253366,0,0.0630465438179158
"Q3y_1985",0.782033380140423,0.165682947364276,0.00725274669075635,0.0450309258045443
"Q4y_1985",0.797938310429718,0.130753190397048,0.0294993861489499,0.0418091130242838
"Q1y_1986",0.801386364439493,0.122703882437635,0.0314525524248412,0.0444572006980315
"Q2y_1986",0.816393964928294,0.114257559423101,0.0376772051586214,0.0316712704899838
"Q3y_1986",0.811268625645537,0.124290309023958,0.0290064331264721,0.0354346322040327
"Q4y_1986",0.816140697375556,0.0891520955882706,0.0467533087857552,0.0479538982504185
"Q1y_1987",0.821769937666834,0.108477866403739,0.0129376722117931,0.0568145237176338
"Q2y_1987",0.70845037204156,0.291549627958439,0,0
"Q3y_1987",0.645796987648164,0.324262312155226,0.00962871951943714,0.0203119806771730
"Q4y_1987",0.622092406817312,0.349516226542096,0.000257859580214525,0.0281335070603775
"Q1y_1988",0.858446981477133,0.00828298247493988,0.0287681686716549,0.104501867376272
"Q2y_1988",0.72716903609062,0.00959904333737572,0.0361449845252533,0.227086936046751
"Q3y_1988",0.790079440431686,0.0255372999025159,0.0197597442710276,0.164623515394771
"Q4y_1988",0.822986532142446,0.0154383659795766,0.00872262499536403,0.152852476882613
"Q1y_1989",0.83289947586547,0,0.0206625271037417,0.146437997030788
"Q2y_1989",0.844019107058867,0.000565587911031165,0.0172765107191486,0.138138794310953
"Q3y_1989",0.858074663991808,0.0113373565071977,0.000589368635232218,0.129998610865762
"Q4y_1989",0.7865160173381,0.0543809895103639,0,0.159102993151535
"Q1y_1990",0.815947053815456,0.0345816391277114,0,0.149471307056832
"Q2y_1990",0.860445288301089,0,0,0.139554711698911
"Q3y_1990",0.866136144058084,0,0,0.133863855941916
"Q4y_1990",0.797261704365907,0,0,0.202738295634093
"Q1y_1991",0.832084510552537,0,0,0.167915489447463
"Q2y_1991",0.860671903509956,0,0,0.139328096490044
"Q3y_1991",0.870636431854683,0,0,0.129363568145317
"Q4y_1991",0.871276617415756,0,0,0.128723382584245
"Q1y_1992",0.883620350409488,0,0,0.116379649590512
"Q2y_1992",0.856156954474617,0,0,0.143843045525383
"Q3y_1992",0.867940793349916,0,0,0.132059206650084
"Q4y_1992",0.87710460549154,0,0,0.122895394508460
"Q1y_1993",0.849020919967983,0.0105933331929560,0,0.140385746839061
"Q2y_1993",0.802004814696211,0.0125797883330932,0,0.185415396970696
"Q3y_1993",0.848412489471924,0.00906276691123914,0,0.142524743616837
"Q4y_1993",0.846286430990741,0,0.00399101969247491,0.149722549316784
"Q1y_1994",0.92151767863056,0.00059681555610748,6.02311587348817e-12,0.0778855058073087
"Q2y_1994",0.790027142897501,0.0454315103045731,0,0.164541346797926
"Q3y_1994",0.771408999835387,0.041687341084495,0,0.186903659080118
"Q4y_1994",0.816402544559433,0.0250369770722627,0.0120896473876741,0.14647083098063
"Q1y_1995",0.852675711049298,1.33802073612899e-11,0.000612274568623741,0.146712014368698
"Q2y_1995",0.82238397635053,0.0139082762506007,0,0.16370774739887
"Q3y_1995",0.785030231805187,0.0229860655492793,0,0.191983702645534
"Q4y_1995",0.748020605971022,0.0459393667874383,0,0.206040027241539
"Q1y_1996",0.875885825233878,0,0,0.124114174766122
"Q2y_1996",0.732636927862358,0.095456802156638,0,0.171906269981004
"Q3y_1996",0.567688338794792,0.246108561809903,0,0.186203099395305
