"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.399993492957354,0.238428559018966,0.194467628329579,0.1671103196941
"Q2y_1984",0.39999877584919,0.234463204899401,0.199561699893245,0.165976319358163
"Q3y_1984",0.399999832667421,0.203889706214778,0.153901148044133,0.242209313073669
"Q4y_1984",0.399999371588646,0.233717757608134,0.171794725030801,0.194488145772419
"Q1y_1985",0.399997309406307,0.229730882188878,0.172992151392,0.197279657012814
"Q2y_1985",0.399998511460667,0.2340187131341,0.172455087582607,0.193527687822626
"Q3y_1985",0.399992851520016,0.216854026563992,0.153926544085464,0.229226577830528
"Q4y_1985",0.399999951166264,0.202025192570629,0.159481143843613,0.238493712419493
"Q1y_1986",0.399993938521522,0.216847221924625,0.163661308538489,0.219497531015365
"Q2y_1986",0.399988390367305,0.235473460111912,0.183412836698632,0.181125312822151
"Q3y_1986",0.399992821124597,0.236860671727002,0.179462417479313,0.183684089669088
"Q4y_1986",0.399999909403343,0.221674821698296,0.192754973327425,0.185570295570937
"Q1y_1987",0.399999966126519,0.223019881253852,0.19268958717165,0.184290565447979
"Q2y_1987",0.399994194495206,0.233571679779224,0.190951158448211,0.175482967277358
"Q3y_1987",0.399952447244413,0.233525369248609,0.18361844342954,0.182903740077439
"Q4y_1987",0.399927545802689,0.230367199511868,0.181395237528342,0.188310017157102
"Q1y_1988",0.399960225319048,0.182189913572518,0.180311297004880,0.237538564103553
"Q2y_1988",0.399982326775554,0.148284950892213,0.163782568612819,0.287950153719414
"Q3y_1988",0.399981675455702,0.147895585325336,0.156981724546361,0.295141014672601
"Q4y_1988",0.399959573986246,0.147078015180409,0.152401782944456,0.300560627888890
"Q1y_1989",0.399999539148326,0.141668849911845,0.148480867154386,0.309850743785444
"Q2y_1989",0.399976758462053,0.140359922693126,0.139449992693796,0.320213326151025
"Q3y_1989",0.39990495472248,0.144339443670757,0.131269531328456,0.324486070278307
"Q4y_1989",0.399976875622783,0.145411671633520,0.128513766437824,0.326097686305873
"Q1y_1990",0.399997164989275,0.145701038154134,0.125422648149059,0.328879148707533
