"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.491559557292711,0.192200307515030,0.166193702928522,0.150046432263738
"Q2y_1984",0.517091273432662,0.176532025791700,0.163383602600915,0.142993098174722
"Q3y_1984",0.428973760570138,0.190114347355936,0.144739616099789,0.236172275974137
"Q4y_1984",0.449531345092254,0.210847482189948,0.154432107601014,0.185189065116784
"Q1y_1985",0.431633547569611,0.215354234101921,0.162316960446734,0.190695257881733
"Q2y_1985",0.440064123675034,0.215741081233553,0.159032201939086,0.185162593152327
"Q3y_1985",0.414678573583014,0.211400925564696,0.148332562211175,0.225587938641116
"Q4y_1985",0.437720394635295,0.185985025981851,0.148355032751876,0.227939546630978
"Q1y_1986",0.471905716270614,0.185991643295070,0.141144996040693,0.200957644393624
"Q2y_1986",0.450855440319456,0.213278839809961,0.167691429214050,0.168174290656533
"Q3y_1986",0.459527542989268,0.211860183549753,0.160400538016040,0.168211735444938
"Q4y_1986",0.519632298488643,0.178322454940582,0.147936985522206,0.154108261048569
"Q1y_1987",0.540520780545497,0.173494359145452,0.139749032944521,0.146235827364529
"Q2y_1987",0.546977040932447,0.178685038972238,0.135736069835832,0.138601850259483
"Q3y_1987",0.492304942630523,0.203049778525956,0.149176097647993,0.155469181195529
"Q4y_1987",0.478032727916827,0.204171041723974,0.151671708685769,0.166124521673429
"Q1y_1988",0.639822688681577,0.108901338572065,0.107841838393748,0.143434134352610
"Q2y_1988",0.502299079158405,0.125652404508403,0.135197591834888,0.236850924498304
"Q3y_1988",0.477612323898886,0.125856040374252,0.132857020776037,0.263674614950824
"Q4y_1988",0.497524479550402,0.121083659715390,0.122898644651850,0.258493216082358
"Q1y_1989",0.488697887571632,0.115582011619021,0.123303231841504,0.272416868967844
"Q2y_1989",0.492863637975719,0.113281579644201,0.114647631315404,0.279207151064676
"Q3y_1989",0.516351751507482,0.112955060326486,0.0992845083480614,0.271408679817970
"Q4y_1989",0.482130692377759,0.123034349254002,0.104840022020655,0.289994936347585
"Q1y_1990",0.518158928536291,0.110363071434150,0.0939573751121556,0.277520624917403
"Q2y_1990",0.520650481305332,0.112807723039787,0.0879175441429451,0.278624251511936
"Q3y_1990",0.517193434717099,0.108607995001006,0.0942037088144448,0.279994861467451
"Q4y_1990",0.601274478668671,0.110677535419086,0.069520766733253,0.218527219178990
"Q1y_1991",0.668144680673912,0.119757680831666,0.063355860673976,0.148741777820446
"Q2y_1991",0.670297777449491,0.112766571340887,0.0672915608197824,0.14964409038984
"Q3y_1991",0.611049907562645,0.0937245613526749,0.067164242928474,0.228061288156206
"Q4y_1991",0.62333585491472,0.0880173380421057,0.0651225636006334,0.223524243442541
"Q1y_1992",0.677214048700491,0.0867860575530841,0.0621768449668188,0.173823048779606
"Q2y_1992",0.59977613226445,0.0992349422867132,0.0758851926666549,0.225103732782181
"Q3y_1992",0.629401495634322,0.0909636867074282,0.0697595533117567,0.209875264346493
"Q4y_1992",0.64028407164014,0.0905311323908457,0.0668264996406062,0.202358296328408
"Q1y_1993",0.617921883214612,0.103705936263918,0.0764437640012948,0.201928416520176
"Q2y_1993",0.622803703558018,0.0948405081894178,0.078363378050355,0.203992410202209
"Q3y_1993",0.669455996427358,0.0899924479089876,0.0687389630938554,0.171812592569799
"Q4y_1993",0.662336172494688,0.0864054973694594,0.0704947967304886,0.180763533405364
"Q1y_1994",0.681614053296607,0.106967326172675,0.0639709306254012,0.147447689905317
"Q2y_1994",0.596713401568449,0.123793752944484,0.0930184575019337,0.186474387985133
"Q3y_1994",0.53225863330223,0.126736704956306,0.106976787486099,0.234027874255365
"Q4y_1994",0.553970131125525,0.147297528191178,0.121041880969924,0.177690459713373
"Q1y_1995",0.535548893908663,0.143044222147616,0.104606189692757,0.216800694250964
"Q2y_1995",0.507696467156243,0.152999248762854,0.107449123340609,0.231855160740294
"Q3y_1995",0.478759006031978,0.169475673674903,0.108637956046869,0.24312736424625
"Q4y_1995",0.504553711047788,0.171894893022129,0.0959980833715027,0.227553312558581
"Q1y_1996",0.502448787111364,0.190198056358605,0.099099809113449,0.208253347416582
"Q2y_1996",0.440506215944141,0.255813362089813,0.105029716418793,0.198650705547254
"Q3y_1996",0.392795980918074,0.317550569582848,0.0967871763719687,0.192866273127110
"Q4y_1996",0.502779061311038,0.199870685125092,0.110736830066588,0.186613423497281
"Q1y_1997",0.524947355716425,0.185966761996183,0.119846814728871,0.169239067558521
"Q2y_1997",0.537939838499892,0.184959999582207,0.129884182230207,0.147215979687694
"Q3y_1997",0.52370621270791,0.168284307557094,0.111446581366396,0.1965628983686
"Q4y_1997",0.531217750737844,0.154241800595522,0.0979575854692444,0.21658286319739
"Q1y_1998",0.603539063229997,0.164417813498700,0.104166749662642,0.127876373608661
"Q2y_1998",0.584366780299441,0.168369002589820,0.105674535770447,0.141589681340292
