"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347130325015555,0.395079142621425,0.176229112614069,0.0815614197489513
"Q2y_1981",0.622369068634772,0.246888863588249,0.13074206777698,0
"Q3y_1981",0.468161022795275,0.317515930998142,0.172758944654944,0.0415641015516398
"Q4y_1981",0.564245955085106,0.291265840619585,0.141906162492639,0.0025820418026704
"Q1y_1982",0.118949329651016,0.472403931622452,0.24413916821867,0.164507570507862
"Q2y_1982",0.183473413586287,0.424854525692992,0.247556594378545,0.144115466342176
"Q3y_1982",0.916238610117175,0,0,0.0837613898828255
"Q4y_1982",0.837278522903746,0,0,0.162721477096254
"Q1y_1983",0.845273033080024,0,0,0.154726966919976
"Q2y_1983",0.886197059621106,0,0,0.113802940378894
"Q3y_1983",0.907520591829187,0,0,0.0924794081708127
"Q4y_1983",0.903858007723068,0,0,0.0961419922769324
"Q1y_1984",0.918210803633951,0,0,0.0817891963660487
"Q2y_1984",0.925694837251454,0,0,0.0743051627485458
"Q3y_1984",0.819408368682527,0,0,0.180591631317473
"Q4y_1984",0.866368594233368,0,0,0.133631405766632
"Q1y_1985",0.81275146938632,0,0,0.18724853061368
"Q2y_1985",0.809802622155072,0,0,0.190197377844928
"Q3y_1985",0.7804927525151,0,0,0.2195072474849
"Q4y_1985",0.808986087223696,0,0,0.191013912776304
"Q1y_1986",0.808172478061656,0,0,0.191827521938344
"Q2y_1986",0.843532511256212,0,0,0.156467488743788
"Q3y_1986",0.865399669997655,0,0,0.134600330002345
"Q4y_1986",0.877186681992444,0,0,0.122813318007556
"Q1y_1987",0.879540134690022,0,0,0.120459865309978
"Q2y_1987",0.901646671631075,0,0,0.098353328368925
"Q3y_1987",0.887674714357501,0,0,0.112325285642499
"Q4y_1987",0.880254406423197,0,0,0.119745593576803
"Q1y_1988",0.872237083614442,0,0,0.127762916385558
"Q2y_1988",0.853889422728029,0,0,0.146110577271971
"Q3y_1988",0.852727589811444,0,0,0.147272410188555
"Q4y_1988",0.851769515334172,0,0,0.148230484665828
"Q1y_1989",0.868434295444039,0,0,0.131565704555961
"Q2y_1989",0.876817142453838,0,0,0.123182857546162
"Q3y_1989",0.870323061486347,0,0,0.129676938513653
"Q4y_1989",0.872853464859323,0,0,0.127146535140677
"Q1y_1990",0.884348522259464,0,0,0.115651477740536
"Q2y_1990",0.884279151403487,0,0,0.115720848596513
"Q3y_1990",0.876204998153521,0,0,0.123795001846478
