"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.399997623501732,0.324484324535234,0.183870857657432,0.0916471943056017
"Q2y_1984",0.399997552232562,0.312740241314194,0.200254610143361,0.087007596309883
"Q3y_1984",0.399996587573357,0.228716266952225,0.052150158763599,0.319136986710819
"Q4y_1984",0.399998654164897,0.343280362984848,0.0908843167373757,0.165836666112879
"Q1y_1985",0.399999568556978,0.334330535182237,0.0944735378772686,0.171196358383517
"Q2y_1985",0.399999950687389,0.352896051195792,0.091975388493213,0.155128609623606
"Q3y_1985",0.39999944703742,0.272215983788508,0.0472799452509991,0.280504623923073
"Q4y_1985",0.39999908282566,0.196103601871986,0.0790292597307636,0.324868055571591
"Q1y_1986",0.399998102139924,0.284059136291752,0.0809093005525176,0.235033461015806
"Q2y_1986",0.399999509980736,0.391189646536474,0.117566436817789,0.0912444066650009
"Q3y_1986",0.399998798267392,0.391571600953979,0.113447693836177,0.0949819069424524
"Q4y_1986",0.399999716024054,0.312334313609303,0.159772481855987,0.127893488510656
"Q1y_1987",0.399999627535202,0.355339152874674,0.133646404499851,0.111014815090273
"Q2y_1987",0.399999990256826,0.399997765080852,0.116757548525185,0.0832446961371372
"Q3y_1987",0.399988833749632,0.399765828533224,0.104129110269185,0.0961162274479584
"Q4y_1987",0.399999618738239,0.399993594176707,0.0947059623833583,0.105300824701696
"Q1y_1988",0.399998896833166,0.151289416943792,0.160124030761096,0.288587655461946
"Q2y_1988",0.399999343059280,0.0880753176306692,0.158100939473735,0.353824399836316
"Q3y_1988",0.39999463273873,0.100114029206182,0.143224054417451,0.356667283637637
"Q4y_1988",0.399999509360925,0.101848337993689,0.132256719584060,0.365895433061326
"Q1y_1989",0.399999499756681,0.095897675300229,0.128414964030156,0.375687860912934
"Q2y_1989",0.399999089445908,0.108974057331244,0.106748017558730,0.384278835664118
"Q3y_1989",0.399998828194096,0.132166489754189,0.0773522373426638,0.390482444709051
"Q4y_1989",0.399997761514405,0.143306655364997,0.0661488433752398,0.390546739745358
"Q1y_1990",0.399999471529658,0.151509587714074,0.0553354635159793,0.393155477240289
"Q2y_1990",0.399994389338127,0.169389425648352,0.0307345088368406,0.39988167617668
"Q3y_1990",0.399997245012016,0.141160267030731,0.0588666117444222,0.399975876212831
"Q4y_1990",0.399991366729047,0.237292030324144,1.78465501435042e-05,0.362698756396666
"Q1y_1991",0.399995434402753,0.345461995772665,3.20424566759649e-06,0.254539365578914
"Q2y_1991",0.399999782502899,0.315366079184954,0.0162201308631595,0.268414007448988
"Q3y_1991",0.399999721541545,0.185488562464065,0.0240431387434861,0.390468577250904
"Q4y_1991",0.399999708046592,0.176778108194958,0.0339206145675266,0.389301569190924
"Q1y_1992",0.399998177783519,0.194799594638705,0.0617385027999824,0.343463724777793
"Q2y_1992",0.399998725338564,0.183682007333388,0.0381980203054668,0.378121247022582
"Q3y_1992",0.399999683598558,0.183196668824592,0.0247258642067041,0.392077783370146
"Q4y_1992",0.399998688212959,0.177662064098859,0.0357432483333746,0.386595999354807
"Q1y_1993",0.399999261904628,0.188978489808308,0.0417781584595088,0.369244089827555
"Q2y_1993",0.399999360601655,0.1533689359231,0.071504490999113,0.375127212476132
"Q3y_1993",0.399998505853561,0.181986139997947,0.0663122240919377,0.351703130056554
"Q4y_1993",0.399999504110996,0.140724981967176,0.0936584724222232,0.365617041499605
"Q1y_1994",0.399999216736823,0.270543497906102,0.0156418657601085,0.313815419596966
"Q2y_1994",0.399999063831254,0.209661351246448,0.0289076027856676,0.361431982136631
"Q3y_1994",0.399992013486832,0.163319234569550,0.0367367456311037,0.399952006312514
"Q4y_1994",0.39999954502349,0.240126516526651,0.0835897909072995,0.276284147542559
"Q1y_1995",0.399999728740092,0.238547436744576,0.00985246265076701,0.351600371864565
"Q2y_1995",0.399999210577835,0.248526373543862,0.00463933864770293,0.3468350772306
"Q3y_1995",0.399995527133092,0.259293508937868,8.37751124324127e-05,0.340627188816608
"Q4y_1995",0.399998484457641,0.282294440537784,3.22260036688209e-06,0.317703852404209
"Q1y_1996",0.399999698770895,0.326228589856834,8.66045893228365e-06,0.273763050913338
"Q2y_1996",0.399996756778254,0.388393828370311,3.69132769334065e-08,0.211609377938158
"Q3y_1996",0.399992327176256,0.399999648393812,1.89848083214157e-06,0.2000061259491
"Q4y_1996",0.399995484836756,0.367450696291103,3.08785743596781e-05,0.232522940297782
"Q1y_1997",0.399998522756666,0.364128115793297,0.0223218055450597,0.213551555904977
"Q2y_1997",0.399998086884627,0.367673859175067,0.0661970930057613,0.166130960934545
"Q3y_1997",0.399998972039484,0.291785316044965,0.0275680956296979,0.280647616285854
"Q4y_1997",0.399987593934398,0.268203544269569,0.000126907017194905,0.331681954778838
"Q1y_1998",0.399988710655687,0.399947982085642,0.0260457624353748,0.174017544823296
"Q2y_1998",0.399999863000907,0.395046851308477,0.0116147189012590,0.193338566789357
"Q3y_1998",0.399998565974977,0.341926506895561,0.0638080631987224,0.194266863930740
"Q4y_1998",0.399998241234235,0.31373258157666,0.0340048200130445,0.252264357176060
"Q1y_1999",0.399998040408661,0.39106283503625,0.077522652649161,0.131416471905928
"Q2y_1999",0.399996284154873,0.318874054836006,0.140726521846054,0.140403139163067
"Q3y_1999",0.399998924521283,0.385751826424921,0.109555234980055,0.104694014073741
"Q4y_1999",0.399999424031053,0.298164906857872,0.178503996772066,0.123331672339009
"Q1y_2000",0.399999591265874,0.301084914334038,0.17420387916772,0.124711615232368
"Q2y_2000",0.399999389418537,0.328736763952162,0.0869998339099931,0.184264012719308
"Q3y_2000",0.399999552805182,0.317619548162825,0.0824794429303052,0.199901456101688
"Q4y_2000",0.39999987964497,0.337660605025452,0.137096134779077,0.1252433805505
"Q1y_2001",0.399999956275176,0.284080608911542,0.128512881969366,0.187406552843917
"Q2y_2001",0.399999859007229,0.266069359440623,0.0442556873213651,0.289675094230783
"Q3y_2001",0.399999058322856,0.2683482072747,0.0433550281345123,0.288297706267932
"Q4y_2001",0.399994603394384,0.22993157502076,0.0934714015518041,0.276602420033051
"Q1y_2002",0.399995962561382,0.17525966542796,0.253228105726102,0.171516266284556
"Q2y_2002",0.399999200413183,0.133847697767917,0.271428890831509,0.194724210987390
"Q3y_2002",0.399998071909407,0.0424571004855457,0.397747894165417,0.15979693343963
"Q4y_2002",0.399999871343998,0.188919271438595,0.0725922526295682,0.338488604587839
"Q1y_2003",0.39999987577831,0.0959189781164043,0.123287870616476,0.380793275488810
"Q2y_2003",0.399999847334622,0.0162638150922344,0.399999883353588,0.183736454219556
"Q3y_2003",0.399999784737875,0.0530499249287996,0.399751846224196,0.147198444109130
"Q4y_2003",0.399999996124398,0.0323179159621018,0.399999662645384,0.167682425268117
"Q1y_2004",0.39999998655429,2.07100662719102e-07,0.391618989218617,0.20838081712643
"Q2y_2004",0.399994734606551,0.000241932780004034,0.375958979561405,0.223804353052040
"Q3y_2004",0.399999984456901,0.255841722334841,1.58598411326487e-06,0.344156707224145
"Q4y_2004",0.399993221848878,0.281658830899249,1.71263363070903e-06,0.318346234618243
"Q1y_2005",0.399995178156782,0.318605489958743,1.40464283499980e-06,0.281397927241640
"Q2y_2005",0.399999991459755,0.353736908642599,1.52645401127836e-07,0.246262947252245
"Q3y_2005",0.399995808129506,0.372234234614709,0.000522484210583551,0.227247473045202
"Q4y_2005",0.39999862409053,0.153792283085818,0.322715466670249,0.123493626153402
"Q1y_2006",0.399997660792686,0.221523101302680,0.277358324157809,0.101120913746825
"Q2y_2006",0.399997459062835,0.339914724745566,0.168048751533749,0.0920390646578508
"Q3y_2006",0.399996777093611,0.399926677452752,0.0763245102536187,0.123752035200019
"Q4y_2006",0.399999943015928,0.399999927645925,0.109779462259736,0.0902206670784113
"Q1y_2007",0.39999992760949,0.399999816412006,0.131080531600891,0.0689197243776132
"Q2y_2007",0.399999961503906,0.399999909613551,0.123253740806931,0.076746388075612
"Q3y_2007",0.399999953230254,0.399999799979914,0.100267048480583,0.0997331983092488
"Q4y_2007",0.399988277213809,0.399964751084177,0.0877738498979469,0.112273121804067
"Q1y_2008",0.399999949540174,0.399999814867987,0.092145719031446,0.107854516560392
"Q2y_2008",0.399998076660466,0.399990073621608,0.0415428068970583,0.158469042820867
"Q3y_2008",0.399999990982206,0.399999995253931,0.0142100353321129,0.185789978431750
"Q4y_2008",0.399959619673607,0.399963481418285,0.0741113222916647,0.125965576616442
"Q1y_2009",0.399999990001455,0.399999996168614,0.145295369646921,0.0547046441830101
"Q2y_2009",0.399999992610323,0.399999360536997,0.129226089379814,0.0707745574728663
"Q3y_2009",0.399999974674826,0.399999738355198,0.105686466354057,0.0943138206159193
"Q4y_2009",0.399996084511988,0.399844691790681,0.0517027476137785,0.148456476083553
"Q1y_2010",0.399999505413426,0.192884560821033,0.262447670135642,0.144668263629899
"Q2y_2010",0.399999271167693,0.245768154032414,0.231713634360223,0.12251894043967
"Q3y_2010",0.399999957016969,0.39999991588201,0.0631619354617869,0.136838191639234
