"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347129155915787,0.395078878514596,0.176230658629856,0.0815613069397607
"Q2y_1981",0.399985470986148,0.338556408949082,0.178756930589526,0.0827011894752441
"Q3y_1981",0.399897723157776,0.342239613322059,0.184546442103077,0.0733162214170879
"Q4y_1981",0.399977360450191,0.351283460632324,0.167815232104679,0.0809239468128056
"Q1y_1982",0.135207839314247,0.399985113647553,0.270671655176344,0.194135391861856
"Q2y_1982",0.190042976758486,0.399993027976229,0.256385236561439,0.153578758703846
"Q3y_1982",0.24246184804454,0.39971480573587,0.23461320442992,0.12321014178967
"Q4y_1982",0.202520861431414,0.399926749761925,0.251587053732326,0.145965335074335
"Q1y_1983",0.247426836017406,0.381426254328794,0.233312468273955,0.137834441379845
"Q2y_1983",0.323037288317097,0.357735476283636,0.218094471628106,0.101132763771161
"Q3y_1983",0.39998798865327,0.325539123601248,0.203711905821034,0.0707609819244483
"Q4y_1983",0.399982230943546,0.313740960973741,0.211431725735624,0.0748450823470902
"Q1y_1984",0.399990097930285,0.295887555704136,0.227640383219123,0.0764819631464555
"Q2y_1984",0.399976363464183,0.283388378127293,0.237856525970159,0.0787787324383647
"Q3y_1984",0.356165466048905,0.211949151323502,0.185191016397996,0.246694366229598
"Q4y_1984",0.399972485275009,0.26814614229047,0.22379452469079,0.108086847743732
"Q1y_1985",0.363543940147205,0.237217680423434,0.254806972766914,0.144431406662446
"Q2y_1985",0.385383483110579,0.219456874980092,0.237843324279922,0.157316317629408
"Q3y_1985",0.326215471482258,0.216610083212836,0.289291281189325,0.16788316411558
"Q4y_1985",0.399991765538351,0.250566798924743,0.165511416671711,0.183930018865195
"Q1y_1986",0.399875972322343,0.252779416681997,0.199678265155054,0.147666345840606
"Q2y_1986",0.399996966477163,0.264922896557872,0.248910054841314,0.0861700821236512
"Q3y_1986",0.399990138377949,0.255612456985709,0.265642495784391,0.078754908851952
"Q4y_1986",0.399997527752841,0.239064137110381,0.27141979002004,0.089518545116737
"Q1y_1987",0.399961207612198,0.227747945685858,0.273954641820132,0.0983362048818113
"Q2y_1987",0.399997747232808,0.214700554231505,0.309476427457406,0.0758252710782809
"Q3y_1987",0.399996031150198,0.218778524534142,0.297765427590118,0.0834600167255418
"Q4y_1987",0.399988471749428,0.22205921064845,0.283719214772444,0.0942331028296771
"Q1y_1988",0.39999757607792,0.235898314847632,0.154361259620057,0.209742849454392
"Q2y_1988",0.399995896994583,0.223466302617795,0.176499250804413,0.200038549583208
"Q3y_1988",0.399979749520801,0.210312173265964,0.196366821034949,0.193341256178286
"Q4y_1988",0.399982388480005,0.19446343257342,0.209060845706767,0.196493333239807
"Q1y_1989",0.399978543070092,0.199383395837681,0.231492598375049,0.169145462717179
"Q2y_1989",0.399963244452473,0.198290660871318,0.235744239092398,0.166001855583811
"Q3y_1989",0.399992392062748,0.18946660973446,0.250909916784141,0.15963108141865
"Q4y_1989",0.399975772405503,0.19000137394661,0.25453752994904,0.155485323698846
"Q1y_1990",0.399999204816953,0.208947391719809,0.231092181899732,0.159961221563506
"Q2y_1990",0.399947203297755,0.199289638364864,0.220289129396097,0.180474028941285
"Q3y_1990",0.399990438123885,0.19056157948585,0.232191579516634,0.177256402873631
"Q4y_1990",0.39999319162755,0.323260449981715,0.22456469929504,0.0521816590956948
"Q1y_1991",0.399985128082758,0.220873679738172,0.195227902447122,0.183913289731947
"Q2y_1991",0.399990183129773,0.235814269962546,0.17981282112483,0.184382725782851
"Q3y_1991",0.399996781118373,0.200788313137868,0.21198261435373,0.187232291390029
"Q4y_1991",0.399995531580353,0.182809247782095,0.237008926985293,0.180186293652259
"Q1y_1992",0.399984228476575,0.205908597989943,0.285367017523634,0.108740156009848
"Q2y_1992",0.399976642140529,0.191348072607485,0.22649157499568,0.182183710256306
"Q3y_1992",0.399995531580353,0.182809247782095,0.237008926985293,0.180186293652259
"Q4y_1992",0.399983174242841,0.174853793339151,0.242252113779395,0.182910918638612
"Q1y_1993",0.399990629907544,0.171777654894272,0.257199048517657,0.171032666680527
"Q2y_1993",0.399972023433219,0.195997592363822,0.19142450877139,0.212605875431569
"Q3y_1993",0.399985236694773,0.203537826740049,0.223730190598287,0.17274674596689
"Q4y_1993",0.399995918290582,0.179710265693561,0.221963358778137,0.19833045723772
"Q1y_1994",0.399969371798729,0.207441882527834,0.226934586497281,0.165654159176156
"Q2y_1994",0.399996896155118,0.202713083978583,0.219154859853559,0.17813516001274
"Q3y_1994",0.399971375388064,0.185328735415626,0.227943380608882,0.186756508587428
"Q4y_1994",0.399990545189372,0.195392286636953,0.261224900859954,0.143392267313721
"Q1y_1995",0.399998568645031,0.212938972452414,0.202925978286706,0.184136480615849
"Q2y_1995",0.399971375388064,0.185328735415626,0.227943380608882,0.186756508587428
"Q3y_1995",0.399994143056922,0.185530662317532,0.245751064837061,0.168724129788484
"Q4y_1995",0.399989327621734,0.220584029770856,0.231827369115337,0.147599273492073
"Q1y_1996",0.399999689540326,0.325586578366821,0.210257089600028,0.0641566424928251
