"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347130325015555,0.395079142621425,0.176229112614069,0.0815614197489513
"Q2y_1981",0.622369068634772,0.246888863588249,0.13074206777698,0
"Q3y_1981",0.468161022795275,0.317515930998142,0.172758944654944,0.0415641015516398
"Q4y_1981",0.25,0.25,0.25,0.25
"Q1y_1982",0.25,0.25,0.25,0.25
"Q2y_1982",0.25,0.25,0.25,0.25
"Q3y_1982",0.25,0.25,0.25,0.25
"Q4y_1982",0.25,0.25,0.25,0.25
"Q1y_1983",0.25,0.25,0.25,0.25
"Q2y_1983",0.25,0.25,0.25,0.25
"Q3y_1983",0.25,0.25,0.25,0.25
"Q4y_1983",0.25,0.25,0.25,0.25
"Q1y_1984",0.25,0.25,0.25,0.25
"Q2y_1984",0.25,0.25,0.25,0.25
"Q3y_1984",0.25,0.25,0.25,0.25
"Q4y_1984",0.866368594233368,0,0,0.133631405766632
"Q1y_1985",0.25,0.25,0.25,0.25
"Q2y_1985",0.25,0.25,0.25,0.25
"Q3y_1985",0.25,0.25,0.25,0.25
"Q4y_1985",0.25,0.25,0.25,0.25
"Q1y_1986",0.25,0.25,0.25,0.25
"Q2y_1986",0.25,0.25,0.25,0.25
"Q3y_1986",0.25,0.25,0.25,0.25
"Q4y_1986",0.25,0.25,0.25,0.25
"Q1y_1987",0.25,0.25,0.25,0.25
"Q2y_1987",0.25,0.25,0.25,0.25
"Q3y_1987",0.25,0.25,0.25,0.25
"Q4y_1987",0.25,0.25,0.25,0.25
"Q1y_1988",0.25,0.25,0.25,0.25
"Q2y_1988",0.25,0.25,0.25,0.25
"Q3y_1988",0.25,0.25,0.25,0.25
"Q4y_1988",0.25,0.25,0.25,0.25
"Q1y_1989",0.25,0.25,0.25,0.25
"Q2y_1989",0.25,0.25,0.25,0.25
"Q3y_1989",0.25,0.25,0.25,0.25
"Q4y_1989",0.25,0.25,0.25,0.25
"Q1y_1990",0.25,0.25,0.25,0.25
"Q2y_1990",0.25,0.25,0.25,0.25
"Q3y_1990",0.25,0.25,0.25,0.25
"Q4y_1990",0.950346040713866,6.03254883472965e-08,3.10271290370344e-08,0.0496538679335167
"Q1y_1991",0.882701048856695,0,0,0.117298951143305
"Q2y_1991",0.89975262961948,0,0,0.10024737038052
"Q3y_1991",0.902831718196992,0,0,0.0971682818030081
"Q4y_1991",0.897944127563265,0,0,0.102055872436735
"Q1y_1992",0.25,0.25,0.25,0.25
