"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347130325015555,0.395079142621425,0.176229112614069,0.0815614197489513
"Q2y_1981",0.622369068634772,0.246888863588249,0.13074206777698,0
"Q3y_1981",0.468161022795275,0.317515930998142,0.172758944654944,0.0415641015516398
"Q4y_1981",0.338624795667518,0.276515830668595,0.20429763710887,0.180561736555017
"Q1y_1982",0.189796781141969,0.335354341708562,0.254282402975105,0.220566474174364
"Q2y_1982",0.216780858280094,0.317920659868501,0.253236166660019,0.212062315191386
"Q3y_1982",0.239601489359412,0.30741968476579,0.247043506999205,0.205935318875593
"Q4y_1982",0.226169111281765,0.305215842633436,0.256130025865233,0.212485020219567
"Q1y_1983",0.24235943886585,0.298641436707057,0.248533717225168,0.210465407201925
"Q2y_1983",0.266716858493074,0.291958443976068,0.241140108325108,0.20018458920575
"Q3y_1983",0.293470441575803,0.281142526328731,0.235182087512595,0.19020494458287
"Q4y_1983",0.303301318846265,0.275069731995894,0.236203022774739,0.185425926383102
"Q1y_1984",0.330792877901156,0.26053563051825,0.234292166993052,0.174379324587542
"Q2y_1984",0.347753931950039,0.250936139665498,0.233257182344992,0.168052746039471
"Q3y_1984",0.293070645654504,0.231207828554662,0.217183843928652,0.258537681862182
"Q4y_1984",0.866368594233368,0,0,0.133631405766632
"Q1y_1985",0.280729852176241,0.247699083564156,0.256036685476714,0.215534378782889
"Q2y_1985",0.288063216047162,0.2402406961548,0.249075889051872,0.222620198746167
"Q3y_1985",0.271237563170569,0.237722537495174,0.269079207597076,0.221960691737182
"Q4y_1985",0.31790026467935,0.246681459013092,0.210575448940183,0.224842827367376
"Q1y_1986",0.295166082376047,0.254226363662737,0.233638774585583,0.216968779375634
"Q2y_1986",0.311697861283325,0.259700051666987,0.250518659509897,0.178083427539791
"Q3y_1986",0.333611988885509,0.248596080771285,0.250272204079619,0.167519726263588
"Q4y_1986",0.362201943361543,0.232263299168533,0.242585123299048,0.162949634170876
"Q1y_1987",0.376046135134304,0.22309541584778,0.238740594218,0.162117854799917
"Q2y_1987",0.394127184187835,0.2114222298327,0.248559598019822,0.145890987959643
"Q3y_1987",0.36523118281813,0.22308602004783,0.253812991511388,0.157869805622651
"Q4y_1987",0.35279224434072,0.228331616040443,0.251836124856673,0.167040014762164
"Q1y_1988",0.39005189948622,0.219819107134874,0.180602181221282,0.209526812157625
"Q2y_1988",0.370708293948768,0.220868045145506,0.196544127037594,0.211879533868132
