"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347130325015555,0.395079142621425,0.176229112614069,0.0815614197489513
"Q2y_1981",0.622369068634772,0.246888863588249,0.13074206777698,0
"Q3y_1981",0.468161022795275,0.317515930998142,0.172758944654944,0.0415641015516398
"Q4y_1981",0.455012857485174,0.337418412979993,0.163488307583214,0.0440804219516192
"Q1y_1982",0.128767912636821,0.426827900946905,0.262146443242396,0.182257743173878
"Q2y_1982",0.187755365376118,0.409579084004967,0.253352211592415,0.1493133390265
"Q3y_1982",0.242602365866827,0.3996820816298,0.234649237543569,0.123066314959804
"Q4y_1982",0.202373922835806,0.400168516674998,0.251489177067013,0.145968383422184
"Q1y_1983",0.247423421826086,0.381443068778342,0.23331136340415,0.137822145991423
"Q2y_1983",0.323033330191712,0.357738600157383,0.218093997781554,0.10113407186935
"Q3y_1983",0.405936942375028,0.324772614850909,0.202794011530399,0.0664964312436637
"Q4y_1983",0.419086001240867,0.312171726574772,0.208975866901608,0.0597664052827529
"Q1y_1984",0.453199361697594,0.286762871776453,0.216371484248785,0.0436662822771688
"Q2y_1984",0.474072539936907,0.269406790344174,0.222389308303552,0.034131361415367
"Q3y_1984",0.356165819788381,0.211960510565895,0.185187637964784,0.24668603168094
"Q4y_1984",0.866368594233368,0,0,0.133631405766632
"Q1y_1985",0.363540021890856,0.237219029016886,0.254815039556906,0.144425909535353
"Q2y_1985",0.718437909119961,0.00344377864722694,0.0630188853078743,0.215099426924938
"Q3y_1985",0.696447923050072,0.00180692477117637,0.0694190136818005,0.232326138496951
"Q4y_1985",0.727079458921216,0.0389685346323749,0.0187910451504741,0.215160961295935
"Q1y_1986",0.733034959741352,0.000665200571101441,0.0559928473395375,0.210306992348009
"Q2y_1986",0.753366704119966,0.00117769021660759,0.0669397659903193,0.178515839673107
"Q3y_1986",0.766187899683119,0.00112611347110067,0.0698552880683139,0.162830698777467
"Q4y_1986",0.791147262744906,0.00616600369967068,0.0536246591398509,0.149062074415573
"Q1y_1987",0.795274230488875,0.00227317114276232,0.0559474789885122,0.146505119379851
"Q2y_1987",0.806783182565035,0.00241331017185551,0.0631528529318073,0.127650654331302
"Q3y_1987",0.778605557692537,0.000885867298657294,0.0751343576049068,0.145374217403899
"Q4y_1987",0.714075569558677,0.00922336872391364,0.119903793410877,0.156797268306532
"Q1y_1988",0.773348055406463,0.0583523060365699,0.000580797964315547,0.167718840592652
