"","V1","V2","V3","V4"
"mPercrisk",0.2999,0.2891,0.2961,0.1148
"",0.301,0.2814,0.2882,0.1294
"",0.3009,0.2897,0.2887,0.1207
"",0.2982,0.2958,0.2962,0.1098
"",0.3008,0.2784,0.3001,0.1206
"",0.3012,0.2958,0.2989,0.1042
"",0.3002,0.287,0.2883,0.1245
"",0.3005,0.2819,0.2932,0.1245
"",0.2987,0.2901,0.2979,0.1132
"",0.3018,0.2781,0.286,0.1341
"",0.3001,0.2971,0.289,0.1138
"",0.2999,0.2843,0.2949,0.1209
"",0.3006,0.2893,0.2944,0.1157
"",0.3023,0.2706,0.2926,0.1345
"",0.3017,0.2866,0.2967,0.115
"",0.3004,0.2982,0.2922,0.1093
"",0.3016,0.2879,0.2929,0.1175
"",0.3011,0.2741,0.2943,0.1305
"",0.3022,0.2741,0.2952,0.1286
"",0.3018,0.2599,0.302,0.1364
"",0.3006,0.2682,0.299,0.1323
"",0.2989,0.2908,0.293,0.1172
"",0.3022,0.2693,0.2965,0.132
"",0.2994,0.294,0.2998,0.1068
"",0.3012,0.2861,0.3005,0.1123
"",0.3016,0.2562,0.2998,0.1424
"",0.3001,0.285,0.3011,0.1138
"",0.3014,0.2849,0.2906,0.1232
"",0.3005,0.2758,0.2964,0.1272
"",0.3003,0.285,0.2931,0.1216
"",0.3008,0.285,0.294,0.1203
"",0.3017,0.2785,0.294,0.1257
"",0.3004,0.2816,0.2968,0.1212
"",0.2994,0.2974,0.3004,0.1029
"",0.3009,0.2767,0.2945,0.1278
"",0.2992,0.3009,0.291,0.1089
"",0.3017,0.2883,0.287,0.123
"",0.3023,0.2742,0.2887,0.1348
"",0.2997,0.2782,0.2985,0.1236
"",0.3008,0.2984,0.2889,0.1119
"",0.3021,0.2787,0.2848,0.1344
"",0.3019,0.2817,0.2959,0.1204
"",0.3011,0.2859,0.2957,0.1172
"",0.3005,0.2775,0.301,0.121
"",0.3008,0.2789,0.3017,0.1185
"",0.3016,0.2904,0.2969,0.1111
"",0.3014,0.2907,0.2909,0.1169
"",0.3022,0.2774,0.2909,0.1295
"",0.3007,0.2959,0.2927,0.1107
"",0.3003,0.2844,0.2967,0.1185
"",0.3,0.2837,0.2956,0.1208
"",0.2988,0.2911,0.2976,0.1124
"",0.3007,0.2977,0.2805,0.1211
"",0.3016,0.2958,0.2955,0.107
"",0.3011,0.2662,0.2986,0.134
"",0.2988,0.2775,0.3005,0.1233
"",0.2995,0.2877,0.2932,0.1196
"",0.3016,0.2806,0.2915,0.1263
"",0.2991,0.2976,0.2889,0.1145
"",0.3012,0.2837,0.2868,0.1283
"",0.2978,0.2959,0.297,0.1093
"",0.3009,0.285,0.2965,0.1177
"",0.299,0.292,0.2985,0.1105
"",0.3011,0.2697,0.2971,0.1321
"",0.3021,0.2827,0.293,0.1223
"",0.3021,0.2777,0.2917,0.1285
"",0.3001,0.2917,0.2933,0.1149
"",0.3017,0.2941,0.2777,0.1265
"",0.3017,0.271,0.2983,0.1289
"",0.3019,0.2788,0.2942,0.125
"",0.3011,0.2774,0.2994,0.1221
"",0.2981,0.2953,0.2995,0.1071
"",0.3013,0.281,0.2979,0.1199
"",0.3012,0.2631,0.2958,0.1398
"",0.3011,0.2683,0.2988,0.1318
"",0.3017,0.2765,0.295,0.1268
"",0.3013,0.2875,0.286,0.1252
"",0.2986,0.2927,0.2954,0.1133
"",0.2999,0.2946,0.295,0.1104
"",0.3008,0.2962,0.2868,0.1162
"",0.2993,0.2889,0.2918,0.12
"",0.3019,0.2819,0.2969,0.1193
"",0.3,0.2846,0.2958,0.1196
"",0.3009,0.2907,0.3014,0.107
"",0.3009,0.2751,0.2957,0.1284
"",0.3019,0.285,0.2944,0.1187
"",0.3019,0.2918,0.29,0.1162
"",0.3018,0.2812,0.2917,0.1252
