"","V1","V2","V3","V4"
"mPercrisk",0.2492,0.2508,0.2507,0.2493
"",0.2525,0.2497,0.2497,0.248
"",0.2508,0.2483,0.2502,0.2506
"",0.2521,0.2491,0.2485,0.2504
"",0.249,0.2505,0.251,0.2495
"",0.2523,0.2498,0.248,0.2498
"",0.2513,0.2494,0.2478,0.2515
"",0.2521,0.2507,0.2517,0.2455
"",0.2506,0.2509,0.2479,0.2506
"",0.2505,0.2483,0.2507,0.2504
"",0.2519,0.2481,0.2495,0.2505
"",0.2505,0.2501,0.2495,0.25
"",0.2508,0.2516,0.2504,0.2472
"",0.2507,0.249,0.2518,0.2485
"",0.2525,0.249,0.2521,0.2465
"",0.2507,0.2486,0.251,0.2497
"",0.2506,0.249,0.2515,0.249
"",0.2522,0.2525,0.2479,0.2474
"",0.2504,0.2497,0.2508,0.2491
"",0.2517,0.2477,0.2497,0.251
"",0.2518,0.2498,0.2484,0.2501
"",0.2502,0.2495,0.2503,0.25
"",0.2524,0.247,0.2489,0.2517
"",0.2508,0.2496,0.2496,0.25
"",0.2517,0.2462,0.2499,0.2523
"",0.2518,0.2494,0.2501,0.2488
"",0.2504,0.2471,0.251,0.2515
"",0.2504,0.2502,0.2489,0.2505
"",0.2513,0.2519,0.2478,0.2491
"",0.25,0.2484,0.2503,0.2513
"",0.2513,0.2497,0.2477,0.2512
"",0.2496,0.2509,0.2486,0.2508
"",0.2506,0.2516,0.2499,0.2478
"",0.2511,0.25,0.252,0.2469
"",0.2507,0.25,0.2475,0.2518
"",0.2505,0.2519,0.2484,0.2491
"",0.2526,0.2468,0.2499,0.2507
"",0.2523,0.251,0.2497,0.2469
"",0.2527,0.2485,0.2474,0.2514
"",0.2492,0.2491,0.2509,0.2507
"",0.2506,0.246,0.2513,0.252
"",0.2517,0.2453,0.2507,0.2523
"",0.2483,0.2502,0.2513,0.2502
"",0.2523,0.2479,0.2482,0.2517
"",0.2502,0.25,0.2479,0.252
"",0.2497,0.2509,0.249,0.2503
"",0.2518,0.25,0.2491,0.2491
"",0.2513,0.2486,0.2504,0.2497
"",0.2517,0.2498,0.2489,0.2495
"",0.2501,0.2503,0.2514,0.2482
"",0.25,0.2496,0.2512,0.2492
"",0.2524,0.2501,0.2487,0.2488
"",0.2506,0.2497,0.2493,0.2504
"",0.2511,0.2511,0.2476,0.2501
"",0.2518,0.2505,0.2492,0.2485
"",0.2498,0.2498,0.2501,0.2503
"",0.2507,0.2491,0.2514,0.2488
"",0.25,0.2518,0.2472,0.251
"",0.2502,0.2517,0.2508,0.2473
"",0.2489,0.2494,0.2502,0.2515
"",0.2514,0.2502,0.2507,0.2477
"",0.2509,0.2478,0.2513,0.25
"",0.2516,0.2483,0.2475,0.2525
"",0.2524,0.248,0.2524,0.2472
"",0.252,0.2479,0.2496,0.2505
"",0.2524,0.2503,0.2467,0.2506
"",0.2507,0.2471,0.2515,0.2507
"",0.2492,0.2499,0.2495,0.2514
"",0.2509,0.2488,0.2492,0.2511
"",0.2508,0.2509,0.2481,0.2502
"",0.2496,0.2496,0.2504,0.2504
"",0.2506,0.2488,0.2497,0.2509
"",0.2515,0.2496,0.247,0.2518
"",0.2514,0.2514,0.2477,0.2494
"",0.2511,0.2495,0.2514,0.248
"",0.2517,0.2488,0.2522,0.2473
"",0.252,0.2496,0.2499,0.2485
"",0.251,0.2505,0.2499,0.2486
"",0.2495,0.2506,0.2487,0.2512
"",0.2515,0.2516,0.2474,0.2495
"",0.2516,0.2506,0.247,0.2508
"",0.2504,0.2518,0.2487,0.2491
"",0.2512,0.2492,0.2515,0.2481
"",0.2524,0.2521,0.2435,0.252
"",0.2494,0.2505,0.2501,0.2499
"",0.2526,0.2493,0.2461,0.252
"",0.2511,0.2476,0.2494,0.2519
"",0.2525,0.2509,0.2454,0.2512
"",0.249,0.2512,0.2508,0.2491
"",0.2524,0.2484,0.2503,0.2489
"",0.2495,0.2514,0.2504,0.2487
