"","V1","V2","V3","V4"
"mPercrisk",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
"",0.9468,0.0016,0.0261,0.0255
