"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.1028,0.2997,0.2997,0.2977
"Q2y_1984",0.0706,0.3108,0.3107,0.308
"Q3y_1984",0.1983,0.268,0.2668,0.2669
"Q4y_1984",0.1686,0.278,0.276,0.2774
"Q1y_1985",0.1963,0.2694,0.2658,0.2685
"Q2y_1985",0.1854,0.2717,0.2713,0.2715
"Q3y_1985",0.2259,0.2584,0.2575,0.2583
"Q4y_1985",0.1888,0.2702,0.2705,0.2705
"Q1y_1986",0.1403,0.2869,0.2861,0.2867
"Q2y_1986",0.1764,0.2747,0.274,0.2749
"Q3y_1986",0.1661,0.2783,0.2784,0.2773
"Q4y_1986",0.0979,0.3003,0.3006,0.3012
"Q1y_1987",0.0756,0.3081,0.3083,0.308
"Q2y_1987",0.0468,0.3178,0.3181,0.3173
"Q3y_1987",0.1205,0.292,0.2937,0.2939
"Q4y_1987",0.1405,0.2844,0.288,0.287
"Q1y_1988",-0.0186,0.34,0.3399,0.3387
"Q2y_1988",0.1356,0.2879,0.2879,0.2886
"Q3y_1988",0.117,0.2949,0.2952,0.2929
"Q4y_1988",0.0925,0.3045,0.3024,0.3006
"Q1y_1989",0.1055,0.2983,0.2987,0.2974
"Q2y_1989",0.0955,0.3013,0.3014,0.3018
"Q3y_1989",0.0576,0.314,0.3141,0.3143
"Q4y_1989",0.1002,0.3003,0.2993,0.3003
"Q1y_1990",0.0377,0.3202,0.3202,0.3218
"Q2y_1990",0.0652,0.3128,0.3107,0.3112
"Q3y_1990",0.0658,0.3124,0.309,0.3128
"Q4y_1990",-3e-04,0.3332,0.3324,0.3347
"Q1y_1991",-0.0256,0.3421,0.341,0.3425
"Q2y_1991",-0.0314,0.3436,0.3429,0.3448
"Q3y_1991",-0.0114,0.3364,0.3377,0.3374
"Q4y_1991",-0.0294,0.3428,0.3457,0.341
"Q1y_1992",-0.0508,0.351,0.3497,0.3501
"Q2y_1992",0.0027,0.3316,0.3317,0.334
"Q3y_1992",-0.0375,0.3458,0.3464,0.3453
