"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.251,0.2482,0.25,0.2509
"Q2y_1984",0.2502,0.2494,0.2508,0.2496
"Q3y_1984",0.248,0.2509,0.2505,0.2507
"Q4y_1984",0.2492,0.2516,0.2478,0.2515
"Q1y_1985",0.2492,0.2507,0.2501,0.2501
"Q2y_1985",0.2499,0.2499,0.25,0.2501
"Q3y_1985",0.2509,0.2513,0.2473,0.2504
"Q4y_1985",0.2496,0.2487,0.2516,0.25
"Q1y_1986",0.2494,0.2503,0.2503,0.25
"Q2y_1986",0.2513,0.2488,0.2512,0.2487
"Q3y_1986",0.251,0.2475,0.252,0.2495
"Q4y_1986",0.2529,0.2517,0.2442,0.2512
"Q1y_1987",0.2513,0.2504,0.2497,0.2487
"Q2y_1987",0.2518,0.2472,0.2525,0.2486
"Q3y_1987",0.2516,0.2508,0.2507,0.2469
"Q4y_1987",0.2509,0.2507,0.2485,0.2499
"Q1y_1988",0.2521,0.2525,0.2456,0.2499
"Q2y_1988",0.251,0.2499,0.2508,0.2483
"Q3y_1988",0.2521,0.2472,0.2511,0.2496
"Q4y_1988",0.2525,0.2508,0.2504,0.2463
"Q1y_1989",0.2534,0.2429,0.2513,0.2524
"Q2y_1989",0.2513,0.2444,0.2527,0.2516
"Q3y_1989",0.2499,0.2515,0.247,0.2517
"Q4y_1989",0.2488,0.2505,0.2509,0.2498
"Q1y_1990",0.2513,0.2485,0.2519,0.2483
"Q2y_1990",0.2525,0.2496,0.2477,0.2503
"Q3y_1990",0.2506,0.2512,0.2475,0.2507
"Q4y_1990",0.2505,0.2498,0.25,0.2496
"Q1y_1991",0.2549,0.2514,0.2457,0.248
"Q2y_1991",0.2509,0.2489,0.2496,0.2506
"Q3y_1991",0.2515,0.2482,0.2491,0.2511
"Q4y_1991",0.2531,0.2431,0.2484,0.2554
"Q1y_1992",0.2552,0.2514,0.2387,0.2547
"Q2y_1992",0.2526,0.2454,0.247,0.2549
"Q3y_1992",0.2557,0.2473,0.2464,0.2507
"Q4y_1992",0.25,0.2508,0.2469,0.2523
"Q1y_1993",0.2542,0.2502,0.2439,0.2516
"Q2y_1993",0.2481,0.2498,0.2525,0.2497
"Q3y_1993",0.2551,0.2401,0.2493,0.2555
"Q4y_1993",0.2537,0.254,0.2431,0.2492
"Q1y_1994",0.2509,0.2513,0.2509,0.247
"Q2y_1994",0.2516,0.2492,0.2501,0.2491
"Q3y_1994",0.2498,0.2478,0.2506,0.2517
"Q4y_1994",0.2526,0.253,0.2472,0.2472
"Q1y_1995",0.2484,0.2501,0.2517,0.2498
"Q2y_1995",0.2504,0.2494,0.2502,0.25
"Q3y_1995",0.2526,0.2499,0.2462,0.2512
"Q4y_1995",0.2511,0.2454,0.2512,0.2523
"Q1y_1996",0.2503,0.2452,0.2519,0.2527
"Q2y_1996",0.2541,0.2476,0.2432,0.2551
"Q3y_1996",0.2502,0.2501,0.2521,0.2476
"Q4y_1996",0.2499,0.248,0.2501,0.252
"Q1y_1997",0.2506,0.2515,0.2471,0.2508
"Q2y_1997",0.2499,0.2486,0.2508,0.2507
"Q3y_1997",0.2535,0.2516,0.2423,0.2526
"Q4y_1997",0.2536,0.2495,0.2438,0.2531
"Q1y_1998",0.2496,0.2504,0.2498,0.2502
"Q2y_1998",0.2505,0.2515,0.2491,0.2489
"Q3y_1998",0.2497,0.2498,0.2503,0.2502
"Q4y_1998",0.2525,0.2534,0.2517,0.2423
"Q1y_1999",0.2542,0.2529,0.2452,0.2477
"Q2y_1999",0.2495,0.2518,0.25,0.2488
"Q3y_1999",0.2509,0.2516,0.2452,0.2524
"Q4y_1999",0.2504,0.2496,0.2499,0.25
"Q1y_2000",0.2537,0.247,0.2484,0.2509
"Q2y_2000",0.2503,0.2456,0.2515,0.2526
"Q3y_2000",0.2545,0.2513,0.2437,0.2504
"Q4y_2000",0.2496,0.2501,0.2499,0.2505
"Q1y_2001",0.2495,0.2496,0.251,0.2499
"Q2y_2001",0.2477,0.2511,0.251,0.2502
"Q3y_2001",0.2513,0.2526,0.2468,0.2494
"Q4y_2001",0.2514,0.2468,0.2505,0.2513
"Q1y_2002",0.2503,0.2478,0.2514,0.2506
"Q2y_2002",0.2515,0.2469,0.251,0.2506
"Q3y_2002",0.25,0.2504,0.2505,0.2491
"Q4y_2002",0.2512,0.2508,0.252,0.2461
"Q1y_2003",0.2516,0.25,0.2513,0.2472
"Q2y_2003",0.2534,0.2457,0.2493,0.2516
"Q3y_2003",0.2524,0.2491,0.2477,0.2508
"Q4y_2003",0.2499,0.2498,0.2508,0.2495
"Q1y_2004",0.2504,0.2502,0.2495,0.2498
"Q2y_2004",0.2508,0.2494,0.249,0.2507
"Q3y_2004",0.2506,0.2491,0.2495,0.2509
"Q4y_2004",0.2501,0.2491,0.2503,0.2505
"Q1y_2005",0.2511,0.2506,0.2506,0.2477
"Q2y_2005",0.2498,0.2494,0.2503,0.2505
"Q3y_2005",0.2482,0.2493,0.2496,0.253
"Q4y_2005",0.2508,0.2501,0.249,0.2502
"Q1y_2006",0.2494,0.2509,0.2506,0.2491
"Q2y_2006",0.249,0.2488,0.2509,0.2513
"Q3y_2006",0.2515,0.2469,0.2512,0.2504
"Q4y_2006",0.2492,0.2519,0.2523,0.2466
