"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.491064829651251,0.193528243719732,0.165529701844206,0.149877224784811
"Q2y_1984",0.51728116028666,0.177282452553770,0.162221805308781,0.143214581850790
"Q3y_1984",0.430706607412545,0.189723320940368,0.143884708630510,0.235685363016578
"Q4y_1984",0.449835222880634,0.209765203314823,0.155119206778446,0.185280367026097
"Q1y_1985",0.431981606485433,0.215203248297916,0.162192434313065,0.190622710903586
"Q2y_1985",0.440230381172274,0.215811891190346,0.158952041221792,0.185005686415588
"Q3y_1985",0.413623849797797,0.210535496112553,0.150080995485148,0.225759658604502
"Q4y_1985",0.437825990033615,0.188244028107624,0.146970682798395,0.226959299060366
"Q1y_1986",0.47194536181327,0.186151450697427,0.140869489603444,0.201033697885859
"Q2y_1986",0.450808154067664,0.215235490926623,0.167696670652596,0.166259684353117
"Q3y_1986",0.458037075295524,0.214665543096564,0.159726254887610,0.167571126720302
"Q4y_1986",0.516243310178894,0.178741004053436,0.150087976939793,0.154927708827877
"Q1y_1987",0.53984281635642,0.172374632168312,0.140244041075686,0.147538510399581
"Q2y_1987",0.545634684881561,0.180237962165690,0.135480104828253,0.138647248124496
"Q3y_1987",0.492023303090416,0.203100312015106,0.149144591404444,0.155731793490034
"Q4y_1987",0.478077090545397,0.203787521433805,0.151850567668607,0.166284820352191
"Q1y_1988",0.640008314160859,0.108439889332233,0.108890832259093,0.142660964247816
"Q2y_1988",0.502130653338067,0.125500868301257,0.134794776582715,0.237573701777961
"Q3y_1988",0.476688196314687,0.126785112670914,0.132790829550984,0.263735861463415
"Q4y_1988",0.497581101192594,0.121470510128951,0.121569908653291,0.259378480025165
"Q1y_1989",0.487462556820681,0.118155917079283,0.122024372423494,0.272357153676543
"Q2y_1989",0.491801843315995,0.115159919442398,0.114046344574172,0.278991892667435
"Q3y_1989",0.51597167241371,0.112867312828610,0.10049566005549,0.270665354702190
"Q4y_1989",0.483011086823361,0.122762845444336,0.104657222145016,0.289568845587288
"Q1y_1990",0.517834602885457,0.111516401802497,0.0923936704781094,0.278255324833936
"Q2y_1990",0.52150541129754,0.111983884761894,0.0872187001518017,0.279292003788763
"Q3y_1990",0.517868354487678,0.107875928737367,0.0946292514246804,0.279626465350274
"Q4y_1990",0.600891216732537,0.110773395604333,0.0696393642809935,0.218696023382136
"Q1y_1991",0.668117917116578,0.120765407266695,0.0625972200475501,0.148519455569176
"Q2y_1991",0.670208578388363,0.112986379645721,0.0671773754143495,0.149627666551566
"Q3y_1991",0.610985706079994,0.0944163360195475,0.0663763656238705,0.228221592276588
"Q4y_1991",0.623840112978433,0.0876556126604671,0.0662293698556353,0.222274904505465
"Q1y_1992",0.675548415385862,0.0857593395178546,0.065344218525449,0.173348026570835
"Q2y_1992",0.59949865943563,0.10128144189865,0.0751103985273902,0.22410950013833
"Q3y_1992",0.627365078377523,0.0921689979590011,0.0695392100469239,0.210926713616552
"Q4y_1992",0.641433620662306,0.0890945022372693,0.0678968188781644,0.20157505822226
"Q1y_1993",0.61669167069856,0.102566064601101,0.0789172299228168,0.201825034777522
"Q2y_1993",0.625266793547863,0.0948726702857833,0.0754153151804233,0.204445220985930
"Q3y_1993",0.666957848972634,0.0927924583666064,0.0680158079497805,0.172233884710979
"Q4y_1993",0.661643583462469,0.0846095544488853,0.0731705302830905,0.180576331805555
"Q1y_1994",0.683661385998801,0.105821654518758,0.0634225018812913,0.147094457601150
"Q2y_1994",0.596307693185201,0.123558271182760,0.0934021062117328,0.186731929420306
"Q3y_1994",0.533308968247099,0.128248342837273,0.103507991442043,0.234934697473586
"Q4y_1994",0.553917635004407,0.146270728339704,0.121277568847804,0.178534067808085
"Q1y_1995",0.536419610959244,0.143111166247426,0.103354542757968,0.217114680035362
"Q2y_1995",0.507433723052818,0.153396524434088,0.107332731855769,0.231837020657324
"Q3y_1995",0.479285087816714,0.168208508414142,0.109390424196905,0.243115979572239
"Q4y_1995",0.504086565955659,0.174866689403065,0.0939152110513148,0.227131533589961
"Q1y_1996",0.503596989277778,0.190454871150797,0.0982778125599948,0.20767032701143
"Q2y_1996",0.432664408937332,0.26054550175864,0.108514113566122,0.198275975737906
"Q3y_1996",0.39275735286821,0.319452446177318,0.0937848920489955,0.194005308905477
"Q4y_1996",0.503544684103824,0.20129461705279,0.108924239192959,0.186236459650427
"Q1y_1997",0.525114243623672,0.185362323527205,0.120461790430699,0.169061642418424
"Q2y_1997",0.538052950708658,0.185944240852248,0.128906401291666,0.147096407147427
"Q3y_1997",0.524132389055736,0.16565137596474,0.115449012534560,0.194767222444964
"Q4y_1997",0.531118562285449,0.154625578764895,0.098351590837733,0.215904268111924
"Q1y_1998",0.604378677858717,0.163947339152805,0.104283529653259,0.127390453335219
"Q2y_1998",0.585068852529252,0.166989405312669,0.106119992199084,0.141821749958995
"Q3y_1998",0.594206967850625,0.154722718709595,0.114141857251180,0.136928456188600
"Q4y_1998",0.696965549330546,0.104600109684335,0.0809083375404153,0.117526003444703
"Q1y_1999",0.688493290927072,0.127926435069872,0.0960172840621305,0.0875629899409254
"Q2y_1999",0.599675233605655,0.154552268886682,0.129372079190877,0.116400418316786
"Q3y_1999",0.597679765498973,0.171034692001984,0.128463186199993,0.102822356299050
"Q4y_1999",0.594866261754183,0.156022888924365,0.138409958456140,0.110700890865312
"Q1y_2000",0.586573041242988,0.158568038517818,0.140618870065801,0.114240050173394
"Q2y_2000",0.610837393304497,0.151115504054853,0.118104662378061,0.119942440262589
"Q3y_2000",0.618241615646287,0.143326122222057,0.114409695546399,0.124022566585257
"Q4y_2000",0.64506853969405,0.14122430803981,0.117897549196113,0.0958096030700268
"Q1y_2001",0.671497321537917,0.116950616104263,0.106509658816727,0.105042403541092
"Q2y_2001",0.703719357586333,0.097148787172976,0.0867708995087362,0.112360955731955
"Q3y_2001",0.697636257016615,0.0984117110261147,0.0903907563552665,0.113561275602004
"Q4y_2001",0.726133774586733,0.0852260493051876,0.0871313553907735,0.101508820717306
"Q1y_2002",0.708560141559095,0.0914014125036079,0.101860491597938,0.0981779543393591
"Q2y_2002",0.723321642579785,0.084960801440984,0.093365819441411,0.09835173653782
"Q3y_2002",0.717087413451201,0.0843624221708385,0.101730525699379,0.0968196386785817
"Q4y_2002",0.750225562445697,0.0696396442335246,0.07839502347111,0.101739769849668
"Q1y_2003",0.757636737552074,0.061359774493608,0.0734844991382439,0.107518988816074
"Q2y_2003",0.768876137333631,0.0671463508302517,0.084101567135534,0.0798759447005834
"Q3y_2003",0.798156524054471,0.0682467983286519,0.0744770305530789,0.0591196470637979
"Q4y_2003",0.687940319533587,0.097400749071768,0.116357914741469,0.0983010166531758
"Q1y_2004",0.672016837115173,0.0966317730477012,0.114613958148372,0.116737431688753
"Q2y_2004",0.687512436633899,0.090513394917052,0.108216292265581,0.113757876183469
"Q3y_2004",0.628431360572145,0.104146212377622,0.118038427953803,0.14938399909643
"Q4y_2004",0.647959272190473,0.104373027060643,0.113164073400749,0.134503627348135
"Q1y_2005",0.676040231375448,0.105097363005188,0.108384028397322,0.110478377222042
"Q2y_2005",0.684603446515117,0.108076216524807,0.108280775038430,0.0990395619216453
"Q3y_2005",0.695254508253955,0.107845843086726,0.105593253497283,0.0913063951620362
"Q4y_2005",0.693459512601157,0.113381961896730,0.113562263021576,0.079596262480537
"Q1y_2006",0.69058256960262,0.121007854177850,0.118188942250613,0.0702206339689168
"Q2y_2006",0.689791701278194,0.128914809956151,0.116073584330924,0.0652199044347304
"Q3y_2006",0.681329862401197,0.132248488814352,0.110352339274998,0.0760693095094537
"Q4y_2006",0.636568014753103,0.177863658620021,0.113688831724139,0.0718794949027364
"Q1y_2007",0.633632705964917,0.188449838753522,0.115997246375064,0.0619202089064967
"Q2y_2007",0.638252742313551,0.18654370409661,0.110981697296253,0.0642218562935863
"Q3y_2007",0.639289048192293,0.173303322217608,0.113188423337592,0.0742192062525075
"Q4y_2007",0.656357450377459,0.159482168172055,0.109836163008529,0.0743242184419571
"Q1y_2008",0.680450145130329,0.145522272077629,0.104339542053011,0.0696880407390311
"Q2y_2008",0.721867713031046,0.126123140932436,0.082124226659729,0.0698849193767897
"Q3y_2008",0.712096848896615,0.120760062363232,0.087082650346857,0.0800604383932961
"Q4y_2008",0.775387256488619,0.109142087612203,0.0618399301635124,0.0536307257356654
"Q1y_2009",0.803191458848812,0.0964664983899036,0.0618057218783289,0.0385363208829557
"Q2y_2009",0.78457255937525,0.095136201046954,0.0720083099142418,0.0482829296635541
"Q3y_2009",0.805648425346667,0.085643162095758,0.0619744423349913,0.046733970222584
"Q4y_2009",0.782752609463042,0.0865457063501103,0.0711845666795768,0.0595171175072703
"Q1y_2010",0.747902800597127,0.0890793366096897,0.0911234111617373,0.071894451631446
"Q2y_2010",0.722807402631762,0.101003090263047,0.101343969058251,0.0748455380469403
"Q3y_2010",0.791267471656458,0.089204448539666,0.0635555185713718,0.0559725612325042
