"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.399496163542264,0.239007184432352,0.194881515383594,0.166615136641790
"Q2y_1984",0.399803487514637,0.234993278226374,0.199973153010313,0.165230081248676
"Q3y_1984",0.399718001610608,0.204442216976672,0.153767685657903,0.242072095754817
"Q4y_1984",0.399568707160322,0.234433070137138,0.171380033194387,0.194618189508154
"Q1y_1985",0.399285371585814,0.230987759712998,0.172138375304829,0.197588493396359
"Q2y_1985",0.399861924803311,0.234208896538702,0.172414319504948,0.193514859153039
"Q3y_1985",0.39994643850073,0.217075052702421,0.153667116074155,0.229311392722695
"Q4y_1985",0.399916815852901,0.201918171262064,0.159579796039364,0.238585216845670
"Q1y_1986",0.399696626462008,0.217130096148458,0.163546371423439,0.219626905966095
"Q2y_1986",0.399395968197599,0.235840249486921,0.183362854835669,0.181400927479811
"Q3y_1986",0.399924817967488,0.237081998688494,0.179610877566312,0.183382305777706
"Q4y_1986",0.39981849032761,0.221532540270047,0.192798268676060,0.185850700726283
"Q1y_1987",0.399555149277098,0.223178997323744,0.192928594049743,0.184337259349416
"Q2y_1987",0.399334035423564,0.233828239288521,0.191343181695134,0.175494543592781
"Q3y_1987",0.398946275716399,0.233078565456162,0.184375031639509,0.183600127187929
"Q4y_1987",0.399090161135532,0.229214509282992,0.182660670165881,0.189034659415594
"Q1y_1988",0.399292917702900,0.182598439641012,0.180637528417649,0.237471114238438
"Q2y_1988",0.398668442678498,0.148510547721630,0.164117439348598,0.288703570251274
"Q3y_1988",0.399989518626761,0.148035346093949,0.157231825904691,0.294743309374599
"Q4y_1988",0.399275388148761,0.147929471053385,0.152489647331246,0.300305493466608
"Q1y_1989",0.399961867985031,0.141707029960111,0.148654585195213,0.309676516859644
"Q2y_1989",0.399952013376728,0.140343769772016,0.139396193651806,0.320308023199451
"Q3y_1989",0.399931468664042,0.144298947140934,0.131266583388473,0.32450300080655
"Q4y_1989",0.399802442016456,0.145526999560431,0.128420060318699,0.326250498104414
"Q1y_1990",0.399261125341003,0.145808123247241,0.125505618507936,0.329425132903819
"Q2y_1990",0.399827755030598,0.149990717196510,0.118890531810229,0.331290995962663
"Q3y_1990",0.399473772113047,0.142840163314873,0.125213746525293,0.332472318046788
"Q4y_1990",0.399687184103422,0.174296595854722,0.120011226493437,0.306004993548419
"Q1y_1991",0.399543374996807,0.225206682111042,0.132974751356930,0.242275191535221
"Q2y_1991",0.399855769861251,0.212484905829548,0.141675369224738,0.245983955084463
"Q3y_1991",0.39978466654438,0.153882552238801,0.12277260815603,0.323560173060789
"Q4y_1991",0.399891534430553,0.152033703458783,0.124919359885294,0.323155402225371
"Q1y_1992",0.396801818662816,0.167803800336453,0.146278253029445,0.289116127971286
"Q2y_1992",0.399002061643359,0.156071849763992,0.133896361859621,0.311029726733028
"Q3y_1992",0.398733582543526,0.155137380448825,0.132242654128499,0.313886382879151
"Q4y_1992",0.399682726040206,0.155772841943255,0.133338548755206,0.311205883261333
"Q1y_1993",0.399518949884439,0.163702741041710,0.141665093516832,0.295113215557018
"Q2y_1993",0.398238183270893,0.15407221541748,0.146274028741090,0.301415572570537
"Q3y_1993",0.398829355531374,0.167945290608993,0.146087020538437,0.287138333321197
