"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.678583888271583,0.132405854133071,0.103297824958673,0.085712432636673
"Q2y_1984",0.654477401606441,0.118809137995104,0.22663957063229,7.38897661648508e-05
"Q3y_1984",0.466335524040689,0.348434557077829,0.0476464711014743,0.137583447780008
"Q4y_1984",0.68387394305268,0.130564812229230,0.00649396235078322,0.179067282367306
"Q1y_1985",0.67317667142153,0.136299066008248,0.0208572107559925,0.169667051814230
"Q2y_1985",0.683838476069172,0.166372944453142,0.0184966979965224,0.131291881481163
"Q3y_1985",0.632361133575242,0.142558332295789,0.00978044162087044,0.215300092508098
"Q4y_1985",0.747244175134394,0.0592946144762706,0.0395982277438736,0.153862982645462
"Q1y_1986",0.844929254389963,0.0727911380731837,0.056078624658746,0.0262009828781073
"Q2y_1986",0.84290593569734,0.0656130728676841,0.0603848082097952,0.0310961832251798
"Q3y_1986",0.796654005606458,0.0974384484208434,0.105907339813086,2.06159612005762e-07
"Q4y_1986",0.843602476899755,0.0100651638641551,0.146331942117731,4.1711835848281e-07
"Q1y_1987",0.830507461313588,0.00990236498485555,0.159590139551152,3.41504050279788e-08
"Q2y_1987",0.571963843073058,0.230691184261484,0.197343395759478,1.57690598039173e-06
"Q3y_1987",0.44628528192441,0.337784052382654,0.215930641260424,2.44325124851966e-08
"Q4y_1987",0.404655687091426,0.403700529983593,0.191575884309037,6.78986159439543e-05
"Q1y_1988",0.722140620144893,2.43160782817439e-06,0.277677108781539,0.000179839465739730
"Q2y_1988",0.490231645620132,1.46774967672199e-06,0.283959560687391,0.225807325942801
"Q3y_1988",0.382867380787593,3.93292274627537e-06,0.332067894840956,0.285060791448705
"Q4y_1988",0.456078348831789,4.18731658507877e-06,0.323448938246442,0.220468525605184
"Q1y_1989",0.380914912945458,5.98092607015187e-07,0.265234163083261,0.353850325878675
"Q2y_1989",0.3533910186306,0.0111060735131342,0.213808689068435,0.421694218787831
"Q3y_1989",0.379847805583851,0.129497121677818,0.0473701302134805,0.44328494252485
"Q4y_1989",0.280516012119731,0.172484919176045,0.0793829105115166,0.467616158192708
"Q1y_1990",0.35193526425316,0.13212949998011,0.0610791615276466,0.454856074239083
"Q2y_1990",0.683902402466657,0.0368646262570304,1.07083215770431e-08,0.279232960567991
"Q3y_1990",0.528641855780049,0.114722674689166,1.06462755250385e-06,0.356634404903233
"Q4y_1990",0.803232972795885,0.0218073143815054,1.93110763674132e-10,0.174959712629499
"Q1y_1991",0.8598704086139,0.0331247438566397,1.75042964959738e-12,0.107004847527709
"Q2y_1991",0.829614857823876,0.0561772334029972,1.5471501642531e-07,0.114207754058111
"Q3y_1991",0.786101743672344,0.0269598173957244,7.25311614795703e-10,0.186938438206620
"Q4y_1991",0.79192338715762,0.0235075298841231,1.19345956899799e-10,0.184569082838911
"Q1y_1992",0.855605849838354,0.012178469196436,3.64086295060945e-12,0.132215680961569
"Q2y_1992",0.788584019369737,0.0249923390617089,1.37298080606277e-10,0.186423641431256
"Q3y_1992",0.793261940688895,0.0250526293420492,8.80260533267085e-12,0.181685429960254
"Q4y_1992",0.811217755289665,0.0187195601577516,7.14340867696039e-12,0.170062684545440
"Q1y_1993",0.798180656682228,0.0329838855960879,8.10765023185975e-11,0.168835457640608
"Q2y_1993",0.798884546903832,0.0267661174157987,1.49100788101811e-10,0.174349335531268
"Q3y_1993",0.843385291258111,0.0225187660706377,7.70704474090757e-11,0.134095942594180
"Q4y_1993",0.839792036386034,0.0142965182562994,1.47957086680519e-08,0.145911430561958
"Q1y_1994",0.876086935098115,0.0249597502979463,4.31958799511409e-11,0.098953314560743
"Q2y_1994",0.827505535793063,0.0304281450814434,7.03580267708677e-11,0.142066319055136
"Q3y_1994",0.805169505373055,1.42612178319316e-05,0.170023799277469,0.0247924341316436
"Q4y_1994",0.848148432175312,0.0342372134990174,0.0762666875802307,0.0413476667454401
"Q1y_1995",0.85700976280985,0.042865170760383,0.0321869669939909,0.0679380994357764
"Q2y_1995",0.797407654164772,0.0747296437492629,0.00117205183614864,0.126690650249816
"Q3y_1995",0.745032099730389,0.0565191992637565,7.71119886821348e-08,0.198448623893865
"Q4y_1995",0.736216208271776,0.120599029176998,4.3101952455792e-07,0.143184331531701
"Q1y_1996",0.639843356044152,0.202334353784387,5.23826969075395e-07,0.157821766344491
"Q2y_1996",0.495472351363922,0.322479426905522,1.89215638964112e-07,0.182048032514916
"Q3y_1996",0.474669360368023,0.353553815431871,4.67784615131134e-08,0.171776777421644
"Q4y_1996",0.496917078235969,0.307930544017446,2.03625281657038e-07,0.195152174121303
"Q1y_1997",0.512052003449417,0.306306098069962,4.01474606393282e-07,0.181641497006015
"Q2y_1997",0.58558307855087,0.299937712209662,7.11807220760831e-07,0.114478497432247
"Q3y_1997",0.533997668201947,0.318370016959037,1.71887319725179e-06,0.147630595965818
"Q4y_1997",0.517821112629382,0.284736216059818,3.4362493260962e-07,0.197442327685867
"Q1y_1998",0.88841121570557,0.0761209628699669,2.155952352212e-07,0.0354676058292283
"Q2y_1998",0.820958409933539,0.147557009493769,3.60676479347776e-08,0.0314845445050434
"Q3y_1998",0.945388805359716,0.0349210308306147,2.4156211709024e-06,0.0196877481884984
"Q4y_1998",0.98332344207918,4.68653311743427e-11,3.16983626219756e-12,0.0166765578707852
"Q1y_1999",0.999999999979365,1.19048298263243e-11,3.7734545394964e-12,4.95668814879231e-12
"Q2y_1999",0.970286767334,3.48265378834965e-11,0.0179977288098698,0.0117155038213033
"Q3y_1999",0.896260758479427,0.103736218389557,1.28104093252367e-06,1.7420900834531e-06
"Q4y_1999",0.751832078477669,0.247622645286533,0.000414264439989366,0.000131011795808854
"Q1y_2000",0.580942713338404,0.311794875607805,0.107260779963768,1.63109002297944e-06
"Q2y_2000",0.53046347412746,0.434193371017133,0.000753609015849089,0.0345895458395572
"Q3y_2000",0.388329733380225,0.411264907276599,8.552735159187e-07,0.20040450406966
"Q4y_2000",0.519815724756665,0.343908429764060,4.94653011304066e-07,0.136275350826263
"Q1y_2001",0.86676787367677,2.00689238817619e-06,3.26573353028027e-07,0.133229792857489
"Q2y_2001",0.977071164215624,6.98338907224759e-12,2.62539683636845e-12,0.0229288357747676
"Q3y_2001",0.978451749930572,7.85533915727079e-12,1.23411453534302e-11,0.0215482500492316
"Q4y_2001",0.98833672955916,3.31574964331237e-12,6.64061300724354e-12,0.0116632704308844
"Q1y_2002",0.979592034195272,6.26802692551033e-13,0.0185719524757011,0.00183601332840064
"Q2y_2002",0.918676506883591,5.40221417607360e-11,0.0452857862379175,0.0360377068244693
"Q3y_2002",0.912619504738985,3.62117947689361e-10,0.053208020459685,0.0341724744392121
"Q4y_2002",0.930957262967252,3.49239317254119e-11,0.0223338485077480,0.0467088884900765
"Q1y_2003",0.917405300243498,7.13299085102357e-10,0.0339155243025033,0.0486791747406994
"Q2y_2003",0.936240802736638,2.45026825283794e-09,0.0379155924490048,0.0258436023640886
"Q3y_2003",0.953464609530376,2.59352648673031e-10,0.0392451684748336,0.00729022173543781
"Q4y_2003",0.819593548383763,4.4482013325002e-10,0.143214557505537,0.03719189366588
"Q1y_2004",0.788400460873912,2.74259926188644e-07,0.143070160413516,0.0685291044526452
"Q2y_2004",0.73114628501385,1.47207003793498e-06,0.111950183084823,0.156902059831289
"Q3y_2004",0.598543394948494,1.29262485948728e-05,0.135938334667808,0.265505344135103
"Q4y_2004",0.707150902373642,2.99631696051882e-05,0.0943743221280004,0.198444812328752
"Q1y_2005",0.505065016225749,1.56182624794123e-07,0.381271631646087,0.113663195945539
"Q2y_2005",0.485965781069845,4.00127830373968e-05,0.266217996217688,0.247776209929429
"Q3y_2005",0.503645960093304,1.29986472132785e-05,0.274251025821969,0.222090015437514
"Q4y_2005",0.412156593779595,3.42583032626916e-08,0.382153807006503,0.205689564955599
"Q1y_2006",0.461623812206011,4.18924973353214e-07,0.458413610647804,0.0799621582212122
"Q2y_2006",0.526791825453055,6.306527664206e-07,0.444682333358116,0.0285252105360618
"Q3y_2006",0.47519966052966,4.1133458049212e-08,0.439516136477215,0.0852841618596674
"Q4y_2006",0.743813619832476,0.000133689982493733,0.255956272012421,9.64181726091753e-05
"Q1y_2007",0.729599904662164,0.0489556433496971,0.221441028030106,3.42395803307109e-06
"Q2y_2007",0.730441139600067,2.95066477685706e-06,0.269555875898800,3.38363561713089e-08
"Q3y_2007",0.665497910148108,1.94413308680326e-06,0.334499867187801,2.7853100488041e-07
"Q4y_2007",0.596425862258222,7.93914331763482e-06,0.401875245683964,0.00169095291449602
"Q1y_2008",0.524023805642628,3.64735841227680e-07,0.425978312988432,0.0499975166330992
"Q2y_2008",0.752229289552526,1.24667214426674e-08,0.107625313111197,0.140145384869555
"Q3y_2008",0.773122187892608,8.47752020566102e-05,0.0380886697859148,0.188704367119420
"Q4y_2008",0.89408060729095,0.0919206136285967,1.63514593976131e-10,0.0139987789169384
"Q1y_2009",0.921795465174799,0.0782045348075624,1.04758168898461e-11,7.1633249582873e-12
"Q2y_2009",0.929437102908767,0.070562896954183,4.39531940485528e-11,9.30970989229704e-11
"Q3y_2009",0.932751000262256,0.0672489996822214,2.58117504293666e-11,2.97104977929578e-11
"Q4y_2009",0.922191837080576,0.077808162766433,4.16451217904116e-11,1.11346394797711e-10
"Q1y_2010",0.915016151421734,0.0849838483634435,5.25236224064536e-11,1.62299242104944e-10
"Q2y_2010",0.902515738679295,0.0974842611864148,9.95521887542125e-11,3.47379994220719e-11
"Q3y_2010",0.926171314510717,0.0738286854365565,4.68729555623121e-11,5.85402602250048e-12
