"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.2492,0.2507,0.25,0.25
"Q2y_1984",0.3112,0.3118,0.3117,0.0654
"Q3y_1984",0.3203,0.3214,0.3213,0.037
"Q4y_1984",0.249,0.2505,0.2501,0.2504
"Q1y_1985",0.2504,0.2507,0.2478,0.2511
"Q2y_1985",0.25,0.2501,0.2497,0.2502
"Q3y_1985",0.2482,0.2501,0.2508,0.251
"Q4y_1985",0.2634,0.2619,0.2646,0.2101
"Q1y_1986",0.28,0.2777,0.275,0.1673
"Q2y_1986",0.2514,0.2505,0.2477,0.2504
"Q3y_1986",0.2677,0.2683,0.269,0.1949
"Q4y_1986",0.3011,0.2949,0.3014,0.1026
"Q1y_1987",0.3129,0.3116,0.3152,0.0604
"Q2y_1987",0.2463,0.3766,0.3767,4e-04
"Q3y_1987",0.0125,0.3313,0.3329,0.3233
"Q4y_1987",0.0214,0.3262,0.3262,0.3261
"Q1y_1988",-0.0361,0.3456,0.3458,0.3447
"Q2y_1988",-0.0141,0.3342,0.3398,0.3401
"Q3y_1988",-0.0231,0.3413,0.3432,0.3386
"Q4y_1988",-0.0077,0.3358,0.3369,0.335
"Q1y_1989",-0.0132,0.3377,0.338,0.3374
"Q2y_1989",-0.0049,0.3342,0.3354,0.3353
"Q3y_1989",-0.0047,0.3347,0.3351,0.3349
"Q4y_1989",-0.011,0.3379,0.3375,0.3356
"Q1y_1990",-0.0277,0.3426,0.3426,0.3425
"Q2y_1990",0.2534,0.248,0.2444,0.2543
"Q3y_1990",0.2327,0.3786,0.0091,0.3796
"Q4y_1990",0.2504,0.2493,0.2504,0.2499
"Q1y_1991",0.2507,0.2496,0.2523,0.2474
"Q2y_1991",0.251,0.2496,0.2486,0.2508
"Q3y_1991",0.2529,0.2512,0.2445,0.2515
"Q4y_1991",0.2518,0.2464,0.2494,0.2524
"Q1y_1992",0.2563,0.2461,0.2424,0.2552
