"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.1496,0.4597,0.2595,0.1312
"Q2y_1984",0.1177,0.4571,0.2964,0.1287
"Q3y_1984",0.1687,0.3181,0.0712,0.4421
"Q4y_1984",0.1939,0.4587,0.1237,0.2237
"Q1y_1985",0.2154,0.4355,0.1243,0.2248
"Q2y_1985",0.2065,0.467,0.1214,0.2051
"Q3y_1985",0.2175,0.3545,0.0613,0.3667
"Q4y_1985",0.1628,0.274,0.111,0.4521
"Q1y_1986",0.1371,0.4083,0.1163,0.3383
"Q2y_1986",0.2029,0.5174,0.1583,0.1214
"Q3y_1986",0.1847,0.5305,0.1543,0.1305
"Q4y_1986",0.1113,0.4591,0.2389,0.1906
"Q1y_1987",0.0824,0.5434,0.2021,0.1721
"Q2y_1987",0.0673,0.6115,0.1866,0.1346
"Q3y_1987",0.1304,0.5682,0.1571,0.1443
"Q4y_1987",0.147,0.5577,0.1382,0.1571
"Q1y_1988",-0.0262,0.2589,0.2728,0.4946
"Q2y_1988",0.1363,0.1261,0.2277,0.5099
"Q3y_1988",0.0937,0.1515,0.2172,0.5376
"Q4y_1988",0.069,0.1573,0.204,0.5697
"Q1y_1989",0.0809,0.1474,0.1983,0.5735
"Q2y_1989",0.0689,0.1673,0.1655,0.5983
"Q3y_1989",0.0312,0.2112,0.1246,0.633
"Q4y_1989",0.068,0.2213,0.1053,0.6053
"Q1y_1990",0.0047,0.252,0.092,0.6513
"Q2y_1990",0.0371,0.2959,0.0542,0.6128
"Q3y_1990",0.0377,0.245,0.0988,0.6185
"Q4y_1990",-0.0277,0.4077,0,0.62
"Q1y_1991",-0.0394,0.5993,0,0.44
"Q2y_1991",-0.0483,0.5483,0.0316,0.4683
"Q3y_1991",-0.0507,0.3264,0.0388,0.6855
"Q4y_1991",-0.0687,0.3151,0.0591,0.6944
"Q1y_1992",-0.076,0.3482,0.1102,0.6176
"Q2y_1992",-0.0334,0.3158,0.0685,0.6491
"Q3y_1992",-0.0602,0.3247,0.0448,0.6906
"Q4y_1992",-0.0675,0.3154,0.0653,0.6868
"Q1y_1993",-0.0344,0.3262,0.0711,0.6371
"Q2y_1993",-0.0432,0.2645,0.1282,0.6505
"Q3y_1993",-0.0485,0.3184,0.116,0.6141
"Q4y_1993",-0.0461,0.2468,0.1651,0.6342
"Q1y_1994",-0.0341,0.4676,0.0268,0.5397
"Q2y_1994",0.0626,0.3278,0.0465,0.5631
"Q3y_1994",0.1102,0.2433,0.054,0.5926
"Q4y_1994",0.0945,0.3624,0.125,0.418
"Q1y_1995",0.1041,0.3557,0.0134,0.5267
"Q2y_1995",0.1298,0.3608,0.0069,0.5025
"Q3y_1995",0.162,0.3631,1e-04,0.4748
"Q4y_1995",0.1458,0.4041,0,0.4501
"Q1y_1996",0.163,0.4565,1e-04,0.3804
"Q2y_1996",0.2619,0.4777,0,0.2604
"Q3y_1996",0.3261,0.4052,0,0.2687
"Q4y_1996",0.154,0.5159,0,0.3302
"Q1y_1997",0.1339,0.5274,0.0319,0.3068
"Q2y_1997",0.1377,0.5263,0.0963,0.2396
"Q3y_1997",0.1249,0.4244,0.0409,0.4097
"Q4y_1997",0.1209,0.3918,3e-04,0.487
"Q1y_1998",0.0995,0.5873,0.0409,0.2723
"Q2y_1998",0.106,0.5895,0.0168,0.2877
"Q3y_1998",0.0899,0.5158,0.0987,0.2955
"Q4y_1998",0.0257,0.5094,0.0549,0.41
"Q1y_1999",0.0283,0.6369,0.1208,0.214
"Q2y_1999",0.0757,0.4891,0.2183,0.2169
"Q3y_1999",0.0863,0.59,0.1648,0.1589
"Q4y_1999",0.0793,0.4588,0.274,0.1879
"Q1y_2000",0.0815,0.4612,0.2652,0.1921
"Q2y_2000",0.0692,0.508,0.1354,0.2874
"Q3y_2000",0.0672,0.4925,0.1306,0.3096
"Q4y_2000",0.0421,0.5393,0.2214,0.1972
"Q1y_2001",0.0254,0.4659,0.2046,0.3042
"Q2y_2001",0.0055,0.4386,0.0747,0.4812
"Q3y_2001",0.0093,0.4412,0.0735,0.476
"Q4y_2001",-0.0334,0.397,0.1617,0.4747
"Q1y_2002",-0.0336,0.3031,0.4328,0.2977
"Q2y_2002",-0.0502,0.2328,0.4772,0.3402
"Q3y_2002",-0.0541,0.0752,0.6972,0.2817
"Q4y_2002",-0.0589,0.3238,0.134,0.6011
"Q1y_2003",-0.0618,0.1589,0.2293,0.6736
"Q2y_2003",-0.0727,0.0308,0.6967,0.3452
"Q3y_2003",-0.0731,0.0978,0.7078,0.2676
"Q4y_2003",-0.0782,0.0602,0.6978,0.3202
"Q1y_2004",-0.0819,2e-04,0.7057,0.376
"Q2y_2004",-0.0881,0,0.6778,0.4103
"Q3y_2004",-0.0731,0.0731,0.5164,0.4837
"Q4y_2004",-0.0738,0.5088,3e-04,0.5647
"Q1y_2005",-0.0919,0.5766,3e-04,0.515
"Q2y_2005",-0.0864,0.6367,1e-04,0.4495
"Q3y_2005",-0.0891,0.2884,0.5154,0.2853
"Q4y_2005",-0.0899,0.2741,0.5905,0.2253
"Q1y_2006",-0.0839,0.3918,0.5082,0.1839
"Q2y_2006",-0.0764,0.607,0.3061,0.1633
"Q3y_2006",-0.0656,0.7032,0.1388,0.2236
"Q4y_2006",-0.0364,0.5998,0.2388,0.1977
"Q1y_2007",-0.0398,0.5987,0.2898,0.1513
"Q2y_2007",-0.0578,0.607,0.2786,0.1723
"Q3y_2007",-0.0566,0.6332,0.2119,0.2115
"Q4y_2007",-0.0685,0.6509,0.1831,0.2345
"Q1y_2008",-0.0819,0.6751,0.1882,0.2187
"Q2y_2008",-0.0882,0.6413,0.091,0.3559
"Q3y_2008",-0.0749,0.6432,0.0309,0.4008
"Q4y_2008",-0.006,0.5534,0.1659,0.2866
"Q1y_2009",0.0048,0.5708,0.3083,0.1162
"Q2y_2009",0.014,0.6037,0.2473,0.135
"Q3y_2009",0.0137,0.5943,0.2121,0.1799
"Q4y_2009",0.0208,0.6235,0.094,0.2616
"Q1y_2010",0.0307,0.3103,0.4223,0.2367
"Q2y_2010",0.0379,0.3848,0.3802,0.1971
"Q3y_2010",0.0132,0.5864,0.1268,0.2736
