"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.674,0.143,0.1046,0.0784
"Q2y_1984",0.536,0.1326,0.3314,0
"Q3y_1984",0.334,0.5253,0.0547,0.086
"Q4y_1984",0.6839,0.1306,0.0065,0.1791
"Q1y_1985",0.6732,0.1363,0.0209,0.1697
"Q2y_1985",0.6839,0.1712,0.0187,0.1262
"Q3y_1985",0.6369,0.1454,0.0099,0.2078
"Q4y_1985",0.7567,0.0599,0.0419,0.1414
"Q1y_1986",0.8338,0.0797,0.0678,0.0187
"Q2y_1986",0.8429,0.0656,0.0604,0.0311
"Q3y_1986",0.7121,0.1194,0.1685,0
"Q4y_1986",0.6963,0.01,0.2937,0
"Q1y_1987",0.5944,0.0103,0.3953,0
"Q2y_1987",0.2661,0.298,0.4359,0
"Q3y_1987",0.1875,0.407,0.4055,0
"Q4y_1987",0.1648,0.5035,0.3317,1e-04
"Q1y_1988",0.2205,0,0.7794,1e-04
"Q2y_1988",0.2141,0,0.6586,0.1273
"Q3y_1988",0.0965,0,0.7416,0.1619
"Q4y_1988",0.155,0,0.7973,0.0477
"Q1y_1989",0.0662,0,0.5585,0.3753
"Q2y_1989",0.0111,0.0088,0.3709,0.6093
"Q3y_1989",-0.0062,0.148,0.0497,0.8084
"Q4y_1989",-0.0265,0.2225,0.1042,0.6997
"Q1y_1990",-0.0505,0.1387,0.0768,0.8351
"Q2y_1990",0.569,0.0407,0,0.3902
"Q3y_1990",0.2032,0.1832,0,0.6136
"Q4y_1990",0.8032,0.0218,0,0.175
"Q1y_1991",0.8599,0.0331,0,0.107
"Q2y_1991",0.7763,0.0672,0,0.1565
"Q3y_1991",0.7861,0.027,0,0.1869
"Q4y_1991",0.7919,0.0235,0,0.1846
"Q1y_1992",0.8556,0.0122,0,0.1322
"Q2y_1992",0.7886,0.025,0,0.1864
"Q3y_1992",0.7933,0.0251,0,0.1817
"Q4y_1992",0.8112,0.0187,0,0.1701
"Q1y_1993",0.7982,0.033,0,0.1688
"Q2y_1993",0.7989,0.0268,0,0.1743
"Q3y_1993",0.8434,0.0225,0,0.1341
"Q4y_1993",0.8398,0.0143,0,0.1459
"Q1y_1994",0.8761,0.025,0,0.099
"Q2y_1994",0.8275,0.0304,0,0.1421
"Q3y_1994",0.6315,0,0.3734,-0.0049
"Q4y_1994",0.8323,0.0511,0.1169,-3e-04
"Q1y_1995",0.8859,0.0633,0.046,0.0048
"Q2y_1995",0.8413,0.109,0.0013,0.0484
"Q3y_1995",0.7456,0.0567,0,0.1977
"Q4y_1995",0.738,0.1764,0,0.0856
"Q1y_1996",0.5421,0.3474,0,0.1106
"Q2y_1996",0.4001,0.4115,0,0.1884
"Q3y_1996",0.4514,0.3719,0,0.1767
"Q4y_1996",0.2767,0.4764,0,0.2468
"Q1y_1997",0.2501,0.494,0,0.2559
"Q2y_1997",0.3465,0.528,0,0.1256
"Q3y_1997",0.2929,0.6145,0,0.0927
"Q4y_1997",0.2665,0.5644,0,0.1691
"Q1y_1998",0.8363,0.1461,0,0.0177
"Q2y_1998",0.6968,0.2991,0,0.004
"Q3y_1998",0.9378,0.0533,0,0.0089
"Q4y_1998",0.9833,0,0,0.0167
"Q1y_1999",1,0,0,0
"Q2y_1999",0.9703,0,0.018,0.0117
"Q3y_1999",0.8352,0.1648,0,0
"Q4y_1999",0.4802,0.5193,5e-04,0
"Q1y_2000",0.2125,0.6263,0.1612,0
"Q2y_2000",0.1344,0.8473,0.001,0.0173
"Q3y_2000",0.0627,0.6655,0,0.2718
"Q4y_2000",0.1102,0.6171,0,0.2728
"Q1y_2001",0.4568,0,0,0.5432
"Q2y_2001",0.9771,0,0,0.0229
"Q3y_2001",0.9785,0,0,0.0215
"Q4y_2001",0.9883,0,0,0.0117
"Q1y_2002",0.9796,0,0.0186,0.0018
"Q2y_2002",0.9187,0,0.0453,0.036
"Q3y_2002",0.9126,0,0.0532,0.0342
"Q4y_2002",0.931,0,0.0223,0.0467
"Q1y_2003",0.9174,0,0.0339,0.0487
"Q2y_2003",0.9362,0,0.0379,0.0258
"Q3y_2003",0.9535,0,0.0392,0.0073
"Q4y_2003",0.8196,0,0.1432,0.0372
"Q1y_2004",0.773,0,0.1429,0.0842
"Q2y_2004",0.3891,0,0.1062,0.5047
"Q3y_2004",0.1329,0,0.135,0.7321
"Q4y_2004",0.3669,0,0.0571,0.576
"Q1y_2005",-0.0913,0,0.9274,0.164
"Q2y_2005",-0.075,0,0.3406,0.7344
"Q3y_2005",-0.0871,0,0.3723,0.7149
"Q4y_2005",-0.0774,0,0.5056,0.5718
"Q1y_2006",-0.0782,0,0.9324,0.1458
"Q2y_2006",-0.0666,0,1.0344,0.0322
"Q3y_2006",-0.0609,0,0.9265,0.1343
"Q4y_2006",0.3998,2e-04,0.5999,1e-04
"Q1y_2007",0.4194,0.0643,0.5163,0
"Q2y_2007",0.3496,0,0.6504,0
"Q3y_2007",0.132,0,0.868,0
"Q4y_2007",-0.0255,0,1.0249,6e-04
"Q1y_2008",-0.0682,0,0.9995,0.0688
"Q2y_2008",0.1726,0,0.1389,0.6885
"Q3y_2008",0.1716,0,0.0128,0.8156
"Q4y_2008",0.8941,0.0919,0,0.014
"Q1y_2009",0.9218,0.0782,0,0
"Q2y_2009",0.9294,0.0706,0,0
"Q3y_2009",0.9328,0.0672,0,0
"Q4y_2009",0.9222,0.0778,0,0
"Q1y_2010",0.915,0.085,0,0
"Q2y_2010",0.9025,0.0975,0,0
"Q3y_2010",0.9262,0.0738,0,0
