"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.4,0.2044,0.1889,0.2066
"Q2y_1984",0.4,0.1454,0.2294,0.2251
"Q3y_1984",0.4,0.1777,0.0224,0.3999
"Q4y_1984",0.4,0.2479,0.039,0.3131
"Q1y_1985",0.4,0.2599,0.0554,0.2846
"Q2y_1985",0.4,0.297,0.0469,0.2561
"Q3y_1985",0.4,0.221,0.0182,0.3607
"Q4y_1985",0.4,0.1336,0.0665,0.3999
"Q1y_1986",0.4,0.1802,0.0648,0.3549
"Q2y_1986",0.4,0.3749,0.1119,0.1132
"Q3y_1986",0.4,0.3991,0.0934,0.1074
"Q4y_1986",0.4,0.178,0.3734,0.0486
"Q1y_1987",0.4,0.3998,0.0827,0.1175
"Q2y_1987",0.4,0.3987,0.0417,0.1596
"Q3y_1987",0.4,0.1603,0.3999,0.0399
"Q4y_1987",0.4,0.164,0.3993,0.0367
"Q1y_1988",0.4,0.0726,0.164,0.3634
"Q2y_1988",0.4,0.0627,0.1375,0.3998
"Q3y_1988",0.4,0.0811,0.1192,0.3996
"Q4y_1988",0.4,0.0907,0.1093,0.4
"Q1y_1989",0.4,0.0695,0.1305,0.4
"Q2y_1989",0.4,0.085,0.1149,0.4
"Q3y_1989",0.4,0.1437,0.0563,0.4
"Q4y_1989",0.4,0.1772,0.0227,0.4
"Q1y_1990",0.4,0.1563,0.0441,0.3995
"Q2y_1990",0.4,0.1999,0,0.4
"Q3y_1990",0.4,0.1433,0.0567,0.4
"Q4y_1990",0.4,0.1999,0,0.4
"Q1y_1991",0.4,0.1999,0,0.4
"Q2y_1991",0.4,0.1999,0,0.4
"Q3y_1991",0.3987,0.2014,6e-04,0.3993
"Q4y_1991",0.4,0.1999,0,0.4
"Q1y_1992",0.3992,0.2023,0.0047,0.3938
"Q2y_1992",0.4,0.1999,0,0.4
"Q3y_1992",0.4,0.1999,0,0.4
"Q4y_1992",0.3992,0.2002,0.0033,0.3973
"Q1y_1993",0.4,0.1999,0,0.4
"Q2y_1993",0.3998,0.1999,8e-04,0.3995
"Q3y_1993",0.3999,0.1967,0.0043,0.3991
"Q4y_1993",0.4,0.1758,0.0241,0.4
"Q1y_1994",0.3995,0.202,0.0011,0.3974
"Q2y_1994",0.4,0.1999,0,0.4
"Q3y_1994",0.4,0.1832,0.0167,0.4
"Q4y_1994",0.4,0.154,0.0467,0.3993
"Q1y_1995",0.3999,0.1998,9e-04,0.3994
"Q2y_1995",0.3999,0.1945,0.0058,0.3997
"Q3y_1995",0.3999,0.2001,2e-04,0.3997
"Q4y_1995",0.4,0.2007,3e-04,0.399
"Q1y_1996",0.4,0.1999,0,0.4
"Q2y_1996",0.4,0.298,0,0.302
"Q3y_1996",0.4,0.3896,0,0.2103
"Q4y_1996",0.4,0.1999,0,0.4
"Q1y_1997",0.4,0.1999,0,0.4
"Q2y_1997",0.4,0.1992,0.0011,0.3997
"Q3y_1997",0.3999,0.1938,0.0063,0.4
"Q4y_1997",0.4,0.1992,8e-04,0.4
"Q1y_1998",0.4,0.1999,1e-04,0.4
"Q2y_1998",0.4,0.1999,0,0.4
"Q3y_1998",0.4,0.151,0.0499,0.399
"Q4y_1998",0.4,0,0.1999,0.4
"Q1y_1999",0.4,0.2255,0.1621,0.2124
"Q2y_1999",0.4,0.1613,0.2538,0.1849
"Q3y_1999",0.4,0.2988,0.1541,0.1471
"Q4y_1999",0.4,0.0984,0.3046,0.197
"Q1y_2000",0.4,0.1699,0.3925,0.0376
"Q2y_2000",0.4,0.2009,0.1992,0.1998
"Q3y_2000",0.4,0.1282,0.0888,0.383
"Q4y_2000",0.4,0.1967,0.2006,0.2027
"Q1y_2001",0.4,0,0.2018,0.3982
"Q2y_2001",0.4,0,0.1999,0.4
"Q3y_2001",0.4,0,0.1999,0.4
"Q4y_2001",0.3999,0.0013,0.2017,0.3972
"Q1y_2002",0.4,4e-04,0.338,0.2616
"Q2y_2002",0.4,0.0041,0.2839,0.3119
"Q3y_2002",0.4,4e-04,0.3318,0.2678
"Q4y_2002",0.4,0,0.2254,0.3746
"Q1y_2003",0.4,0,0.2691,0.3308
"Q2y_2003",0.4,0.0147,0.3688,0.2165
"Q3y_2003",0.3996,0.0778,0.3975,0.125
"Q4y_2003",0.4,0.0467,0.4,0.1532
"Q1y_2004",0.3993,0.026,0.3997,0.1749
"Q2y_2004",0.4,0.0121,0.3999,0.188
"Q3y_2004",0.4,0.019,0.3511,0.2298
"Q4y_2004",0.4,0.0283,0.3614,0.2102
"Q1y_2005",0.3999,0.0966,0.3528,0.1507
"Q2y_2005",0.4,0.0921,0.3464,0.1614
"Q3y_2005",0.4,0.1366,0.3318,0.1316
"Q4y_2005",0.3997,0.1787,0.3278,0.0938
"Q1y_2006",0.4,0.2615,0.2968,0.0417
"Q2y_2006",0.4,0.3213,0.2515,0.0271
"Q3y_2006",0.4,0.3804,0.1796,0.04
"Q4y_2006",0.3999,0.398,0.1554,0.0467
"Q1y_2007",0.4,0.4,0.1715,0.0284
"Q2y_2007",0.4,0.4,0.1261,0.0738
"Q3y_2007",0.3997,0.3946,0.1221,0.0837
"Q4y_2007",0.3993,0.3993,0.0981,0.1033
"Q1y_2008",0.3999,0.3931,0.1046,0.1024
"Q2y_2008",0.4,0.4,0.0806,0.1193
"Q3y_2008",0.3994,0.3702,0.079,0.1514
"Q4y_2008",0.3991,0.3987,7e-04,0.2015
"Q1y_2009",0.4,0.4,0.1999,0
"Q2y_2009",0.3995,0.3914,0.2087,4e-04
"Q3y_2009",0.3997,0.3963,0.2022,0.0018
"Q4y_2009",0.3994,0.3978,0.1998,0.003
"Q1y_2010",0.4,0.3924,0.2074,2e-04
"Q2y_2010",0.3997,0.3978,0.1993,0.0031
"Q3y_2010",0.4,0.4,0,0.1999
