"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.490778138227492,0.193367073979410,0.166244062154319,0.149610725638778
"Q2y_1984",0.516956292563068,0.176893073891645,0.16300125849288,0.143149375052407
"Q3y_1984",0.430151331466573,0.189470677461591,0.144430819789100,0.235947171282736
"Q4y_1984",0.45004399118948,0.209816959324375,0.155521645620357,0.184617403865787
"Q1y_1985",0.432189904438899,0.214863627899910,0.162245855970676,0.190700611690515
"Q2y_1985",0.440139271835682,0.215761572412732,0.158989131375727,0.185110024375859
"Q3y_1985",0.414303212229969,0.210563115253131,0.149629210171447,0.225504462345453
"Q4y_1985",0.437896673432877,0.186747445922018,0.147575661979693,0.227780218665411
"Q1y_1986",0.472323625093261,0.185703870804839,0.140990717030964,0.200981787070937
"Q2y_1986",0.449984471862288,0.214112421848929,0.167179490445469,0.168723615843314
"Q3y_1986",0.458799833598954,0.213559575512844,0.159424235683838,0.168216355204364
"Q4y_1986",0.517471321277675,0.177655227805288,0.150840295371847,0.154033155545190
"Q1y_1987",0.539615791799331,0.173335747238975,0.140075015861682,0.146973445100012
"Q2y_1987",0.546032930073558,0.180352163191954,0.134658997457524,0.138955909276964
"Q3y_1987",0.49129818015935,0.202448530629281,0.149149048117636,0.157104241093733
"Q4y_1987",0.4774192478757,0.203690634139035,0.152493581890860,0.166396536094405
"Q1y_1988",0.63931112306558,0.107970568451365,0.109238129944887,0.143480178538167
"Q2y_1988",0.501256716251629,0.125810348706841,0.135092087602313,0.237840847439217
"Q3y_1988",0.476669956912286,0.126899116825233,0.132504396379060,0.263926529883421
"Q4y_1988",0.496214990300048,0.120903972689987,0.122965078132087,0.259915958877877
"Q1y_1989",0.487163026123825,0.118035409608018,0.122734056068501,0.272067508199656
"Q2y_1989",0.492309529526386,0.115129673855350,0.113686195014680,0.278874601603584
"Q3y_1989",0.516427484866005,0.112382576065144,0.100137233924348,0.271052705144503
"Q4y_1989",0.482727235360873,0.122865792306178,0.104512855488465,0.289894116844484
"Q1y_1990",0.517645573412848,0.110904396774029,0.0934363618947526,0.278013667918371
"Q2y_1990",0.519505935414048,0.113002726607976,0.0886189945801508,0.278872343397826
"Q3y_1990",0.516922633931447,0.108242899187084,0.0949164882802116,0.279917978601258
"Q4y_1990",0.60106359847357,0.110746095516065,0.0695380605385225,0.218652245471843
"Q1y_1991",0.666450128927942,0.119557858413276,0.0644858894473328,0.149506123211448
"Q2y_1991",0.669915644785406,0.113077286950610,0.0673685243596166,0.149638543904368
"Q3y_1991",0.610435809412653,0.094166509908414,0.067355556004872,0.228042124674061
"Q4y_1991",0.622040435950882,0.0895710940245566,0.0653510261430794,0.223037443881482
"Q1y_1992",0.67530074055643,0.0863113433682002,0.0647235621425164,0.173664353932853
"Q2y_1992",0.598535933414928,0.100347183575545,0.0765983088872384,0.224518574122289
"Q3y_1992",0.62750524492199,0.0916498951670194,0.0706551641440454,0.210189695766945
"Q4y_1992",0.640297412990844,0.0902520649727594,0.0675012276725394,0.201949294363857
"Q1y_1993",0.616266704328383,0.103637716145829,0.0781717322943566,0.201923847231431
"Q2y_1993",0.62351066644407,0.0948765353941577,0.077675302447266,0.203937495714506
"Q3y_1993",0.667564551332715,0.0923661147117951,0.0687908953895068,0.171278438565983
"Q4y_1993",0.661181776000289,0.0854732157439048,0.0722410129993783,0.181103995256428
"Q1y_1994",0.681396049263352,0.106726280331161,0.0638224659314505,0.148055204474036
"Q2y_1994",0.595820589973496,0.124170920340113,0.0930437672762115,0.18696472241018
"Q3y_1994",0.532449199823926,0.127438808311359,0.106699409610611,0.233412582254104
