"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.490274409135646,0.193852104872077,0.166264280766681,0.149609205225596
"Q2y_1984",0.527568606254118,0.216872702331306,0.201388842862989,0.0541698485515872
"Q3y_1984",0.465368179613808,0.262523715292553,0.192295546472646,0.0798125586209926
"Q4y_1984",0.449446837617816,0.210210413682000,0.155613137660188,0.184729611039995
"Q1y_1985",0.432459976029619,0.215244553303981,0.161118625372260,0.191176845294140
"Q2y_1985",0.440120582278286,0.215854470817953,0.158866706505666,0.185158240398095
"Q3y_1985",0.413258439171783,0.210667760762362,0.150065249271818,0.226008550794036
"Q4y_1985",0.445055619732692,0.197230454471518,0.153807636461655,0.203906289334134
"Q1y_1986",0.488828270426636,0.208001407549998,0.149878191229422,0.153292130793944
"Q2y_1986",0.450849424770485,0.214408457585283,0.165972136692613,0.168769980951619
"Q3y_1986",0.468189432221674,0.228071834274113,0.165277500268777,0.138461233235436
"Q4y_1986",0.566281500748463,0.198931444499441,0.16189348044932,0.0728935743027759
"Q1y_1987",0.605636077950125,0.202612637611997,0.148692818593128,0.0430584658447501
"Q2y_1987",0.549101562134082,0.273067587554525,0.177493802954539,0.000337047356853508
"Q3y_1987",0.273587843353188,0.282198905258806,0.235548118925112,0.208665132462894
"Q4y_1987",0.263425117158069,0.282006011350579,0.234632598306198,0.219936273185154
"Q1y_1988",0.204968703178542,0.23973354513724,0.251874574446293,0.303423177237925
"Q2y_1988",0.157456363417176,0.205070175065299,0.246564310600694,0.390909150916831
"Q3y_1988",0.149702489273828,0.216537911912571,0.239144001497644,0.394615597315957
"Q4y_1988",0.0408970803207499,0.243585173509212,0.263776200533746,0.451741545636291
"Q1y_1989",0.217757776007949,0.190402675468432,0.201865099070396,0.389974449453223
"Q2y_1989",0.269120003097131,0.175518480686755,0.175448378361034,0.379913137855080
"Q3y_1989",0.322304601020527,0.165672863724452,0.151479959320153,0.360542575934868
"Q4y_1989",0.267738254399402,0.181624696240718,0.165327543320876,0.385309506039004
"Q1y_1990",0.310675025539236,0.170919285284661,0.149141665406320,0.369264023769782
"Q2y_1990",0.521190287988222,0.112400892599846,0.08701476528655,0.279394054125382
"Q3y_1990",0.518030015352961,0.161020896146954,0.00549280055736508,0.315456287942721
"Q4y_1990",0.601258191697143,0.110520760904461,0.0696283648179248,0.218592682580472
"Q1y_1991",0.666606008022134,0.119317407213264,0.0649255909582104,0.149150993806392
"Q2y_1991",0.670340488121054,0.112956636308960,0.0670627943376362,0.149640081232351
"Q3y_1991",0.61164334562064,0.0944553769195201,0.0660142862465466,0.227886991213293
"Q4y_1991",0.6227666452944,0.0887389983126448,0.0652838597155132,0.223210496677442
"Q1y_1992",0.677585807136897,0.0855125779827467,0.0630494665728212,0.173852148307535
"Q2y_1992",0.600128499964757,0.0971602919959441,0.0774703291881572,0.225240878851142
"Q3y_1992",0.627060638918904,0.09078297478113,0.0708638953122686,0.211292490987697
"Q4y_1992",0.641892645025251,0.0909549849131145,0.0650815905742886,0.202070779487346
"Q1y_1993",0.615325066607092,0.104598155552402,0.0784150025650077,0.201661775275498
"Q2y_1993",0.624122496454948,0.0949033621937203,0.0777204182065876,0.203253723144744
"Q3y_1993",0.669621702585511,0.0919235276306947,0.0662267781004167,0.172227991683377
"Q4y_1993",0.662343740597377,0.0838381373317796,0.0730693546749466,0.180748767395897
"Q1y_1994",0.682973417825488,0.108299892886036,0.0603168106762164,0.148409878612260
"Q2y_1994",0.595328955272529,0.124526155137577,0.0928126421310747,0.187332247458820
