"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.39999963987975,0.324312858945847,0.183159700852199,0.0925278003222043
"Q2y_1984",0.399999582467911,0.31142469625604,0.201177227495722,0.087398493780327
"Q3y_1984",0.399999094090093,0.229355683875207,0.0513602193983989,0.319285002636300
"Q4y_1984",0.399999458460306,0.341888526627994,0.0919603516741869,0.166151663237513
"Q1y_1985",0.39999890625365,0.333043925875765,0.0951684598835073,0.171788707987078
"Q2y_1985",0.399999669532997,0.353287027669608,0.091829592526287,0.154883710271108
"Q3y_1985",0.399996797621205,0.271793198415232,0.0471155258545915,0.281094478108971
"Q4y_1985",0.399998740292945,0.196263751970907,0.0795251289740832,0.324212378762065
"Q1y_1986",0.399996931676937,0.283724944944219,0.080985416402335,0.235292706976509
"Q2y_1986",0.399999612773095,0.389706699267256,0.118880886265678,0.0914128016939717
"Q3y_1986",0.399996921353144,0.390796682269270,0.113336602994103,0.0958697933834836
"Q4y_1986",0.39999890395535,0.310335361980327,0.161062224615261,0.128603509449063
"Q1y_1987",0.399999055221004,0.355215167004511,0.132474893619132,0.112310884155353
"Q2y_1987",0.3999845400778,0.399725875194338,0.116433559033619,0.0838560256942439
"Q3y_1987",0.399984901669143,0.399989996081794,0.104243386065276,0.095781716183787
"Q4y_1987",0.399995264347188,0.399798775763986,0.093841571720516,0.10636438816831
"Q1y_1988",0.399998596505657,0.151471945125653,0.159489797168526,0.289039661200164
"Q2y_1988",0.399997340803862,0.0876922085332147,0.158391991080193,0.35391845958273
"Q3y_1988",0.399999543920583,0.100148153845207,0.143219754740312,0.356632547493899
"Q4y_1988",0.399998335539352,0.101513211774399,0.131614918306680,0.366873534379569
"Q1y_1989",0.399999439486676,0.0962046057900417,0.128861605375780,0.374934349347503
"Q2y_1989",0.39999402610239,0.108494310079466,0.106938709072578,0.384572954745566
"Q3y_1989",0.39999010413812,0.131518505267526,0.0774756284022786,0.391015762192075
"Q4y_1989",0.399997725177106,0.142606031675693,0.0674119481487958,0.389984294998405
"Q1y_1990",0.399995883409503,0.151541855387479,0.0553171878307487,0.393145073372269
"Q2y_1990",0.399986059027534,0.169177857856223,0.0309597331376359,0.399876349978607
"Q3y_1990",0.399988612534731,0.142082586972393,0.0579662160572085,0.399962584435667
"Q4y_1990",0.399999789646196,0.238181265935608,4.10580789617879e-06,0.361814838610300
"Q1y_1991",0.399987225334532,0.345630305535697,2.10442514781126e-05,0.254361424878293
"Q2y_1991",0.399999262846817,0.313850046809261,0.0180431770442272,0.268107513299695
"Q3y_1991",0.399999323034673,0.186612828951973,0.0222916200508953,0.391096227962458
"Q4y_1991",0.399999519263063,0.177215204055866,0.0333315674180231,0.389453709263048
"Q1y_1992",0.399997246169819,0.194600046776692,0.0616056921012627,0.343797014952226
"Q2y_1992",0.399998469972451,0.182910983546306,0.0395623236283496,0.377528222852894
"Q3y_1992",0.399999575961367,0.183109176006472,0.0252613890319070,0.391629859000254
"Q4y_1992",0.399998735076598,0.176948792562595,0.0364888544090219,0.386563617951786
"Q1y_1993",0.399999596046791,0.189133145632450,0.0411976783821968,0.369669579938563
"Q2y_1993",0.399999699735166,0.152226380099029,0.0733831469350751,0.37439077323073
"Q3y_1993",0.399999135955219,0.181991652527548,0.0663204398117049,0.351688771705528
"Q4y_1993",0.399995110154863,0.140908544316757,0.0943886458343389,0.364707699694041
"Q1y_1994",0.399998954939818,0.271030914439621,0.0155918027060997,0.313378327914460
"Q2y_1994",0.399999850147154,0.209247199713445,0.0296773538943670,0.361075596245033
"Q3y_1994",0.399991201034656,0.163832572512394,0.0363958025017275,0.399780423951222
"Q4y_1994",0.399993757452384,0.240135032225408,0.0829523627630026,0.276918847559205
"Q1y_1995",0.399998915417271,0.238486507005777,0.00902175522267645,0.352492822354275
"Q2y_1995",0.399999934784038,0.248343540284516,0.00473795092852297,0.346918574002923
"Q3y_1995",0.399997899787105,0.259812739404699,4.80020133524606e-05,0.340141358794844
"Q4y_1995",0.399993101672659,0.283453745095359,2.71034830752455e-07,0.316552882197151
"Q1y_1996",0.399998268175234,0.326915564467508,3.34152085966992e-05,0.273052752148661
"Q2y_1996",0.39999336960539,0.388499376084222,1.64228281569237e-06,0.211505612027572
"Q3y_1996",0.399988697052497,0.399966236531574,4.4271448032705e-06,0.200040639271126
"Q4y_1996",0.399999841557113,0.366728543751326,1.59030342741274e-06,0.233270024388134
"Q1y_1997",0.399999534503236,0.364892645801777,0.0220951840313728,0.213012635663613
"Q2y_1997",0.399995327283317,0.366612662106248,0.06701130235523,0.166380708255205
"Q3y_1997",0.399999552657114,0.291194904918921,0.0281038975291574,0.280701644894808
"Q4y_1997",0.399996023669251,0.267741973607386,0.000191504901821818,0.332070497821541
"Q1y_1998",0.399991687840727,0.399783197483602,0.0262654266761377,0.173959687999534
"Q2y_1998",0.399997215119887,0.395413657927390,0.0112538042407759,0.193335322711948
"Q3y_1998",0.399997699248625,0.340802275031197,0.064963270339786,0.194236755380392
"Q4y_1998",0.399999410763148,0.31389811739032,0.0338305883515979,0.252271883494934
