"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.561449022681495,0.162289434944717,0.137976500656047,0.138285041717742
"Q2y_1984",0.59397149907456,0.111279501797827,0.155264512450965,0.139484486676647
"Q3y_1984",0.526320297757118,0.137171528212278,0.0176013341772659,0.318906839853338
"Q4y_1984",0.541473423640758,0.202395166827311,0.0323602929912924,0.223771116540638
"Q1y_1985",0.522229638077463,0.216674140606048,0.0467768997733993,0.214319321543090
"Q2y_1985",0.527223912262068,0.242217936021943,0.0396044378378896,0.190953713878099
"Q3y_1985",0.50314294219403,0.188276173707500,0.0157541816377809,0.292826702460689
"Q4y_1985",0.528538522315004,0.104393309581169,0.0524019351958921,0.314666232907935
"Q1y_1986",0.565400036111587,0.134910367294903,0.0483125212197315,0.251377075373778
"Q2y_1986",0.540527071073842,0.288523924071594,0.0855525045656938,0.0853965002888701
"Q3y_1986",0.558273960261606,0.292642645137022,0.0698180473043356,0.0792653472970369
"Q4y_1986",0.678560195648151,0.117327273327695,0.170043650531454,0.0340688804927002
"Q1y_1987",0.664091620546979,0.224609820893687,0.0457646721773504,0.0655338863819838
"Q2y_1987",0.656437792567852,0.23884109472508,0.0240278324243498,0.0806932802827178
"Q3y_1987",0.69394437109036,0.112254216632011,0.167020397316398,0.0267810149612316
"Q4y_1987",0.687569974270719,0.116809795801126,0.168301551770126,0.027318678158028
"Q1y_1988",0.688803289398247,0.0428125121448481,0.0894984961239736,0.178885702332932
"Q2y_1988",0.594830932520867,0.0466397823597583,0.0982945457347909,0.260234739384584
"Q3y_1988",0.554969673763983,0.0614224547911234,0.0902526777588864,0.293355193686007
"Q4y_1988",0.574423918108175,0.0625882786880229,0.0769674355634608,0.286020367640341
"Q1y_1989",0.565887001331297,0.0500692667648509,0.0890340164528109,0.295009715451041
"Q2y_1989",0.569336617040273,0.0592357144551864,0.0755801040435354,0.295847564461005
"Q3y_1989",0.591696506916175,0.0865506364025445,0.0370474305514049,0.284705426129876
"Q4y_1989",0.565926860506742,0.114973924561767,0.0170747080077889,0.302024506923703
"Q1y_1990",0.586057840045944,0.0935738032776889,0.0278628456780389,0.292505510998329
"Q2y_1990",0.598611326504464,0.106193732800386,2.51267255113049e-05,0.295169813969638
